Run,Agent,Iteration,Gross Utility
0,PPO Bidder - Gross Utility 1,0,8.753459622794797
0,PPO Bidder - Gross Utility 1,1,2463.612580504295
0,PPO Bidder - Gross Utility 1,2,8290.498869411003
0,PPO Bidder - Gross Utility 1,3,9141.529666071556
0,PPO Bidder - Gross Utility 1,4,9113.324073953663
0,PPO Bidder - Gross Utility 1,5,8961.597440491896
0,PPO Bidder - Gross Utility 1,6,9193.077817183566
0,PPO Bidder - Gross Utility 1,7,9144.44748594582
0,PPO Bidder - Gross Utility 1,8,9176.543504562733
0,PPO Bidder - Gross Utility 1,9,9075.392415588221
0,PPO Bidder - Gross Utility 1,10,9180.433931061752
0,PPO Bidder - Gross Utility 1,11,9305.900185655137
0,PPO Bidder - Gross Utility 1,12,9140.5570594468
0,PPO Bidder - Gross Utility 1,13,9342.859237395824
0,PPO Bidder - Gross Utility 1,14,9327.297531399745
0,PPO Bidder - Gross Utility 1,15,9150.28312569435
0,PPO Bidder - Gross Utility 1,16,9025.78947772572
0,PPO Bidder - Gross Utility 1,17,9113.324073953663
0,PPO Bidder - Gross Utility 1,18,9260.187674291656
0,PPO Bidder - Gross Utility 1,19,9151.255732319105
0,PPO Bidder - Gross Utility 1,20,9107.488434205134
0,PPO Bidder - Gross Utility 1,21,9239.762935171802
0,PPO Bidder - Gross Utility 1,22,9119.159713702193
0,PPO Bidder - Gross Utility 1,23,9168.762651564693
0,PPO Bidder - Gross Utility 1,24,9180.433931061752
1,PPO Bidder - Gross Utility 1,0,142.97317383898127
1,PPO Bidder - Gross Utility 1,1,8842.939432271796
1,PPO Bidder - Gross Utility 1,2,9486.805017859551
1,PPO Bidder - Gross Utility 1,3,9457.626819116904
1,PPO Bidder - Gross Utility 1,4,9401.215634881119
1,PPO Bidder - Gross Utility 1,5,9371.064829513716
1,PPO Bidder - Gross Utility 1,6,9318.54407177695
1,PPO Bidder - Gross Utility 1,7,9481.941984735777
1,PPO Bidder - Gross Utility 1,8,9419.695160751462
1,PPO Bidder - Gross Utility 1,9,9564.613547839945
1,PPO Bidder - Gross Utility 1,10,9508.20236360416
1,PPO Bidder - Gross Utility 1,11,9575.312220712249
1,PPO Bidder - Gross Utility 1,12,9284.502839910529
1,PPO Bidder - Gross Utility 1,13,9555.86008821715
1,PPO Bidder - Gross Utility 1,14,9611.29866582818
1,PPO Bidder - Gross Utility 1,15,9515.010609977444
1,PPO Bidder - Gross Utility 1,16,9406.078668004893
1,PPO Bidder - Gross Utility 1,17,9215.44776955293
1,PPO Bidder - Gross Utility 1,18,9295.201512782833
1,PPO Bidder - Gross Utility 1,19,9299.091939281852
1,PPO Bidder - Gross Utility 1,20,9417.749947501952
1,PPO Bidder - Gross Utility 1,21,9337.023597647294
1,PPO Bidder - Gross Utility 1,22,9401.215634881119
1,PPO Bidder - Gross Utility 1,23,9350.640090393863
1,PPO Bidder - Gross Utility 1,24,9482.914591360532
2,PPO Bidder - Gross Utility 1,0,410.4399956465991
2,PPO Bidder - Gross Utility 1,1,9087.06369508528
2,PPO Bidder - Gross Utility 1,2,9452.76378599313
2,PPO Bidder - Gross Utility 1,3,9418.722554126707
2,PPO Bidder - Gross Utility 1,4,9362.311369890922
2,PPO Bidder - Gross Utility 1,5,9402.188241505874
2,PPO Bidder - Gross Utility 1,6,9450.81857274362
2,PPO Bidder - Gross Utility 1,7,9201.83127680636
2,PPO Bidder - Gross Utility 1,8,9248.516394794597
2,PPO Bidder - Gross Utility 1,9,9624.91515857475
2,PPO Bidder - Gross Utility 1,10,9502.36672385563
2,PPO Bidder - Gross Utility 1,11,9406.078668004893
2,PPO Bidder - Gross Utility 1,12,9442.065113120825
2,PPO Bidder - Gross Utility 1,13,9384.681322260285
2,PPO Bidder - Gross Utility 1,14,9288.393266409548
2,PPO Bidder - Gross Utility 1,15,9548.079235219111
2,PPO Bidder - Gross Utility 1,16,9355.503123517638
2,PPO Bidder - Gross Utility 1,17,9256.297247792636
2,PPO Bidder - Gross Utility 1,18,9488.750231109061
2,PPO Bidder - Gross Utility 1,19,9504.31193710514
2,PPO Bidder - Gross Utility 1,20,9248.516394794597
2,PPO Bidder - Gross Utility 1,21,9301.037152531362
2,PPO Bidder - Gross Utility 1,22,9283.530233285774
2,PPO Bidder - Gross Utility 1,23,9382.736109010775
2,PPO Bidder - Gross Utility 1,24,9385.65392888504
0,Truthful Competitor 10,0,155.44101900932344
0,Truthful Competitor 10,1,165.63387271485283
0,Truthful Competitor 10,2,314.70435815822145
0,Truthful Competitor 10,3,266.2883030569558
0,Truthful Competitor 10,4,239.53206207994089
0,Truthful Competitor 10,5,317.25257158460386
0,Truthful Competitor 10,6,267.562409770147
0,Truthful Competitor 10,7,248.4508090722791
0,Truthful Competitor 10,8,277.7552634756766
0,Truthful Competitor 10,9,220.42046138207328
0,Truthful Competitor 10,10,272.6588366229118
0,Truthful Competitor 10,11,234.4356352271762
0,Truthful Competitor 10,12,236.98384865355854
0,Truthful Competitor 10,13,253.5472359250438
0,Truthful Competitor 10,14,233.16152851398502
0,Truthful Competitor 10,15,219.1463546688821
0,Truthful Competitor 10,16,250.99902249866145
0,Truthful Competitor 10,17,247.17670235908793
0,Truthful Competitor 10,18,200.0347539710145
0,Truthful Competitor 10,19,279.0293701888678
0,Truthful Competitor 10,20,214.04992781611742
0,Truthful Competitor 10,21,245.90259564589675
0,Truthful Competitor 10,22,235.70974194036737
0,Truthful Competitor 10,23,221.69456809526446
0,Truthful Competitor 10,24,221.69456809526446
1,Truthful Competitor 10,0,615.3935424713404
1,Truthful Competitor 10,1,516.0132188424311
1,Truthful Competitor 10,2,215.3240345293086
1,Truthful Competitor 10,3,259.9177694909998
1,Truthful Competitor 10,4,282.8516903284414
1,Truthful Competitor 10,5,231.88742180079385
1,Truthful Competitor 10,6,231.88742180079385
1,Truthful Competitor 10,7,266.2883030569558
