Run,Iteration,Measure,Measure Name
0,0,101076.50825594529,Auction Revenue
0,1,30641.59985561903,Auction Revenue
0,2,20916.37029438001,Auction Revenue
0,3,20175.067628375255,Auction Revenue
0,4,20127.999232912185,Auction Revenue
0,5,20109.647437692613,Auction Revenue
0,6,19996.20974928854,Auction Revenue
0,7,19980.575170934793,Auction Revenue
0,8,19935.443030295235,Auction Revenue
0,9,19823.204781770786,Auction Revenue
0,10,19933.32254912931,Auction Revenue
0,11,19828.408089921635,Auction Revenue
0,12,20203.355151032152,Auction Revenue
0,13,20090.53025050448,Auction Revenue
0,14,19948.042924150242,Auction Revenue
0,15,19929.156141418043,Auction Revenue
0,16,20153.370019652248,Auction Revenue
0,17,20272.388637022657,Auction Revenue
0,18,19832.711084956583,Auction Revenue
0,19,20176.455873447336,Auction Revenue
0,20,19912.56964778274,Auction Revenue
0,21,20017.958408040755,Auction Revenue
0,22,20001.96744654978,Auction Revenue
0,23,19845.819651672726,Auction Revenue
0,24,20122.71019086905,Auction Revenue
1,0,100850.11062170786,Auction Revenue
1,1,32320.79542779368,Auction Revenue
1,2,19913.43070081932,Auction Revenue
1,3,19671.999078580993,Auction Revenue
1,4,20046.381977016947,Auction Revenue
1,5,19988.35139706536,Auction Revenue
1,6,20137.550533949216,Auction Revenue
1,7,19916.46279209133,Auction Revenue
1,8,20217.90994955521,Auction Revenue
1,9,19878.35944077202,Auction Revenue
1,10,19808.31667239481,Auction Revenue
1,11,20087.22003125718,Auction Revenue
1,12,20082.04269292824,Auction Revenue
1,13,20186.008417084206,Auction Revenue
1,14,19755.672489952325,Auction Revenue
1,15,20181.523266561162,Auction Revenue
1,16,19817.78671959958,Auction Revenue
1,17,19861.91739230264,Auction Revenue
1,18,19742.873011065753,Auction Revenue
1,19,20277.811714800027,Auction Revenue
1,20,20056.15872494235,Auction Revenue
1,21,19832.218635754532,Auction Revenue
1,22,20204.83742108503,Auction Revenue
1,23,20112.454970589024,Auction Revenue
1,24,20338.089626993373,Auction Revenue
2,0,100162.0153266539,Auction Revenue
2,1,27017.88563522657,Auction Revenue
2,2,20552.01625984575,Auction Revenue
2,3,19892.19669244955,Auction Revenue
2,4,20119.95158744792,Auction Revenue
2,5,19917.986008282885,Auction Revenue
2,6,19852.420205286035,Auction Revenue
2,7,20213.013356798278,Auction Revenue
2,8,19930.57671037029,Auction Revenue
2,9,19857.304433821613,Auction Revenue
2,10,19956.304700437657,Auction Revenue
2,11,20165.61212587253,Auction Revenue
2,12,19887.84890199898,Auction Revenue
2,13,19792.270981470945,Auction Revenue
2,14,19762.82443107836,Auction Revenue
2,15,19828.215590923315,Auction Revenue
2,16,20016.971268460016,Auction Revenue
2,17,20001.294777697778,Auction Revenue
2,18,19740.037343579705,Auction Revenue
2,19,19833.59040873808,Auction Revenue
2,20,20019.459775876203,Auction Revenue
2,21,19810.469626698516,Auction Revenue
2,22,19672.08286843283,Auction Revenue
2,23,19819.001519400063,Auction Revenue
2,24,19927.305489435403,Auction Revenue
0,0,-91343.74272170156,Social Surplus
0,1,-2459.512362592242,Social Surplus
0,2,15415.771430665836,Social Surplus
0,3,16769.982988435437,Social Surplus
0,4,16610.842868279913,Social Surplus
0,5,16449.669051142435,Social Surplus
0,6,16449.948490595634,Social Surplus
0,7,16566.120424260815,Social Surplus
0,8,16810.382722424336,Social Surplus
0,9,16652.5648767207,Social Surplus
0,10,16833.238365731915,Social Surplus
0,11,16928.93633576482,Social Surplus
0,12,16530.92740012008,Social Surplus
0,13,16565.34361034314,Social Surplus
0,14,17021.998570966578,Social Surplus
0,15,16722.039023259676,Social Surplus
0,16,16692.37314415259,Social Surplus
0,17,16374.591782204872,Social Surplus
0,18,16710.404865097113,Social Surplus
0,19,16544.854669254553,Social Surplus
0,20,17115.866993622745,Social Surplus
0,21,16555.76036789194,Social Surplus
0,22,16782.664356036155,Social Surplus
0,23,16714.68859601948,Social Surplus
0,24,16597.124361572172,Social Surplus
1,0,-91654.433195409,Social Surplus
1,1,-531.6157267097196,Social Surplus
1,2,16257.473200070275,Social Surplus
1,3,16897.347408755864,Social Surplus
1,4,16552.428106696472,Social Surplus
1,5,16468.544675869703,Social Surplus
1,6,16541.941207171458,Social Surplus
1,7,16988.16600876827,Social Surplus
1,8,16297.146970762225,Social Surplus
1,9,16926.092050571442,Social Surplus
1,10,16771.949145224153,Social Surplus
1,11,17025.877070658815,Social Surplus
1,12,16683.50749343789,Social Surplus
1,13,16342.947634313934,Social Surplus
1,14,16892.212830239074,Social Surplus
1,15,16498.38530438034,Social Surplus
1,16,16831.691626006534,Social Surplus
1,17,16566.343348066504,Social Surplus
1,18,16911.84656624128,Social Surplus
1,19,16336.61841704363,Social Surplus
1,20,16677.162044872584,Social Surplus
1,21,16981.937810866562,Social Surplus
1,22,16650.85597418834,Social Surplus
1,23,16620.470232860567,Social Surplus
1,24,16204.323807776655,Social Surplus
2,0,-94682.79170605747,Social Surplus
2,1,4842.585331815276,Social Surplus
2,2,16016.314092120378,Social Surplus
2,3,16876.514955939885,Social Surplus
2,4,16517.964121120338,Social Surplus
2,5,16533.73768979114,Social Surplus
2,6,16993.148366731464,Social Surplus
2,7,16239.870373484522,Social Surplus
2,8,16641.303155108595,Social Surplus
2,9,16843.99937750445,Social Surplus
2,10,16769.539778101953,Social Surplus
2,11,16539.376441301978,Social Surplus
2,12,16564.376668435994,Social Surplus
2,13,16869.99893692312,Social Surplus
2,14,16699.103002577955,Social Surplus
2,15,17194.260854392334,Social Surplus
2,16,16465.26825468229,Social Surplus
2,17,16407.86571991923,Social Surplus
2,18,17030.456344248018,Social Surplus
2,19,16898.654552772943,Social Surplus
2,20,16715.351964162706,Social Surplus
2,21,16760.203582912014,Social Surplus
2,22,16715.81099599352,Social Surplus
2,23,16742.983543910323,Social Surplus
2,24,16785.361900369302,Social Surplus
0,0,9732.765534244438,Social Welfare
0,1,28182.08749302444,Social Welfare
0,2,36332.14172504277,Social Welfare
0,3,36945.05061680783,Social Welfare
0,4,36738.842101189206,Social Welfare
0,5,36559.31648883256,Social Welfare
0,6,36446.158239881624,Social Welfare
0,7,36546.695595192934,Social Welfare
0,8,36745.825752717246,Social Welfare
0,9,36475.76965848874,Social Welfare
0,10,36766.56091485867,Social Welfare
0,11,36757.344425683776,Social Welfare
0,12,36734.282551149234,Social Welfare
0,13,36655.8738608443,Social Welfare
0,14,36970.04149511431,Social Welfare
0,15,36651.19516467517,Social Welfare
0,16,36845.74316380213,Social Welfare
0,17,36646.98041922515,Social Welfare
0,18,36543.1159500511,Social Welfare
0,19,36721.310542699604,Social Welfare
0,20,37028.43664140272,Social Welfare
0,21,36573.718775929774,Social Welfare
0,22,36784.631802583164,Social Welfare
0,23,36560.50824768942,Social Welfare
0,24,36719.83455243853,Social Welfare
1,0,9195.677426298815,Social Welfare
1,1,31789.1797010826,Social Welfare
1,2,36170.903900886515,Social Welfare
1,3,36569.34648733409,Social Welfare
1,4,36598.81008371122,Social Welfare
1,5,36456.89607293246,Social Welfare
1,6,36679.491741118,Social Welfare
1,7,36904.62880085704,Social Welfare
1,8,36515.05692031478,Social Welfare
1,9,36804.45149134073,Social Welfare
1,10,36580.2658176163,Social Welfare
1,11,37113.09710191333,Social Welfare
1,12,36765.55018636375,Social Welfare
1,13,36528.956051395646,Social Welfare
1,14,36647.885320189,Social Welfare
1,15,36679.90857093872,Social Welfare
1,16,36649.47834560306,Social Welfare
1,17,36428.26074036697,Social Welfare
1,18,36654.71957730439,Social Welfare
1,19,36614.430131841276,Social Welfare
1,20,36733.32076981256,Social Welfare
1,21,36814.15644661834,Social Welfare
1,22,36855.6933952706,Social Welfare
1,23,36732.92520344668,Social Welfare
1,24,36542.413434767266,Social Welfare
2,0,5479.22362059602,Social Welfare
2,1,31860.470967040226,Social Welfare
2,2,36568.33035196348,Social Welfare
2,3,36768.71164838645,Social Welfare
2,4,36637.91570856542,Social Welfare
2,5,36451.72369807134,Social Welfare
2,6,36845.56857201475,Social Welfare
2,7,36452.88373027986,Social Welfare
