Run,Agent,Iteration,Total Clicks
0,PPO Bidder - Gross Utility 1,0,9
0,PPO Bidder - Gross Utility 1,1,2533
0,PPO Bidder - Gross Utility 1,2,8524
0,PPO Bidder - Gross Utility 1,3,9399
0,PPO Bidder - Gross Utility 1,4,9370
0,PPO Bidder - Gross Utility 1,5,9214
0,PPO Bidder - Gross Utility 1,6,9452
0,PPO Bidder - Gross Utility 1,7,9402
0,PPO Bidder - Gross Utility 1,8,9435
0,PPO Bidder - Gross Utility 1,9,9331
0,PPO Bidder - Gross Utility 1,10,9439
0,PPO Bidder - Gross Utility 1,11,9568
0,PPO Bidder - Gross Utility 1,12,9398
0,PPO Bidder - Gross Utility 1,13,9606
0,PPO Bidder - Gross Utility 1,14,9590
0,PPO Bidder - Gross Utility 1,15,9408
0,PPO Bidder - Gross Utility 1,16,9280
0,PPO Bidder - Gross Utility 1,17,9370
0,PPO Bidder - Gross Utility 1,18,9521
0,PPO Bidder - Gross Utility 1,19,9409
0,PPO Bidder - Gross Utility 1,20,9364
0,PPO Bidder - Gross Utility 1,21,9500
0,PPO Bidder - Gross Utility 1,22,9376
0,PPO Bidder - Gross Utility 1,23,9427
0,PPO Bidder - Gross Utility 1,24,9439
0,Truthful Competitor 2,0,195
0,Truthful Competitor 2,1,941
0,Truthful Competitor 2,2,2821
0,Truthful Competitor 2,3,2545
0,Truthful Competitor 2,4,2508
0,Truthful Competitor 2,5,2494
0,Truthful Competitor 2,6,2426
0,Truthful Competitor 2,7,2386
0,Truthful Competitor 2,8,2407
0,Truthful Competitor 2,9,2568
0,Truthful Competitor 2,10,2482
0,Truthful Competitor 2,11,2527
0,Truthful Competitor 2,12,2560
0,Truthful Competitor 2,13,2463
0,Truthful Competitor 2,14,2444
0,Truthful Competitor 2,15,2483
0,Truthful Competitor 2,16,2477
0,Truthful Competitor 2,17,2496
0,Truthful Competitor 2,18,2383
0,Truthful Competitor 2,19,2333
0,Truthful Competitor 2,20,2512
0,Truthful Competitor 2,21,2514
0,Truthful Competitor 2,22,2556
0,Truthful Competitor 2,23,2473
0,Truthful Competitor 2,24,2421
0,Truthful Competitor 3,0,3409
0,Truthful Competitor 3,1,4319
0,Truthful Competitor 3,2,4529
0,Truthful Competitor 3,3,4540
0,Truthful Competitor 3,4,4467
0,Truthful Competitor 3,5,4502
0,Truthful Competitor 3,6,4441
0,Truthful Competitor 3,7,4448
0,Truthful Competitor 3,8,4541
0,Truthful Competitor 3,9,4487
0,Truthful Competitor 3,10,4540
0,Truthful Competitor 3,11,4541
0,Truthful Competitor 3,12,4413
0,Truthful Competitor 3,13,4373
0,Truthful Competitor 3,14,4489
0,Truthful Competitor 3,15,4423
0,Truthful Competitor 3,16,4475
0,Truthful Competitor 3,17,4409
0,Truthful Competitor 3,18,4339
0,Truthful Competitor 3,19,4356
0,Truthful Competitor 3,20,4625
0,Truthful Competitor 3,21,4436
0,Truthful Competitor 3,22,4370
0,Truthful Competitor 3,23,4499
0,Truthful Competitor 3,24,4533
0,Truthful Competitor 4,0,29
0,Truthful Competitor 4,1,2949
0,Truthful Competitor 4,2,1773
0,Truthful Competitor 4,3,1897
0,Truthful Competitor 4,4,1917
0,Truthful Competitor 4,5,1992
0,Truthful Competitor 4,6,1939
0,Truthful Competitor 4,7,1933
0,Truthful Competitor 4,8,1973
0,Truthful Competitor 4,9,1943
0,Truthful Competitor 4,10,1836
0,Truthful Competitor 4,11,1763
