Run,Agent,Iteration,Total Conversions
0,PPO Bidder - Gross Utility 1,0,1
0,PPO Bidder - Gross Utility 1,1,274
0,PPO Bidder - Gross Utility 1,2,798
0,PPO Bidder - Gross Utility 1,3,938
0,PPO Bidder - Gross Utility 1,4,991
0,PPO Bidder - Gross Utility 1,5,870
0,PPO Bidder - Gross Utility 1,6,1001
0,PPO Bidder - Gross Utility 1,7,973
0,PPO Bidder - Gross Utility 1,8,911
0,PPO Bidder - Gross Utility 1,9,883
0,PPO Bidder - Gross Utility 1,10,979
0,PPO Bidder - Gross Utility 1,11,943
0,PPO Bidder - Gross Utility 1,12,1004
0,PPO Bidder - Gross Utility 1,13,913
0,PPO Bidder - Gross Utility 1,14,969
0,PPO Bidder - Gross Utility 1,15,973
0,PPO Bidder - Gross Utility 1,16,906
0,PPO Bidder - Gross Utility 1,17,939
0,PPO Bidder - Gross Utility 1,18,952
0,PPO Bidder - Gross Utility 1,19,948
0,PPO Bidder - Gross Utility 1,20,921
0,PPO Bidder - Gross Utility 1,21,970
0,PPO Bidder - Gross Utility 1,22,933
0,PPO Bidder - Gross Utility 1,23,888
0,PPO Bidder - Gross Utility 1,24,916
0,Truthful Competitor 2,0,20
0,Truthful Competitor 2,1,101
0,Truthful Competitor 2,2,308
0,Truthful Competitor 2,3,234
0,Truthful Competitor 2,4,253
0,Truthful Competitor 2,5,262
0,Truthful Competitor 2,6,236
0,Truthful Competitor 2,7,236
0,Truthful Competitor 2,8,253
0,Truthful Competitor 2,9,257
0,Truthful Competitor 2,10,234
0,Truthful Competitor 2,11,269
0,Truthful Competitor 2,12,261
0,Truthful Competitor 2,13,242
0,Truthful Competitor 2,14,267
0,Truthful Competitor 2,15,253
0,Truthful Competitor 2,16,238
0,Truthful Competitor 2,17,240
0,Truthful Competitor 2,18,224
0,Truthful Competitor 2,19,207
0,Truthful Competitor 2,20,228
0,Truthful Competitor 2,21,260
0,Truthful Competitor 2,22,263
0,Truthful Competitor 2,23,240
0,Truthful Competitor 2,24,218
0,Truthful Competitor 3,0,357
0,Truthful Competitor 3,1,418
0,Truthful Competitor 3,2,473
0,Truthful Competitor 3,3,455
0,Truthful Competitor 3,4,464
0,Truthful Competitor 3,5,439
0,Truthful Competitor 3,6,467
0,Truthful Competitor 3,7,436
0,Truthful Competitor 3,8,462
0,Truthful Competitor 3,9,453
0,Truthful Competitor 3,10,450
0,Truthful Competitor 3,11,472
0,Truthful Competitor 3,12,429
0,Truthful Competitor 3,13,429
0,Truthful Competitor 3,14,420
0,Truthful Competitor 3,15,407
0,Truthful Competitor 3,16,444
0,Truthful Competitor 3,17,440
0,Truthful Competitor 3,18,423
0,Truthful Competitor 3,19,426
0,Truthful Competitor 3,20,456
0,Truthful Competitor 3,21,442
0,Truthful Competitor 3,22,414
0,Truthful Competitor 3,23,454
0,Truthful Competitor 3,24,462
0,Truthful Competitor 4,0,2
0,Truthful Competitor 4,1,293
0,Truthful Competitor 4,2,181
0,Truthful Competitor 4,3,186
0,Truthful Competitor 4,4,212
0,Truthful Competitor 4,5,245
0,Truthful Competitor 4,6,195
0,Truthful Competitor 4,7,189
0,Truthful Competitor 4,8,190
0,Truthful Competitor 4,9,209
0,Truthful Competitor 4,10,190
0,Truthful Competitor 4,11,183
0,Truthful Competitor 4,12,171
0,Truthful Competitor 4,13,184
