Run,Agent,Iteration,Underbid Regret
0,PPO Bidder - Gross Utility 1,0,-32069.147169385244
0,PPO Bidder - Gross Utility 1,1,-4882.684134979554
0,PPO Bidder - Gross Utility 1,2,-3270.610364669454
0,PPO Bidder - Gross Utility 1,3,-3205.8843773861704
0,PPO Bidder - Gross Utility 1,4,-3378.8103527790745
0,PPO Bidder - Gross Utility 1,5,-3428.890384762071
0,PPO Bidder - Gross Utility 1,6,-3354.545917307895
0,PPO Bidder - Gross Utility 1,7,-3252.6969708504757
0,PPO Bidder - Gross Utility 1,8,-3260.8003827850944
0,PPO Bidder - Gross Utility 1,9,-3387.653996883188
0,PPO Bidder - Gross Utility 1,10,-3356.3927223760197
0,PPO Bidder - Gross Utility 1,11,-3369.4446611243025
0,PPO Bidder - Gross Utility 1,12,-3369.917788675394
0,PPO Bidder - Gross Utility 1,13,-3316.614164259123
0,PPO Bidder - Gross Utility 1,14,-3394.4357813779834
0,PPO Bidder - Gross Utility 1,15,-3417.1475272474563
0,PPO Bidder - Gross Utility 1,16,-3423.3020190541856
0,PPO Bidder - Gross Utility 1,17,-3434.007141910673
0,PPO Bidder - Gross Utility 1,18,-3332.895727488069
0,PPO Bidder - Gross Utility 1,19,-3358.030955521733
0,PPO Bidder - Gross Utility 1,20,-3373.926447118244
0,PPO Bidder - Gross Utility 1,21,-3417.302141756
0,PPO Bidder - Gross Utility 1,22,-3413.98589415786
0,PPO Bidder - Gross Utility 1,23,-3408.888106423476
0,PPO Bidder - Gross Utility 1,24,-3422.2790317483928
0,Truthful Competitor 2,0,-62072.72904921251
0,Truthful Competitor 2,1,-6613.027489707609
0,Truthful Competitor 2,2,-4084.2272726982574
0,Truthful Competitor 2,3,-3993.206096935784
0,Truthful Competitor 2,4,-3929.0770528337957
0,Truthful Competitor 2,5,-3928.9214727835815
0,Truthful Competitor 2,6,-3955.7193398231466
0,Truthful Competitor 2,7,-3844.5579134633035
0,Truthful Competitor 2,8,-3893.852662212198
0,Truthful Competitor 2,9,-3950.4141809776147
0,Truthful Competitor 2,10,-3984.131761764665
0,Truthful Competitor 2,11,-3872.2736063112006
0,Truthful Competitor 2,12,-3892.176790027718
0,Truthful Competitor 2,13,-4009.036438677296
0,Truthful Competitor 2,14,-3877.117782672743
0,Truthful Competitor 2,15,-3938.7768313625875
0,Truthful Competitor 2,16,-4009.684757928093
0,Truthful Competitor 2,17,-3917.9603130844807
0,Truthful Competitor 2,18,-3913.788490313641
0,Truthful Competitor 2,19,-3840.1206503802846
0,Truthful Competitor 2,20,-3880.3889200202593
0,Truthful Competitor 2,21,-3891.382547471653
0,Truthful Competitor 2,22,-3931.4652942994785
0,Truthful Competitor 2,23,-3893.283971718283
0,Truthful Competitor 2,24,-3859.049354306848
0,Truthful Competitor 3,0,-27663.866951680833
0,Truthful Competitor 3,1,-6176.418545164714
0,Truthful Competitor 3,2,-5145.883870024406
0,Truthful Competitor 3,3,-5083.9717176783615
0,Truthful Competitor 3,4,-5016.981728344304
0,Truthful Competitor 3,5,-4996.400979035613
0,Truthful Competitor 3,6,-5043.656335440203
0,Truthful Competitor 3,7,-5035.084694037302
0,Truthful Competitor 3,8,-5012.251070404832
0,Truthful Competitor 3,9,-5077.388111963963
0,Truthful Competitor 3,10,-5016.7768727990115
0,Truthful Competitor 3,11,-5042.925632255683
0,Truthful Competitor 3,12,-4988.846837363075
0,Truthful Competitor 3,13,-4909.003306572768
0,Truthful Competitor 3,14,-4959.563617986578
0,Truthful Competitor 3,15,-4930.95720851346
0,Truthful Competitor 3,16,-5016.50711228181
0,Truthful Competitor 3,17,-5074.500011612046
0,Truthful Competitor 3,18,-4964.582442893269
0,Truthful Competitor 3,19,-4980.544444187255
0,Truthful Competitor 3,20,-4911.07710820873
0,Truthful Competitor 3,21,-5090.832063678223
0,Truthful Competitor 3,22,-4909.469036264682
0,Truthful Competitor 3,23,-4840.33870754969
0,Truthful Competitor 3,24,-4964.50100979644
0,Truthful Competitor 4,0,-39646.81864379333
0,Truthful Competitor 4,1,-8049.615633908687
0,Truthful Competitor 4,2,-4905.464356337088
0,Truthful Competitor 4,3,-4597.962736733023
0,Truthful Competitor 4,4,-4618.5007174204875
0,Truthful Competitor 4,5,-4521.047032984343
0,Truthful Competitor 4,6,-4583.653280802168
0,Truthful Competitor 4,7,-4439.8397661621
0,Truthful Competitor 4,8,-4527.228089850028
0,Truthful Competitor 4,9,-4500.145365572399
0,Truthful Competitor 4,10,-4427.456626572818
0,Truthful Competitor 4,11,-4349.543666857751
0,Truthful Competitor 4,12,-4369.740165436964
0,Truthful Competitor 4,13,-4405.366152330495
0,Truthful Competitor 4,14,-4356.130672514729
0,Truthful Competitor 4,15,-4371.677598915429
0,Truthful Competitor 4,16,-4547.803230561221
0,Truthful Competitor 4,17,-4377.627063869457
0,Truthful Competitor 4,18,-4458.257976278512
0,Truthful Competitor 4,19,-4404.440248978269
0,Truthful Competitor 4,20,-4377.722497991612
0,Truthful Competitor 4,21,-4343.015092171823
0,Truthful Competitor 4,22,-4340.318658752271
0,Truthful Competitor 4,23,-4321.895496311572
0,Truthful Competitor 4,24,-4292.135598622928
0,Truthful Competitor 5,0,-29798.23962176319
0,Truthful Competitor 5,1,-7369.748132818891
0,Truthful Competitor 5,2,-4753.0175357946455
0,Truthful Competitor 5,3,-4530.108216969122
0,Truthful Competitor 5,4,-4430.509802149434
0,Truthful Competitor 5,5,-4354.727777848891
0,Truthful Competitor 5,6,-4252.8569148361275
0,Truthful Competitor 5,7,-4042.128637376546
0,Truthful Competitor 5,8,-4102.696573241161
0,Truthful Competitor 5,9,-4057.381255662509
0,Truthful Competitor 5,10,-4199.386777270746
0,Truthful Competitor 5,11,-4014.1188103715485
0,Truthful Competitor 5,12,-4066.2290441810446
0,Truthful Competitor 5,13,-4034.561629494674
0,Truthful Competitor 5,14,-4110.776592657854
0,Truthful Competitor 5,15,-4074.4538136698593
0,Truthful Competitor 5,16,-4052.662069157542
0,Truthful Competitor 5,17,-4069.7201138725413
0,Truthful Competitor 5,18,-4016.098460813281
0,Truthful Competitor 5,19,-3994.794259138406
0,Truthful Competitor 5,20,-3902.8502910525053
0,Truthful Competitor 5,21,-4015.121385858247
0,Truthful Competitor 5,22,-4106.3305179649215
0,Truthful Competitor 5,23,-4133.688761974021
0,Truthful Competitor 5,24,-4135.588145230094
0,Truthful Competitor 6,0,-22031.823978812707
0,Truthful Competitor 6,1,-10831.070517532986
0,Truthful Competitor 6,2,-4526.2328637091905
0,Truthful Competitor 6,3,-3585.2938039792725
0,Truthful Competitor 6,4,-3589.1320894035753
0,Truthful Competitor 6,5,-3651.4582977482473
0,Truthful Competitor 6,6,-3596.295788725144
0,Truthful Competitor 6,7,-3827.5897285402025
0,Truthful Competitor 6,8,-3651.3168161773738
0,Truthful Competitor 6,9,-3654.735242890137
0,Truthful Competitor 6,10,-3397.8611605370916
0,Truthful Competitor 6,11,-3637.683792284174
0,Truthful Competitor 6,12,-3462.7040164080204
0,Truthful Competitor 6,13,-3305.0548528594704
0,Truthful Competitor 6,14,-3509.074961765566
0,Truthful Competitor 6,15,-3515.0226983343446
0,Truthful Competitor 6,16,-3490.5995759959405
0,Truthful Competitor 6,17,-3590.539099905041
0,Truthful Competitor 6,18,-3437.6992984674525
0,Truthful Competitor 6,19,-3485.3411263820913
0,Truthful Competitor 6,20,-3348.7144571838758
0,Truthful Competitor 6,21,-3475.634867929377
0,Truthful Competitor 6,22,-3333.0585457178063
0,Truthful Competitor 6,23,-3126.2871684918705
0,Truthful Competitor 6,24,-3378.2477662309284
0,Truthful Competitor 7,0,-57747.204173987826
0,Truthful Competitor 7,1,-6513.901852439338
0,Truthful Competitor 7,2,-4540.307517205094
0,Truthful Competitor 7,3,-4515.049707454479
0,Truthful Competitor 7,4,-4508.5479197092955
0,Truthful Competitor 7,5,-4504.99693069475
0,Truthful Competitor 7,6,-4467.515195337974
0,Truthful Competitor 7,7,-4494.5706316591595
0,Truthful Competitor 7,8,-4493.675123715982
0,Truthful Competitor 7,9,-4355.931988640261
0,Truthful Competitor 7,10,-4338.143794258879
0,Truthful Competitor 7,11,-4434.160519004548
0,Truthful Competitor 7,12,-4578.341619495933
0,Truthful Competitor 7,13,-4514.407168986745
0,Truthful Competitor 7,14,-4508.95049302683
0,Truthful Competitor 7,15,-4480.373377945047
0,Truthful Competitor 7,16,-4366.35255953692
0,Truthful Competitor 7,17,-4514.108549630788
0,Truthful Competitor 7,18,-4425.693589934433
0,Truthful Competitor 7,19,-4502.705282425259
0,Truthful Competitor 7,20,-4524.019386348253
0,Truthful Competitor 7,21,-4555.067523998854
0,Truthful Competitor 7,22,-4406.691449077333
