Run,Agent,Iteration,Total Spend
0,PPO Bidder - Gross Utility 1,0,13140.655546266518
0,PPO Bidder - Gross Utility 1,1,5819.1996121658985
0,PPO Bidder - Gross Utility 1,2,4900.158993310769
0,PPO Bidder - Gross Utility 1,3,5128.061083176547
0,PPO Bidder - Gross Utility 1,4,5179.097406752023
0,PPO Bidder - Gross Utility 1,5,5511.600218953657
0,PPO Bidder - Gross Utility 1,6,5280.248482991788
0,PPO Bidder - Gross Utility 1,7,5530.326261431419
0,PPO Bidder - Gross Utility 1,8,5369.775019525569
0,PPO Bidder - Gross Utility 1,9,5360.910874793646
0,PPO Bidder - Gross Utility 1,10,5398.209135623537
0,PPO Bidder - Gross Utility 1,11,5331.0874708755555
0,PPO Bidder - Gross Utility 1,12,5435.328545244007
0,PPO Bidder - Gross Utility 1,13,5344.001121095811
0,PPO Bidder - Gross Utility 1,14,5491.487951182817
0,PPO Bidder - Gross Utility 1,15,5312.206195007973
0,PPO Bidder - Gross Utility 1,16,5471.017452531295
0,PPO Bidder - Gross Utility 1,17,5287.100970130019
0,PPO Bidder - Gross Utility 1,18,5337.42310459932
0,PPO Bidder - Gross Utility 1,19,5492.679675080791
0,PPO Bidder - Gross Utility 1,20,5492.127674845002
0,PPO Bidder - Gross Utility 1,21,5460.452970893022
0,PPO Bidder - Gross Utility 1,22,5407.1316587406345
0,PPO Bidder - Gross Utility 1,23,5351.938173172195
0,PPO Bidder - Gross Utility 1,24,5378.787362070617
0,Truthful Competitor 2,0,78.57907051438328
0,Truthful Competitor 2,1,696.8302003196075
0,Truthful Competitor 2,2,535.3911212415978
0,Truthful Competitor 2,3,429.59555286382175
0,Truthful Competitor 2,4,415.580772731742
0,Truthful Competitor 2,5,344.77205186621563
0,Truthful Competitor 2,6,315.5023637561547
0,Truthful Competitor 2,7,355.1398035619436
0,Truthful Competitor 2,8,350.82347190778376
0,Truthful Competitor 2,9,291.17044055599507
0,Truthful Competitor 2,10,300.9053707091201
0,Truthful Competitor 2,11,317.13757929060773
0,Truthful Competitor 2,12,349.4125066404498
0,Truthful Competitor 2,13,341.8819795586651
0,Truthful Competitor 2,14,296.15393312377375
0,Truthful Competitor 2,15,333.8198962596616
0,Truthful Competitor 2,16,385.23052842946413
0,Truthful Competitor 2,17,314.4055513345122
0,Truthful Competitor 2,18,316.38387754425804
0,Truthful Competitor 2,19,345.938988203768
0,Truthful Competitor 2,20,380.22000992470964
0,Truthful Competitor 2,21,293.5216284924797
0,Truthful Competitor 2,22,367.7146735221612
0,Truthful Competitor 2,23,321.4888856247811
0,Truthful Competitor 2,24,383.5324100388314
0,Truthful Competitor 3,0,128.3265816717677
0,Truthful Competitor 3,1,522.244470517853
0,Truthful Competitor 3,2,734.1595730014074
0,Truthful Competitor 3,3,1055.2261176262953
0,Truthful Competitor 3,4,930.464737748452
0,Truthful Competitor 3,5,885.0592275274456
0,Truthful Competitor 3,6,904.1042576395316
0,Truthful Competitor 3,7,962.2966796265706
0,Truthful Competitor 3,8,965.8721775104104
0,Truthful Competitor 3,9,1058.0429849616369
0,Truthful Competitor 3,10,921.938447912206
0,Truthful Competitor 3,11,985.4387606784074
0,Truthful Competitor 3,12,900.3647197830101
0,Truthful Competitor 3,13,943.6933370812418
0,Truthful Competitor 3,14,804.2312829728688
0,Truthful Competitor 3,15,992.9107514203026
0,Truthful Competitor 3,16,835.1231058066925
0,Truthful Competitor 3,17,1050.05657835882
0,Truthful Competitor 3,18,1050.9034163016327
