Run,Agent,Iteration,CVR
0,PPO Bidder - Gross Utility 1,0,0.09786657636302065
0,PPO Bidder - Gross Utility 1,1,0.0993362325474937
0,PPO Bidder - Gross Utility 1,2,0.10258584145824502
0,PPO Bidder - Gross Utility 1,3,0.10232212914855264
0,PPO Bidder - Gross Utility 1,4,0.1017302480717115
0,PPO Bidder - Gross Utility 1,5,0.09897504917693344
0,PPO Bidder - Gross Utility 1,6,0.10344106265035038
0,PPO Bidder - Gross Utility 1,7,0.09877456158884429
0,PPO Bidder - Gross Utility 1,8,0.09604221635883906
0,PPO Bidder - Gross Utility 1,9,0.09573908469226723
0,PPO Bidder - Gross Utility 1,10,0.10087765676218674
0,PPO Bidder - Gross Utility 1,11,0.0984872867718056
0,PPO Bidder - Gross Utility 1,12,0.09902768970619319
0,PPO Bidder - Gross Utility 1,13,0.09907055344317701
0,PPO Bidder - Gross Utility 1,14,0.09620868095891857
0,PPO Bidder - Gross Utility 1,15,0.09994722955145119
0,PPO Bidder - Gross Utility 1,16,0.0978192493185154
0,PPO Bidder - Gross Utility 1,17,0.09692470837751856
0,PPO Bidder - Gross Utility 1,18,0.10673740053050398
0,PPO Bidder - Gross Utility 1,19,0.09738464809695939
0,PPO Bidder - Gross Utility 1,20,0.09850242564859735
0,PPO Bidder - Gross Utility 1,21,0.10171979865771812
0,PPO Bidder - Gross Utility 1,22,0.10317376074726674
0,PPO Bidder - Gross Utility 1,23,0.09293600600278701
0,PPO Bidder - Gross Utility 1,24,0.09737036645897137
0,Truthful Competitor 2,0,0.10232558139534884
0,Truthful Competitor 2,1,0.10703592814371257
0,Truthful Competitor 2,2,0.09547530095475301
0,Truthful Competitor 2,3,0.0947539650264335
0,Truthful Competitor 2,4,0.10342019543973942
0,Truthful Competitor 2,5,0.08795725441841348
0,Truthful Competitor 2,6,0.10517529215358931
0,Truthful Competitor 2,7,0.10620525059665871
0,Truthful Competitor 2,8,0.09409368635437881
0,Truthful Competitor 2,9,0.09761036857027136
0,Truthful Competitor 2,10,0.09181553801412547
0,Truthful Competitor 2,11,0.09753086419753086
0,Truthful Competitor 2,12,0.10326311441553077
0,Truthful Competitor 2,13,0.10640032613126783
0,Truthful Competitor 2,14,0.10981025433992733
0,Truthful Competitor 2,15,0.09146094698502631
0,Truthful Competitor 2,16,0.09984089101034209
0,Truthful Competitor 2,17,0.09150865622423743
0,Truthful Competitor 2,18,0.10078805474906678
0,Truthful Competitor 2,19,0.10077204388459976
0,Truthful Competitor 2,20,0.10187027457222443
0,Truthful Competitor 2,21,0.10455445544554455
0,Truthful Competitor 2,22,0.10395434162250305
0,Truthful Competitor 2,23,0.10913500404203719
0,Truthful Competitor 2,24,0.09108832807570978
0,Truthful Competitor 3,0,0.10140636565507032
0,Truthful Competitor 3,1,0.10095832404724761
0,Truthful Competitor 3,2,0.09141274238227147
0,Truthful Competitor 3,3,0.09597018402049849
0,Truthful Competitor 3,4,0.10102210601378654
0,Truthful Competitor 3,5,0.10126286248830683
0,Truthful Competitor 3,6,0.09271844660194174
0,Truthful Competitor 3,7,0.09918738049713192
0,Truthful Competitor 3,8,0.09876543209876543
0,Truthful Competitor 3,9,0.10056925996204934
0,Truthful Competitor 3,10,0.09503940658321743
0,Truthful Competitor 3,11,0.09774603883061816
0,Truthful Competitor 3,12,0.10175106483672504
0,Truthful Competitor 3,13,0.09907192575406032
0,Truthful Competitor 3,14,0.10607866507747318
0,Truthful Competitor 3,15,0.10589874593590339
0,Truthful Competitor 3,16,0.09259259259259259
0,Truthful Competitor 3,17,0.09535333978702808
0,Truthful Competitor 3,18,0.09981429897864438
0,Truthful Competitor 3,19,0.10432156133828996
0,Truthful Competitor 3,20,0.10472512494320764
0,Truthful Competitor 3,21,0.0955550273353934
0,Truthful Competitor 3,22,0.09849521203830369
0,Truthful Competitor 3,23,0.10256410256410256
0,Truthful Competitor 3,24,0.09639115250291036
0,Truthful Competitor 4,0,0.10121457489878542
0,Truthful Competitor 4,1,0.0924092409240924
0,Truthful Competitor 4,2,0.10036213140196586
0,Truthful Competitor 4,3,0.10115606936416185
0,Truthful Competitor 4,4,0.09698169223156854
0,Truthful Competitor 4,5,0.09807787087235091
0,Truthful Competitor 4,6,0.10697911360163016
0,Truthful Competitor 4,7,0.09751243781094528
0,Truthful Competitor 4,8,0.09578344612181156
0,Truthful Competitor 4,9,0.10636182902584493
0,Truthful Competitor 4,10,0.10178117048346055
0,Truthful Competitor 4,11,0.10539714867617107
0,Truthful Competitor 4,12,0.0956989247311828
