Run,Agent,Iteration,Overbid Regret
0,PPO Bidder - Gross Utility 1,0,0.0
0,PPO Bidder - Gross Utility 1,1,0.0
0,PPO Bidder - Gross Utility 1,2,0.0
0,PPO Bidder - Gross Utility 1,3,0.0
0,PPO Bidder - Gross Utility 1,4,0.0
0,PPO Bidder - Gross Utility 1,5,0.0
0,PPO Bidder - Gross Utility 1,6,0.0
0,PPO Bidder - Gross Utility 1,7,0.0
0,PPO Bidder - Gross Utility 1,8,0.0
0,PPO Bidder - Gross Utility 1,9,0.0
0,PPO Bidder - Gross Utility 1,10,0.0
0,PPO Bidder - Gross Utility 1,11,0.0
0,PPO Bidder - Gross Utility 1,12,0.0
0,PPO Bidder - Gross Utility 1,13,0.0
0,PPO Bidder - Gross Utility 1,14,0.0
0,PPO Bidder - Gross Utility 1,15,0.0
0,PPO Bidder - Gross Utility 1,16,0.0
0,PPO Bidder - Gross Utility 1,17,0.0
0,PPO Bidder - Gross Utility 1,18,0.0
0,PPO Bidder - Gross Utility 1,19,0.0
0,PPO Bidder - Gross Utility 1,20,0.0
0,PPO Bidder - Gross Utility 1,21,0.0
0,PPO Bidder - Gross Utility 1,22,0.0
0,PPO Bidder - Gross Utility 1,23,0.0
0,PPO Bidder - Gross Utility 1,24,0.0
0,Truthful Competitor 2,0,0.0
0,Truthful Competitor 2,1,0.0
0,Truthful Competitor 2,2,0.0
0,Truthful Competitor 2,3,0.0
0,Truthful Competitor 2,4,0.0
0,Truthful Competitor 2,5,0.0
0,Truthful Competitor 2,6,0.0
0,Truthful Competitor 2,7,0.0
0,Truthful Competitor 2,8,0.0
0,Truthful Competitor 2,9,0.0
0,Truthful Competitor 2,10,0.0
0,Truthful Competitor 2,11,0.0
0,Truthful Competitor 2,12,0.0
0,Truthful Competitor 2,13,0.0
0,Truthful Competitor 2,14,0.0
0,Truthful Competitor 2,15,0.0
0,Truthful Competitor 2,16,0.0
0,Truthful Competitor 2,17,0.0
0,Truthful Competitor 2,18,0.0
0,Truthful Competitor 2,19,0.0
0,Truthful Competitor 2,20,0.0
0,Truthful Competitor 2,21,0.0
0,Truthful Competitor 2,22,0.0
0,Truthful Competitor 2,23,0.0
0,Truthful Competitor 2,24,0.0
0,Truthful Competitor 3,0,0.0
0,Truthful Competitor 3,1,0.0
0,Truthful Competitor 3,2,0.0
0,Truthful Competitor 3,3,0.0
0,Truthful Competitor 3,4,0.0
0,Truthful Competitor 3,5,0.0
0,Truthful Competitor 3,6,0.0
0,Truthful Competitor 3,7,0.0
0,Truthful Competitor 3,8,0.0
0,Truthful Competitor 3,9,0.0
0,Truthful Competitor 3,10,0.0
0,Truthful Competitor 3,11,0.0
0,Truthful Competitor 3,12,0.0
0,Truthful Competitor 3,13,0.0
0,Truthful Competitor 3,14,0.0
0,Truthful Competitor 3,15,0.0
0,Truthful Competitor 3,16,0.0
0,Truthful Competitor 3,17,0.0
0,Truthful Competitor 3,18,0.0
0,Truthful Competitor 3,19,0.0
0,Truthful Competitor 3,20,0.0
0,Truthful Competitor 3,21,0.0
0,Truthful Competitor 3,22,0.0
0,Truthful Competitor 3,23,0.0
0,Truthful Competitor 3,24,0.0
0,Truthful Competitor 4,0,0.0
0,Truthful Competitor 4,1,0.0
0,Truthful Competitor 4,2,0.0
0,Truthful Competitor 4,3,0.0
0,Truthful Competitor 4,4,0.0
0,Truthful Competitor 4,5,0.0
0,Truthful Competitor 4,6,0.0
0,Truthful Competitor 4,7,0.0
0,Truthful Competitor 4,8,0.0
0,Truthful Competitor 4,9,0.0
0,Truthful Competitor 4,10,0.0
0,Truthful Competitor 4,11,0.0
0,Truthful Competitor 4,12,0.0
