Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Gross Utility 1,0,5780.0
0,PPO Bidder - Gross Utility 1,1,17360.0
0,PPO Bidder - Gross Utility 1,2,19360.0
0,PPO Bidder - Gross Utility 1,3,19300.0
0,PPO Bidder - Gross Utility 1,4,19520.0
0,PPO Bidder - Gross Utility 1,5,19120.0
0,PPO Bidder - Gross Utility 1,6,19780.0
0,PPO Bidder - Gross Utility 1,7,18700.0
0,PPO Bidder - Gross Utility 1,8,18200.0
0,PPO Bidder - Gross Utility 1,9,18200.0
0,PPO Bidder - Gross Utility 1,10,19080.0
0,PPO Bidder - Gross Utility 1,11,18360.0
0,PPO Bidder - Gross Utility 1,12,18740.0
0,PPO Bidder - Gross Utility 1,13,18760.0
0,PPO Bidder - Gross Utility 1,14,18220.0
0,PPO Bidder - Gross Utility 1,15,18940.0
0,PPO Bidder - Gross Utility 1,16,18660.0
0,PPO Bidder - Gross Utility 1,17,18280.0
0,PPO Bidder - Gross Utility 1,18,20120.0
0,PPO Bidder - Gross Utility 1,19,18320.0
0,PPO Bidder - Gross Utility 1,20,18680.0
0,PPO Bidder - Gross Utility 1,21,19400.0
0,PPO Bidder - Gross Utility 1,22,19440.0
0,PPO Bidder - Gross Utility 1,23,17340.0
0,PPO Bidder - Gross Utility 1,24,18440.0
0,Truthful Competitor 2,0,440.0
0,Truthful Competitor 2,1,5720.0
0,Truthful Competitor 2,2,4600.0
0,Truthful Competitor 2,3,4660.0
0,Truthful Competitor 2,4,5080.0
0,Truthful Competitor 2,5,4280.0
0,Truthful Competitor 2,6,5040.0
0,Truthful Competitor 2,7,5340.0
0,Truthful Competitor 2,8,4620.0
0,Truthful Competitor 2,9,4820.0
0,Truthful Competitor 2,10,4420.0
0,Truthful Competitor 2,11,4740.0
0,Truthful Competitor 2,12,5000.0
0,Truthful Competitor 2,13,5220.0
0,Truthful Competitor 2,14,5440.0
0,Truthful Competitor 2,15,4520.0
0,Truthful Competitor 2,16,5020.0
0,Truthful Competitor 2,17,4440.0
0,Truthful Competitor 2,18,4860.0
0,Truthful Competitor 2,19,4960.0
0,Truthful Competitor 2,20,5120.0
0,Truthful Competitor 2,21,5280.0
0,Truthful Competitor 2,22,5100.0
0,Truthful Competitor 2,23,5400.0
0,Truthful Competitor 2,24,4620.0
0,Truthful Competitor 3,0,2740.0
0,Truthful Competitor 3,1,9060.0
0,Truthful Competitor 3,2,7920.0
0,Truthful Competitor 3,3,8240.0
0,Truthful Competitor 3,4,8500.0
0,Truthful Competitor 3,5,8660.0
0,Truthful Competitor 3,6,7640.0
0,Truthful Competitor 3,7,8300.0
0,Truthful Competitor 3,8,8480.0
0,Truthful Competitor 3,9,8480.0
0,Truthful Competitor 3,10,8200.0
0,Truthful Competitor 3,11,8760.0
0,Truthful Competitor 3,12,8600.0
0,Truthful Competitor 3,13,8540.0
0,Truthful Competitor 3,14,8900.0
0,Truthful Competitor 3,15,9120.0
0,Truthful Competitor 3,16,7800.0
0,Truthful Competitor 3,17,7880.0
0,Truthful Competitor 3,18,8600.0
0,Truthful Competitor 3,19,8980.0
0,Truthful Competitor 3,20,9220.0
0,Truthful Competitor 3,21,8040.0
0,Truthful Competitor 3,22,8640.0
0,Truthful Competitor 3,23,8960.0
0,Truthful Competitor 3,24,8280.0
0,Truthful Competitor 4,0,2000.0
0,Truthful Competitor 4,1,3360.0
0,Truthful Competitor 4,2,3880.0
0,Truthful Competitor 4,3,4200.0
0,Truthful Competitor 4,4,3920.0
0,Truthful Competitor 4,5,3980.0
0,Truthful Competitor 4,6,4200.0
0,Truthful Competitor 4,7,3920.0
0,Truthful Competitor 4,8,3680.0
0,Truthful Competitor 4,9,4280.0
0,Truthful Competitor 4,10,4000.0
