Run,Agent,Iteration,Total Clicks
0,PPO Bidder - Net Utility 1,0,318
0,PPO Bidder - Net Utility 1,1,6888
0,PPO Bidder - Net Utility 1,2,7977
0,PPO Bidder - Net Utility 1,3,7086
0,PPO Bidder - Net Utility 1,4,8277
0,PPO Bidder - Net Utility 1,5,8239
0,PPO Bidder - Net Utility 1,6,8355
0,PPO Bidder - Net Utility 1,7,8382
0,PPO Bidder - Net Utility 1,8,8361
0,PPO Bidder - Net Utility 1,9,8268
0,PPO Bidder - Net Utility 1,10,8122
0,PPO Bidder - Net Utility 1,11,8289
0,PPO Bidder - Net Utility 1,12,8303
0,PPO Bidder - Net Utility 1,13,8405
0,PPO Bidder - Net Utility 1,14,8180
0,PPO Bidder - Net Utility 1,15,7736
0,PPO Bidder - Net Utility 1,16,7783
0,PPO Bidder - Net Utility 1,17,7778
0,PPO Bidder - Net Utility 1,18,7986
0,PPO Bidder - Net Utility 1,19,7932
0,PPO Bidder - Net Utility 1,20,7764
0,PPO Bidder - Net Utility 1,21,7852
0,PPO Bidder - Net Utility 1,22,7651
0,PPO Bidder - Net Utility 1,23,7501
0,PPO Bidder - Net Utility 1,24,7768
0,Truthful Competitor 2,0,195
0,Truthful Competitor 2,1,3003
0,Truthful Competitor 2,2,2773
0,Truthful Competitor 2,3,2229
0,Truthful Competitor 2,4,2617
0,Truthful Competitor 2,5,2675
0,Truthful Competitor 2,6,2506
0,Truthful Competitor 2,7,2476
0,Truthful Competitor 2,8,2509
0,Truthful Competitor 2,9,2716
0,Truthful Competitor 2,10,2641
0,Truthful Competitor 2,11,2657
0,Truthful Competitor 2,12,2699
0,Truthful Competitor 2,13,2655
0,Truthful Competitor 2,14,2662
0,Truthful Competitor 2,15,2720
0,Truthful Competitor 2,16,2641
0,Truthful Competitor 2,17,2655
0,Truthful Competitor 2,18,2718
0,Truthful Competitor 2,19,2689
0,Truthful Competitor 2,20,2721
0,Truthful Competitor 2,21,2636
0,Truthful Competitor 2,22,2697
0,Truthful Competitor 2,23,2797
0,Truthful Competitor 2,24,2681
0,Truthful Competitor 3,0,5479
0,Truthful Competitor 3,1,4587
0,Truthful Competitor 3,2,4689
0,Truthful Competitor 3,3,3000
0,Truthful Competitor 3,4,4786
0,Truthful Competitor 3,5,4722
0,Truthful Competitor 3,6,4673
0,Truthful Competitor 3,7,4699
0,Truthful Competitor 3,8,4749
0,Truthful Competitor 3,9,4631
0,Truthful Competitor 3,10,4706
0,Truthful Competitor 3,11,4715
0,Truthful Competitor 3,12,4582
0,Truthful Competitor 3,13,4556
0,Truthful Competitor 3,14,4672
0,Truthful Competitor 3,15,4622
0,Truthful Competitor 3,16,4630
0,Truthful Competitor 3,17,4640
0,Truthful Competitor 3,18,4601
0,Truthful Competitor 3,19,4625
0,Truthful Competitor 3,20,4802
0,Truthful Competitor 3,21,4714
0,Truthful Competitor 3,22,4573
0,Truthful Competitor 3,23,4709
0,Truthful Competitor 3,24,4749
0,Truthful Competitor 4,0,147
0,Truthful Competitor 4,1,1534
0,Truthful Competitor 4,2,1879
0,Truthful Competitor 4,3,936
0,Truthful Competitor 4,4,2050
0,Truthful Competitor 4,5,2078
0,Truthful Competitor 4,6,1918
0,Truthful Competitor 4,7,1904
0,Truthful Competitor 4,8,1926
0,Truthful Competitor 4,9,1914
0,Truthful Competitor 4,10,1821
0,Truthful Competitor 4,11,1832
0,Truthful Competitor 4,12,1977
0,Truthful Competitor 4,13,1854
0,Truthful Competitor 4,14,1936
0,Truthful Competitor 4,15,1940
0,Truthful Competitor 4,16,1951
0,Truthful Competitor 4,17,1894
0,Truthful Competitor 4,18,1952
0,Truthful Competitor 4,19,1945
0,Truthful Competitor 4,20,1904
0,Truthful Competitor 4,21,1924
0,Truthful Competitor 4,22,1898
0,Truthful Competitor 4,23,1910
0,Truthful Competitor 4,24,1919
0,Truthful Competitor 5,0,888
0,Truthful Competitor 5,1,1404
0,Truthful Competitor 5,2,1484
0,Truthful Competitor 5,3,1405
0,Truthful Competitor 5,4,1480
0,Truthful Competitor 5,5,1493
0,Truthful Competitor 5,6,1420
0,Truthful Competitor 5,7,1391
0,Truthful Competitor 5,8,1438
0,Truthful Competitor 5,9,1418
0,Truthful Competitor 5,10,1417
0,Truthful Competitor 5,11,1423
0,Truthful Competitor 5,12,1428
0,Truthful Competitor 5,13,1408
0,Truthful Competitor 5,14,1515
0,Truthful Competitor 5,15,1542
0,Truthful Competitor 5,16,1548
0,Truthful Competitor 5,17,1548
0,Truthful Competitor 5,18,1515
0,Truthful Competitor 5,19,1473
0,Truthful Competitor 5,20,1503
0,Truthful Competitor 5,21,1555
0,Truthful Competitor 5,22,1634
0,Truthful Competitor 5,23,1614
0,Truthful Competitor 5,24,1582
0,Truthful Competitor 6,0,11
0,Truthful Competitor 6,1,282
0,Truthful Competitor 6,2,323
0,Truthful Competitor 6,3,244
0,Truthful Competitor 6,4,274
0,Truthful Competitor 6,5,288
0,Truthful Competitor 6,6,343
0,Truthful Competitor 6,7,396
0,Truthful Competitor 6,8,327
0,Truthful Competitor 6,9,309
0,Truthful Competitor 6,10,252
0,Truthful Competitor 6,11,276
0,Truthful Competitor 6,12,245
0,Truthful Competitor 6,13,292
0,Truthful Competitor 6,14,334
0,Truthful Competitor 6,15,389
0,Truthful Competitor 6,16,359
0,Truthful Competitor 6,17,352
0,Truthful Competitor 6,18,319
0,Truthful Competitor 6,19,271
0,Truthful Competitor 6,20,260
0,Truthful Competitor 6,21,268
0,Truthful Competitor 6,22,275
0,Truthful Competitor 6,23,301
0,Truthful Competitor 6,24,332
0,Truthful Competitor 7,0,270
0,Truthful Competitor 7,1,5191
0,Truthful Competitor 7,2,9038
0,Truthful Competitor 7,3,7123
0,Truthful Competitor 7,4,8868
0,Truthful Competitor 7,5,8855
0,Truthful Competitor 7,6,8802
0,Truthful Competitor 7,7,8930
0,Truthful Competitor 7,8,8975
0,Truthful Competitor 7,9,9022
0,Truthful Competitor 7,10,9011
0,Truthful Competitor 7,11,8819
0,Truthful Competitor 7,12,8955
0,Truthful Competitor 7,13,8909
0,Truthful Competitor 7,14,8943
0,Truthful Competitor 7,15,8991
0,Truthful Competitor 7,16,8970
0,Truthful Competitor 7,17,8923
0,Truthful Competitor 7,18,9086
0,Truthful Competitor 7,19,8968
0,Truthful Competitor 7,20,8867
0,Truthful Competitor 7,21,8855
0,Truthful Competitor 7,22,8892
0,Truthful Competitor 7,23,8883
0,Truthful Competitor 7,24,8967
0,Truthful Competitor 8,0,254
0,Truthful Competitor 8,1,4790
0,Truthful Competitor 8,2,1593
0,Truthful Competitor 8,3,764
0,Truthful Competitor 8,4,1536
0,Truthful Competitor 8,5,1511
0,Truthful Competitor 8,6,1640
0,Truthful Competitor 8,7,1543
0,Truthful Competitor 8,8,1542
0,Truthful Competitor 8,9,1423
0,Truthful Competitor 8,10,1492
0,Truthful Competitor 8,11,1541
0,Truthful Competitor 8,12,1683
0,Truthful Competitor 8,13,1662
0,Truthful Competitor 8,14,1617
0,Truthful Competitor 8,15,1615
0,Truthful Competitor 8,16,1615
0,Truthful Competitor 8,17,1740
0,Truthful Competitor 8,18,1613
0,Truthful Competitor 8,19,1678
0,Truthful Competitor 8,20,1683
0,Truthful Competitor 8,21,1579
0,Truthful Competitor 8,22,1693
0,Truthful Competitor 8,23,1611
0,Truthful Competitor 8,24,1656
0,Truthful Competitor 9,0,102
0,Truthful Competitor 9,1,7
0,Truthful Competitor 9,2,4
0,Truthful Competitor 9,3,3272
0,Truthful Competitor 9,4,87
0,Truthful Competitor 9,5,47
0,Truthful Competitor 9,6,21
0,Truthful Competitor 9,7,58
0,Truthful Competitor 9,8,76
0,Truthful Competitor 9,9,48
0,Truthful Competitor 9,10,20
0,Truthful Competitor 9,11,30
0,Truthful Competitor 9,12,141
0,Truthful Competitor 9,13,91
0,Truthful Competitor 9,14,66
0,Truthful Competitor 9,15,106
0,Truthful Competitor 9,16,169
0,Truthful Competitor 9,17,148
0,Truthful Competitor 9,18,113
0,Truthful Competitor 9,19,104
0,Truthful Competitor 9,20,74
0,Truthful Competitor 9,21,103
0,Truthful Competitor 9,22,140
0,Truthful Competitor 9,23,122
0,Truthful Competitor 9,24,83
0,Truthful Competitor 10,0,546
0,Truthful Competitor 10,1,234
0,Truthful Competitor 10,2,175
0,Truthful Competitor 10,3,42
0,Truthful Competitor 10,4,178
0,Truthful Competitor 10,5,187
0,Truthful Competitor 10,6,210
0,Truthful Competitor 10,7,225
0,Truthful Competitor 10,8,163
0,Truthful Competitor 10,9,225
0,Truthful Competitor 10,10,294
0,Truthful Competitor 10,11,211
0,Truthful Competitor 10,12,211
0,Truthful Competitor 10,13,181
0,Truthful Competitor 10,14,172
0,Truthful Competitor 10,15,186
0,Truthful Competitor 10,16,201
0,Truthful Competitor 10,17,211
0,Truthful Competitor 10,18,190
0,Truthful Competitor 10,19,230
0,Truthful Competitor 10,20,205
0,Truthful Competitor 10,21,237
0,Truthful Competitor 10,22,249
0,Truthful Competitor 10,23,192
0,Truthful Competitor 10,24,197
0,Truthful Competitor 11,0,4186
0,Truthful Competitor 11,1,1566
0,Truthful Competitor 11,2,2621
0,Truthful Competitor 11,3,1038
0,Truthful Competitor 11,4,2535
0,Truthful Competitor 11,5,2588
0,Truthful Competitor 11,6,2551
0,Truthful Competitor 11,7,2684
0,Truthful Competitor 11,8,2644
0,Truthful Competitor 11,9,2716
0,Truthful Competitor 11,10,2785
0,Truthful Competitor 11,11,2631
0,Truthful Competitor 11,12,2536
0,Truthful Competitor 11,13,2654
0,Truthful Competitor 11,14,2703
0,Truthful Competitor 11,15,2612
0,Truthful Competitor 11,16,2614
