Run,Iteration,Measure,Measure Name
0,0,101049.6911494161,Auction Revenue
0,1,30464.08721711081,Auction Revenue
0,2,20205.45371457235,Auction Revenue
0,3,20026.059691173723,Auction Revenue
0,4,20512.246578216193,Auction Revenue
0,5,20991.203651489555,Auction Revenue
0,6,21334.22290374409,Auction Revenue
0,7,21007.80865930788,Auction Revenue
0,8,21060.463548085383,Auction Revenue
0,9,21158.29972322084,Auction Revenue
0,10,21082.016408613898,Auction Revenue
0,11,20924.74946571013,Auction Revenue
0,12,21027.39735309428,Auction Revenue
0,13,21025.871236613802,Auction Revenue
0,14,21279.539064181732,Auction Revenue
0,15,21295.392647379376,Auction Revenue
0,16,21379.889103645593,Auction Revenue
0,17,21423.34227497686,Auction Revenue
0,18,21354.560001647267,Auction Revenue
0,19,21388.995574362605,Auction Revenue
0,20,21587.280956491493,Auction Revenue
0,21,21501.947482149575,Auction Revenue
0,22,21710.589864458783,Auction Revenue
0,23,21205.771972441966,Auction Revenue
0,24,21174.6880472804,Auction Revenue
1,0,98378.70733311698,Auction Revenue
1,1,24411.337662567024,Auction Revenue
1,2,17846.987465598184,Auction Revenue
1,3,17251.58797334763,Auction Revenue
1,4,17454.48728425487,Auction Revenue
1,5,17484.390959563676,Auction Revenue
1,6,17864.03368023298,Auction Revenue
1,7,17484.368264449397,Auction Revenue
1,8,17465.883190772962,Auction Revenue
1,9,17463.887253484958,Auction Revenue
1,10,17528.568315964127,Auction Revenue
1,11,17583.064232717345,Auction Revenue
1,12,17591.623710497664,Auction Revenue
1,13,17950.999823022772,Auction Revenue
1,14,17779.33580739188,Auction Revenue
1,15,17431.120196749656,Auction Revenue
1,16,17605.20581968828,Auction Revenue
1,17,17440.15555074062,Auction Revenue
1,18,17812.488455744646,Auction Revenue
1,19,17334.61924938523,Auction Revenue
1,20,17490.68435534129,Auction Revenue
1,21,17278.676912728366,Auction Revenue
1,22,17453.38822551317,Auction Revenue
1,23,17339.24443532461,Auction Revenue
1,24,17221.439249036055,Auction Revenue
2,0,104081.17530933455,Auction Revenue
2,1,35322.14778423573,Auction Revenue
2,2,21356.126091427956,Auction Revenue
2,3,22179.20067339324,Auction Revenue
2,4,20766.044244753826,Auction Revenue
2,5,20496.513425652756,Auction Revenue
2,6,20390.738701911763,Auction Revenue
