Run,Agent,Iteration,Total Spend
0,PPO Bidder - Net Utility 1,0,23395.30666918029
0,PPO Bidder - Net Utility 1,1,2474.616649630689
0,PPO Bidder - Net Utility 1,2,3314.53055953278
0,PPO Bidder - Net Utility 1,3,3403.872963046097
0,PPO Bidder - Net Utility 1,4,3480.112507722193
0,PPO Bidder - Net Utility 1,5,3540.077802925537
0,PPO Bidder - Net Utility 1,6,3479.760836704135
0,PPO Bidder - Net Utility 1,7,3527.8654719679416
0,PPO Bidder - Net Utility 1,8,3444.6795512476424
0,PPO Bidder - Net Utility 1,9,3539.030163221696
0,PPO Bidder - Net Utility 1,10,3466.7647378981205
0,PPO Bidder - Net Utility 1,11,3389.301803315129
0,PPO Bidder - Net Utility 1,12,3520.3654692592427
0,PPO Bidder - Net Utility 1,13,3645.8668542359856
0,PPO Bidder - Net Utility 1,14,3656.4623754039644
0,PPO Bidder - Net Utility 1,15,3728.382347915761
0,PPO Bidder - Net Utility 1,16,3860.849277824534
0,PPO Bidder - Net Utility 1,17,3766.2967948896353
0,PPO Bidder - Net Utility 1,18,3766.5839844713305
0,PPO Bidder - Net Utility 1,19,3820.7726986734897
0,PPO Bidder - Net Utility 1,20,3783.0924441373777
0,PPO Bidder - Net Utility 1,21,3934.9856246432223
0,PPO Bidder - Net Utility 1,22,4000.1961053440964
0,PPO Bidder - Net Utility 1,23,3776.195971910981
0,PPO Bidder - Net Utility 1,24,3826.7143111646506
0,Truthful Competitor 2,0,55.23128081960722
0,Truthful Competitor 2,1,32.16756932597165
0,Truthful Competitor 2,2,799.2616579549145
0,Truthful Competitor 2,3,535.9288969583934
0,Truthful Competitor 2,4,489.78514260028294
0,Truthful Competitor 2,5,393.1185567961656
0,Truthful Competitor 2,6,383.9088883159388
0,Truthful Competitor 2,7,443.89960997712893
0,Truthful Competitor 2,8,379.8014131064665
0,Truthful Competitor 2,9,333.0955502532988
0,Truthful Competitor 2,10,386.95586814492475
0,Truthful Competitor 2,11,401.8344281673292
0,Truthful Competitor 2,12,467.7000970573491
0,Truthful Competitor 2,13,407.91495308909595
0,Truthful Competitor 2,14,402.50213630228086
0,Truthful Competitor 2,15,349.70529382709515
0,Truthful Competitor 2,16,449.0523652574842
0,Truthful Competitor 2,17,366.79009258330046
0,Truthful Competitor 2,18,388.9641672324352
0,Truthful Competitor 2,19,383.16088595158385
0,Truthful Competitor 2,20,431.9042823599868
0,Truthful Competitor 2,21,367.9392215285368
0,Truthful Competitor 2,22,369.05860088772505
0,Truthful Competitor 2,23,398.0028968944647
0,Truthful Competitor 2,24,411.51925338556106
0,Truthful Competitor 3,0,1.8831830458686905
0,Truthful Competitor 3,1,0.0
