Run,Agent,Iteration,Gross Utility
0,PPO Bidder - Net Utility 1,0,10064.637494930435
0,PPO Bidder - Net Utility 1,1,12671.538039202162
0,PPO Bidder - Net Utility 1,2,15115.613305497254
0,PPO Bidder - Net Utility 1,3,15151.231335054643
0,PPO Bidder - Net Utility 1,4,15051.161632964837
0,PPO Bidder - Net Utility 1,5,15069.818696066326
0,PPO Bidder - Net Utility 1,6,15044.377246382477
0,PPO Bidder - Net Utility 1,7,14956.1802208118
0,PPO Bidder - Net Utility 1,8,15113.917208851664
0,PPO Bidder - Net Utility 1,9,15158.015721637003
0,PPO Bidder - Net Utility 1,10,15132.574271953154
0,PPO Bidder - Net Utility 1,11,14906.993418089693
0,PPO Bidder - Net Utility 1,12,15141.054755181103
0,PPO Bidder - Net Utility 1,13,15210.59471765029
0,PPO Bidder - Net Utility 1,14,15035.896763154527
0,PPO Bidder - Net Utility 1,15,15286.919066701837
0,PPO Bidder - Net Utility 1,16,15353.066835879845
0,PPO Bidder - Net Utility 1,17,15307.272226448917
0,PPO Bidder - Net Utility 1,18,15188.545461257621
0,PPO Bidder - Net Utility 1,19,14891.728548279383
0,PPO Bidder - Net Utility 1,20,15052.857729610427
0,PPO Bidder - Net Utility 1,21,15113.917208851664
0,PPO Bidder - Net Utility 1,22,15034.200666508938
0,PPO Bidder - Net Utility 1,23,14906.993418089693
0,PPO Bidder - Net Utility 1,24,15127.485982016384
1,PPO Bidder - Net Utility 1,0,2554.321548258216
1,PPO Bidder - Net Utility 1,1,13253.299188639508
1,PPO Bidder - Net Utility 1,2,14209.89769675223
1,PPO Bidder - Net Utility 1,3,14472.79267681867
1,PPO Bidder - Net Utility 1,4,14316.751785424396
1,PPO Bidder - Net Utility 1,5,14342.193235108245
1,PPO Bidder - Net Utility 1,6,14306.575205550856
1,PPO Bidder - Net Utility 1,7,14084.386544978575
1,PPO Bidder - Net Utility 1,8,14198.0250202331
1,PPO Bidder - Net Utility 1,9,13928.345653584302
1,PPO Bidder - Net Utility 1,10,13979.228552952
1,PPO Bidder - Net Utility 1,11,13468.70346262943
1,PPO Bidder - Net Utility 1,12,13952.09100662256
1,PPO Bidder - Net Utility 1,13,13814.707178329776
1,PPO Bidder - Net Utility 1,14,13745.167215860589
1,PPO Bidder - Net Utility 1,15,13953.78710326815
1,PPO Bidder - Net Utility 1,16,13740.078925923819
1,PPO Bidder - Net Utility 1,17,13633.224837251653
1,PPO Bidder - Net Utility 1,18,13560.292681491286
1,PPO Bidder - Net Utility 1,19,13326.231344399876
1,PPO Bidder - Net Utility 1,20,13397.467403514653
1,PPO Bidder - Net Utility 1,21,13855.413497823934
1,PPO Bidder - Net Utility 1,22,14011.454389218208
1,PPO Bidder - Net Utility 1,23,13768.912568898848
1,PPO Bidder - Net Utility 1,24,13833.364241431265
2,PPO Bidder - Net Utility 1,0,12122.002726031023
2,PPO Bidder - Net Utility 1,1,12527.369824327017
2,PPO Bidder - Net Utility 1,2,14696.677434036541
2,PPO Bidder - Net Utility 1,3,14732.29546359393
2,PPO Bidder - Net Utility 1,4,14923.954384545592
2,PPO Bidder - Net Utility 1,5,14805.227619354297
2,PPO Bidder - Net Utility 1,6,14762.825203214548
2,PPO Bidder - Net Utility 1,7,14433.782453970101
2,PPO Bidder - Net Utility 1,8,14710.24620720126
2,PPO Bidder - Net Utility 1,9,14520.283382895188
2,PPO Bidder - Net Utility 1,10,14505.018513084879
2,PPO Bidder - Net Utility 1,11,14586.431152073195
2,PPO Bidder - Net Utility 1,12,14830.669069038146
2,PPO Bidder - Net Utility 1,13,14674.628177643872
2,PPO Bidder - Net Utility 1,14,14503.322416439289
2,PPO Bidder - Net Utility 1,15,14550.813122515807
2,PPO Bidder - Net Utility 1,16,14544.028735933447
2,PPO Bidder - Net Utility 1,17,14362.546394855324
2,PPO Bidder - Net Utility 1,18,14574.558475554066
2,PPO Bidder - Net Utility 1,19,14391.380037830353
2,PPO Bidder - Net Utility 1,20,14717.03059378362
2,PPO Bidder - Net Utility 1,21,14859.502712013174
2,PPO Bidder - Net Utility 1,22,14457.52780700836
2,PPO Bidder - Net Utility 1,23,14503.322416439289
2,PPO Bidder - Net Utility 1,24,14493.145836565749
0,Truthful Competitor 2,0,900.7016397898195
0,Truthful Competitor 2,1,2725.5394642959704
0,Truthful Competitor 2,2,2598.1778070858827
0,Truthful Competitor 2,3,2742.8606496765424
0,Truthful Competitor 2,4,2730.633930584374
0,Truthful Competitor 2,5,2686.821520504104
0,Truthful Competitor 2,6,2654.2169362583213
0,Truthful Competitor 2,7,2786.6730597568126
0,Truthful Competitor 2,8,2701.0860261116336
0,Truthful Competitor 2,9,2716.369424976844
0,Truthful Competitor 2,10,2701.0860261116336
0,Truthful Competitor 2,11,2721.4638912652476
0,Truthful Competitor 2,12,2687.8404137617845
0,Truthful Competitor 2,13,2656.2547227736827
0,Truthful Competitor 2,14,2671.5381216388932
0,Truthful Competitor 2,15,2689.878200277146
0,Truthful Competitor 2,16,2671.5381216388932
0,Truthful Competitor 2,17,2613.4612059510932
0,Truthful Competitor 2,18,2639.9524306507915
0,Truthful Competitor 2,19,2685.802627246423
0,Truthful Competitor 2,20,2732.6717170997354
0,Truthful Competitor 2,21,2757.125155284072
0,Truthful Competitor 2,22,2664.4058688351283
0,Truthful Competitor 2,23,2698.0293463385915
0,Truthful Competitor 2,24,2822.334323775637
1,Truthful Competitor 2,0,268.98782002772737
