Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Net Utility 1,0,11960.0
0,PPO Bidder - Net Utility 1,1,14440.0
0,PPO Bidder - Net Utility 1,2,18220.0
0,PPO Bidder - Net Utility 1,3,18380.0
0,PPO Bidder - Net Utility 1,4,18000.0
0,PPO Bidder - Net Utility 1,5,17440.0
0,PPO Bidder - Net Utility 1,6,18200.0
0,PPO Bidder - Net Utility 1,7,17140.0
0,PPO Bidder - Net Utility 1,8,17300.0
0,PPO Bidder - Net Utility 1,9,16780.0
0,PPO Bidder - Net Utility 1,10,18140.0
0,PPO Bidder - Net Utility 1,11,17320.0
0,PPO Bidder - Net Utility 1,12,17460.0
0,PPO Bidder - Net Utility 1,13,17700.0
0,PPO Bidder - Net Utility 1,14,16820.0
0,PPO Bidder - Net Utility 1,15,18400.0
0,PPO Bidder - Net Utility 1,16,17900.0
0,PPO Bidder - Net Utility 1,17,17300.0
0,PPO Bidder - Net Utility 1,18,19040.0
0,PPO Bidder - Net Utility 1,19,17300.0
0,PPO Bidder - Net Utility 1,20,17600.0
0,PPO Bidder - Net Utility 1,21,18040.0
0,PPO Bidder - Net Utility 1,22,17700.0
0,PPO Bidder - Net Utility 1,23,16220.0
0,PPO Bidder - Net Utility 1,24,17080.0
0,Truthful Competitor 2,0,1760.0
0,Truthful Competitor 2,1,5280.0
0,Truthful Competitor 2,2,4800.0
0,Truthful Competitor 2,3,4980.0
0,Truthful Competitor 2,4,5560.0
0,Truthful Competitor 2,5,4680.0
0,Truthful Competitor 2,6,5400.0
0,Truthful Competitor 2,7,5740.0
0,Truthful Competitor 2,8,5160.0
0,Truthful Competitor 2,9,5480.0
0,Truthful Competitor 2,10,4760.0
0,Truthful Competitor 2,11,5340.0
0,Truthful Competitor 2,12,5400.0
0,Truthful Competitor 2,13,5400.0
0,Truthful Competitor 2,14,5660.0
0,Truthful Competitor 2,15,4940.0
0,Truthful Competitor 2,16,5220.0
0,Truthful Competitor 2,17,4740.0
0,Truthful Competitor 2,18,5280.0
0,Truthful Competitor 2,19,5280.0
0,Truthful Competitor 2,20,5280.0
0,Truthful Competitor 2,21,5480.0
0,Truthful Competitor 2,22,5420.0
0,Truthful Competitor 2,23,5460.0
0,Truthful Competitor 2,24,5380.0
0,Truthful Competitor 3,0,700.0
0,Truthful Competitor 3,1,9580.0
0,Truthful Competitor 3,2,8100.0
0,Truthful Competitor 3,3,8820.0
0,Truthful Competitor 3,4,8280.0
0,Truthful Competitor 3,5,9360.0
0,Truthful Competitor 3,6,7820.0
0,Truthful Competitor 3,7,8920.0
0,Truthful Competitor 3,8,8820.0
0,Truthful Competitor 3,9,9320.0
0,Truthful Competitor 3,10,8340.0
0,Truthful Competitor 3,11,8840.0
0,Truthful Competitor 3,12,9220.0
0,Truthful Competitor 3,13,8980.0
0,Truthful Competitor 3,14,9420.0
0,Truthful Competitor 3,15,9780.0
0,Truthful Competitor 3,16,8060.0
0,Truthful Competitor 3,17,7900.0
0,Truthful Competitor 3,18,9060.0
0,Truthful Competitor 3,19,9580.0
0,Truthful Competitor 3,20,9420.0
0,Truthful Competitor 3,21,8200.0
0,Truthful Competitor 3,22,8840.0
0,Truthful Competitor 3,23,8700.0
0,Truthful Competitor 3,24,8580.0
0,Truthful Competitor 4,0,80.0
0,Truthful Competitor 4,1,3100.0
0,Truthful Competitor 4,2,3880.0
0,Truthful Competitor 4,3,4180.0
0,Truthful Competitor 4,4,4060.0
0,Truthful Competitor 4,5,4060.0
0,Truthful Competitor 4,6,4380.0
0,Truthful Competitor 4,7,4020.0
