Run,Agent,Iteration,Underbid Regret
0,PPO Bidder - Net Utility 1,0,-17633.046418030153
0,PPO Bidder - Net Utility 1,1,-3254.4368261241502
0,PPO Bidder - Net Utility 1,2,-1976.1615837696836
0,PPO Bidder - Net Utility 1,3,-1835.8371124295209
0,PPO Bidder - Net Utility 1,4,-1945.765559509125
0,PPO Bidder - Net Utility 1,5,-1946.3259139481174
0,PPO Bidder - Net Utility 1,6,-1920.5596226920932
0,PPO Bidder - Net Utility 1,7,-1871.3137848207314
0,PPO Bidder - Net Utility 1,8,-1852.4121590576437
0,PPO Bidder - Net Utility 1,9,-1894.124667545308
0,PPO Bidder - Net Utility 1,10,-1840.1400173936117
0,PPO Bidder - Net Utility 1,11,-1881.532549262006
0,PPO Bidder - Net Utility 1,12,-1834.3541767377187
0,PPO Bidder - Net Utility 1,13,-1826.4538766985738
0,PPO Bidder - Net Utility 1,14,-1835.4714892435584
0,PPO Bidder - Net Utility 1,15,-1816.0401039969347
0,PPO Bidder - Net Utility 1,16,-1817.5417602239231
0,PPO Bidder - Net Utility 1,17,-1811.697600739544
0,PPO Bidder - Net Utility 1,18,-1841.5397889324533
0,PPO Bidder - Net Utility 1,19,-1850.4313001948199
0,PPO Bidder - Net Utility 1,20,-1837.6888738186258
0,PPO Bidder - Net Utility 1,21,-1860.573185584765
0,PPO Bidder - Net Utility 1,22,-1830.5338681165927
0,PPO Bidder - Net Utility 1,23,-1798.9522560758678
0,PPO Bidder - Net Utility 1,24,-1820.2017771831972
0,Truthful Competitor 2,0,-25320.368015997607
0,Truthful Competitor 2,1,-3289.390422899324
0,Truthful Competitor 2,2,-2599.428789258892
0,Truthful Competitor 2,3,-2460.6264773610624
0,Truthful Competitor 2,4,-2465.028367215995
0,Truthful Competitor 2,5,-2380.671716509253
0,Truthful Competitor 2,6,-2407.9941059645917
0,Truthful Competitor 2,7,-2373.223254816694
0,Truthful Competitor 2,8,-2413.046561588816
0,Truthful Competitor 2,9,-2396.8042198751223
0,Truthful Competitor 2,10,-2420.6206086687225
0,Truthful Competitor 2,11,-2368.2866237821277
0,Truthful Competitor 2,12,-2404.0918400748596
0,Truthful Competitor 2,13,-2372.6629107807416
0,Truthful Competitor 2,14,-2423.288260150467
0,Truthful Competitor 2,15,-2373.6540575487047
0,Truthful Competitor 2,16,-2431.9725326737175
0,Truthful Competitor 2,17,-2372.383468395337
0,Truthful Competitor 2,18,-2367.6387078212792
0,Truthful Competitor 2,19,-2382.9906525222304
0,Truthful Competitor 2,20,-2369.8784747699037
0,Truthful Competitor 2,21,-2371.4967747932187
0,Truthful Competitor 2,22,-2331.8163882554477
0,Truthful Competitor 2,23,-2308.4462849428646
0,Truthful Competitor 2,24,-2364.8881226941253
0,Truthful Competitor 3,0,-28162.239432193535
0,Truthful Competitor 3,1,-2458.130271658918
0,Truthful Competitor 3,2,-2063.4572899346363
0,Truthful Competitor 3,3,-1897.2955746016114
0,Truthful Competitor 3,4,-1876.178046066245
0,Truthful Competitor 3,5,-1879.7336222997767
0,Truthful Competitor 3,6,-1832.2148471745563
0,Truthful Competitor 3,7,-1841.2947456266606
0,Truthful Competitor 3,8,-1819.4946208514716
0,Truthful Competitor 3,9,-1859.4435766519225
0,Truthful Competitor 3,10,-1851.0660506516724
0,Truthful Competitor 3,11,-1816.168592111174
0,Truthful Competitor 3,12,-1901.0097379176786
0,Truthful Competitor 3,13,-1839.022786953148
0,Truthful Competitor 3,14,-1859.233875794937
0,Truthful Competitor 3,15,-1849.7200114210855
0,Truthful Competitor 3,16,-1865.229569707205
0,Truthful Competitor 3,17,-1846.2665849630978
0,Truthful Competitor 3,18,-1831.0838631595982
0,Truthful Competitor 3,19,-1868.8799401829313
0,Truthful Competitor 3,20,-1869.7838631514674
0,Truthful Competitor 3,21,-1895.6766123989448
0,Truthful Competitor 3,22,-1806.6488446836559
0,Truthful Competitor 3,23,-1809.8212254469586
0,Truthful Competitor 3,24,-1806.7447811463444
0,Truthful Competitor 4,0,-21034.065957127437
0,Truthful Competitor 4,1,-2622.681928315387
0,Truthful Competitor 4,2,-2258.6904336721536
0,Truthful Competitor 4,3,-2089.074487044954
0,Truthful Competitor 4,4,-2135.852271688349
0,Truthful Competitor 4,5,-2059.62198752946
0,Truthful Competitor 4,6,-2062.8085281485237
0,Truthful Competitor 4,7,-2062.344739194826
0,Truthful Competitor 4,8,-2026.056344979237
0,Truthful Competitor 4,9,-2080.75302957822
0,Truthful Competitor 4,10,-2091.808058544736
0,Truthful Competitor 4,11,-2059.2152874978055
0,Truthful Competitor 4,12,-2062.3643726014684
0,Truthful Competitor 4,13,-1985.4854011426962
0,Truthful Competitor 4,14,-2075.4121529680087
0,Truthful Competitor 4,15,-2058.946188820496
0,Truthful Competitor 4,16,-2045.9226705305193
0,Truthful Competitor 4,17,-2047.8570829369237
0,Truthful Competitor 4,18,-2069.35315154917
0,Truthful Competitor 4,19,-2064.3519529876135
0,Truthful Competitor 4,20,-2068.0576065403206
0,Truthful Competitor 4,21,-2091.823122371553
0,Truthful Competitor 4,22,-2076.128978800859
0,Truthful Competitor 4,23,-2035.096902045257
0,Truthful Competitor 4,24,-2069.712644478157
0,Truthful Competitor 5,0,-16207.190292713036
0,Truthful Competitor 5,1,-3392.0015470084386
0,Truthful Competitor 5,2,-3122.10997927611
0,Truthful Competitor 5,3,-2901.319609364704
0,Truthful Competitor 5,4,-2812.7062225271115
0,Truthful Competitor 5,5,-2767.785339437128
0,Truthful Competitor 5,6,-2782.9241948042877
0,Truthful Competitor 5,7,-2710.963697364995
0,Truthful Competitor 5,8,-2782.848525578111
0,Truthful Competitor 5,9,-2840.805427168837
0,Truthful Competitor 5,10,-2847.2076772767646
0,Truthful Competitor 5,11,-2762.461505493001
0,Truthful Competitor 5,12,-2766.275638420291
0,Truthful Competitor 5,13,-2857.429460725336
0,Truthful Competitor 5,14,-2877.547326126913
0,Truthful Competitor 5,15,-2847.1548831318737
0,Truthful Competitor 5,16,-2814.798568054761
0,Truthful Competitor 5,17,-2791.081570101991
0,Truthful Competitor 5,18,-2727.1098618471574
0,Truthful Competitor 5,19,-2765.060605806285
0,Truthful Competitor 5,20,-2742.445672543704
0,Truthful Competitor 5,21,-2797.9560644347175
0,Truthful Competitor 5,22,-2696.650871183427
0,Truthful Competitor 5,23,-2741.6456017822948
0,Truthful Competitor 5,24,-2731.207757842114
0,Truthful Competitor 6,0,-21141.047166547025
0,Truthful Competitor 6,1,-3080.4057912566086
0,Truthful Competitor 6,2,-2329.7219492759737
