Run,Agent,Iteration,Net Utility
0,PPO Bidder - Gross Utility 1,0,-236.66767288103227
0,PPO Bidder - Gross Utility 1,1,3573.1744698539396
0,PPO Bidder - Gross Utility 1,2,4923.55138416903
0,PPO Bidder - Gross Utility 1,3,5265.145192828462
0,PPO Bidder - Gross Utility 1,4,5129.977096379057
0,PPO Bidder - Gross Utility 1,5,5081.290502674644
0,PPO Bidder - Gross Utility 1,6,5100.568152152909
0,PPO Bidder - Gross Utility 1,7,5165.399045125123
0,PPO Bidder - Gross Utility 1,8,5193.1214062839235
0,PPO Bidder - Gross Utility 1,9,5185.553497719774
0,PPO Bidder - Gross Utility 1,10,5201.0802588818
0,PPO Bidder - Gross Utility 1,11,5235.409806062134
0,PPO Bidder - Gross Utility 1,12,5202.475663399698
0,PPO Bidder - Gross Utility 1,13,5258.413125314443
0,PPO Bidder - Gross Utility 1,14,5293.273401029914
0,PPO Bidder - Gross Utility 1,15,5124.992221719621
0,PPO Bidder - Gross Utility 1,16,5085.142356493387
0,PPO Bidder - Gross Utility 1,17,5201.913538037282
0,PPO Bidder - Gross Utility 1,18,5303.1396342848675
0,PPO Bidder - Gross Utility 1,19,5188.445220809994
0,PPO Bidder - Gross Utility 1,20,5221.431593432824
0,PPO Bidder - Gross Utility 1,21,5161.785575482029
0,PPO Bidder - Gross Utility 1,22,5196.206747934782
0,PPO Bidder - Gross Utility 1,23,5235.392005655226
0,PPO Bidder - Gross Utility 1,24,5179.472820478255
1,PPO Bidder - Gross Utility 1,0,-8.172514731822076
1,PPO Bidder - Gross Utility 1,1,34.189822525584844
1,PPO Bidder - Gross Utility 1,2,5226.692168850237
1,PPO Bidder - Gross Utility 1,3,5614.016218241312
1,PPO Bidder - Gross Utility 1,4,5738.29706048379
1,PPO Bidder - Gross Utility 1,5,5698.720238960292
1,PPO Bidder - Gross Utility 1,6,5594.147874085226
1,PPO Bidder - Gross Utility 1,7,5740.390314066104
1,PPO Bidder - Gross Utility 1,8,5724.708206482556
1,PPO Bidder - Gross Utility 1,9,5817.311871474315
1,PPO Bidder - Gross Utility 1,10,5740.172466872838
1,PPO Bidder - Gross Utility 1,11,5677.644941569695
1,PPO Bidder - Gross Utility 1,12,5733.582013655058
1,PPO Bidder - Gross Utility 1,13,5739.87170743792
1,PPO Bidder - Gross Utility 1,14,5751.270023530336
1,PPO Bidder - Gross Utility 1,15,5613.708416032314
1,PPO Bidder - Gross Utility 1,16,5856.281718068089
1,PPO Bidder - Gross Utility 1,17,5602.797605286765
1,PPO Bidder - Gross Utility 1,18,5621.780133659233
1,PPO Bidder - Gross Utility 1,19,5858.139539238568
1,PPO Bidder - Gross Utility 1,20,5840.749314497807
1,PPO Bidder - Gross Utility 1,21,5681.792695270105
1,PPO Bidder - Gross Utility 1,22,5751.16329616862
1,PPO Bidder - Gross Utility 1,23,5686.083948269364
1,PPO Bidder - Gross Utility 1,24,5759.004411869235
2,PPO Bidder - Gross Utility 1,0,-36.68975896347037
2,PPO Bidder - Gross Utility 1,1,0.0
2,PPO Bidder - Gross Utility 1,2,0.0
2,PPO Bidder - Gross Utility 1,3,0.0
2,PPO Bidder - Gross Utility 1,4,0.0
2,PPO Bidder - Gross Utility 1,5,0.0
2,PPO Bidder - Gross Utility 1,6,0.0
2,PPO Bidder - Gross Utility 1,7,0.0
2,PPO Bidder - Gross Utility 1,8,0.0
2,PPO Bidder - Gross Utility 1,9,0.0
2,PPO Bidder - Gross Utility 1,10,0.0
2,PPO Bidder - Gross Utility 1,11,0.0
2,PPO Bidder - Gross Utility 1,12,0.0
2,PPO Bidder - Gross Utility 1,13,0.0
2,PPO Bidder - Gross Utility 1,14,0.0
2,PPO Bidder - Gross Utility 1,15,0.0
2,PPO Bidder - Gross Utility 1,16,0.0
2,PPO Bidder - Gross Utility 1,17,0.0
2,PPO Bidder - Gross Utility 1,18,0.0
2,PPO Bidder - Gross Utility 1,19,0.0
2,PPO Bidder - Gross Utility 1,20,0.0
2,PPO Bidder - Gross Utility 1,21,0.0
2,PPO Bidder - Gross Utility 1,22,0.0
2,PPO Bidder - Gross Utility 1,23,0.0
2,PPO Bidder - Gross Utility 1,24,0.0
0,Truthful Competitor 10,0,-5468.03217972936
