Run,Agent,Iteration,Underbid Regret
0,PPO Bidder - Gross Utility 1,0,-44983.30136573609
0,PPO Bidder - Gross Utility 1,1,-5306.662872614345
0,PPO Bidder - Gross Utility 1,2,-4195.103111412235
0,PPO Bidder - Gross Utility 1,3,-3994.654298724997
0,PPO Bidder - Gross Utility 1,4,-4187.230946007569
0,PPO Bidder - Gross Utility 1,5,-4103.429609601735
0,PPO Bidder - Gross Utility 1,6,-4071.6485561042946
0,PPO Bidder - Gross Utility 1,7,-3938.6138150772817
0,PPO Bidder - Gross Utility 1,8,-3918.8267792820716
0,PPO Bidder - Gross Utility 1,9,-3924.2012207285056
0,PPO Bidder - Gross Utility 1,10,-3925.2668811706462
0,PPO Bidder - Gross Utility 1,11,-3973.882055437827
0,PPO Bidder - Gross Utility 1,12,-3911.651374884547
0,PPO Bidder - Gross Utility 1,13,-3932.662405627333
0,PPO Bidder - Gross Utility 1,14,-3940.3504390682865
0,PPO Bidder - Gross Utility 1,15,-3992.92465011306
0,PPO Bidder - Gross Utility 1,16,-3962.525270251562
0,PPO Bidder - Gross Utility 1,17,-3971.6253777228358
0,PPO Bidder - Gross Utility 1,18,-3876.4248148059864
0,PPO Bidder - Gross Utility 1,19,-3882.920185418645
0,PPO Bidder - Gross Utility 1,20,-3877.75490082328
0,PPO Bidder - Gross Utility 1,21,-3973.6256851196035
0,PPO Bidder - Gross Utility 1,22,-3881.8291138512554
0,PPO Bidder - Gross Utility 1,23,-3941.400239257752
0,PPO Bidder - Gross Utility 1,24,-3961.824514106764
0,Truthful Competitor 2,0,-52355.084055399304
0,Truthful Competitor 2,1,-6873.35584025782
0,Truthful Competitor 2,2,-4208.785700462036
0,Truthful Competitor 2,3,-3911.1325846317973
0,Truthful Competitor 2,4,-3974.5823768049518
0,Truthful Competitor 2,5,-3889.5399131553495
0,Truthful Competitor 2,6,-3884.854565129039
0,Truthful Competitor 2,7,-3773.948870504246
0,Truthful Competitor 2,8,-3782.3880261874
0,Truthful Competitor 2,9,-3826.7800192801687
0,Truthful Competitor 2,10,-3878.7411017393542
0,Truthful Competitor 2,11,-3816.144428976994
0,Truthful Competitor 2,12,-3778.841255341784
0,Truthful Competitor 2,13,-3919.916704002202
0,Truthful Competitor 2,14,-3772.6984425116725
0,Truthful Competitor 2,15,-3821.7505308849422
0,Truthful Competitor 2,16,-3920.207814961019
0,Truthful Competitor 2,17,-3790.21616013877
0,Truthful Competitor 2,18,-3839.2497550096114
0,Truthful Competitor 2,19,-3698.842070694553
0,Truthful Competitor 2,20,-3800.289971769248
0,Truthful Competitor 2,21,-3785.4024578885246
0,Truthful Competitor 2,22,-3786.6338063661524
0,Truthful Competitor 2,23,-3785.437405229859
0,Truthful Competitor 2,24,-3864.396983000085
0,Truthful Competitor 3,0,-22518.99808288807
0,Truthful Competitor 3,1,-6495.1012077992345
0,Truthful Competitor 3,2,-5483.878232948903
0,Truthful Competitor 3,3,-5258.869208588186
0,Truthful Competitor 3,4,-5197.818442059114
0,Truthful Competitor 3,5,-5093.6565101576525
0,Truthful Competitor 3,6,-5061.008058471363
0,Truthful Competitor 3,7,-5109.08869067644
0,Truthful Competitor 3,8,-5068.672362909107
0,Truthful Competitor 3,9,-5045.447784319953
0,Truthful Competitor 3,10,-5031.1918815164945
