Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Gross Utility 1,0,3160.0
0,PPO Bidder - Gross Utility 1,1,8460.0
0,PPO Bidder - Gross Utility 1,2,19480.0
0,PPO Bidder - Gross Utility 1,3,20020.0
0,PPO Bidder - Gross Utility 1,4,20680.0
0,PPO Bidder - Gross Utility 1,5,20860.0
0,PPO Bidder - Gross Utility 1,6,19920.0
0,PPO Bidder - Gross Utility 1,7,18300.0
0,PPO Bidder - Gross Utility 1,8,19300.0
0,PPO Bidder - Gross Utility 1,9,19840.0
0,PPO Bidder - Gross Utility 1,10,18860.0
0,PPO Bidder - Gross Utility 1,11,20240.0
0,PPO Bidder - Gross Utility 1,12,18240.0
0,PPO Bidder - Gross Utility 1,13,19140.0
0,PPO Bidder - Gross Utility 1,14,18860.0
0,PPO Bidder - Gross Utility 1,15,19540.0
0,PPO Bidder - Gross Utility 1,16,18340.0
0,PPO Bidder - Gross Utility 1,17,18580.0
0,PPO Bidder - Gross Utility 1,18,19560.0
0,PPO Bidder - Gross Utility 1,19,19560.0
0,PPO Bidder - Gross Utility 1,20,19460.0
0,PPO Bidder - Gross Utility 1,21,19620.0
0,PPO Bidder - Gross Utility 1,22,18800.0
0,PPO Bidder - Gross Utility 1,23,20100.0
0,PPO Bidder - Gross Utility 1,24,19600.0
0,Truthful Competitor 2,0,20.0
0,Truthful Competitor 2,1,600.0
0,Truthful Competitor 2,2,1640.0
0,Truthful Competitor 2,3,1520.0
0,Truthful Competitor 2,4,1420.0
0,Truthful Competitor 2,5,1180.0
0,Truthful Competitor 2,6,1160.0
0,Truthful Competitor 2,7,1520.0
0,Truthful Competitor 2,8,1160.0
0,Truthful Competitor 2,9,1220.0
0,Truthful Competitor 2,10,1200.0
0,Truthful Competitor 2,11,1260.0
0,Truthful Competitor 2,12,1700.0
0,Truthful Competitor 2,13,1180.0
0,Truthful Competitor 2,14,1400.0
0,Truthful Competitor 2,15,1360.0
0,Truthful Competitor 2,16,1240.0
0,Truthful Competitor 2,17,1280.0
0,Truthful Competitor 2,18,1760.0
0,Truthful Competitor 2,19,1180.0
0,Truthful Competitor 2,20,1320.0
0,Truthful Competitor 2,21,1500.0
0,Truthful Competitor 2,22,1360.0
0,Truthful Competitor 2,23,1220.0
0,Truthful Competitor 2,24,1140.0
0,Truthful Competitor 3,0,0.0
0,Truthful Competitor 3,1,2220.0
0,Truthful Competitor 3,2,2260.0
0,Truthful Competitor 3,3,2360.0
0,Truthful Competitor 3,4,2480.0
0,Truthful Competitor 3,5,2320.0
0,Truthful Competitor 3,6,2380.0
0,Truthful Competitor 3,7,2040.0
0,Truthful Competitor 3,8,2520.0
0,Truthful Competitor 3,9,2500.0
