Run,Iteration,Measure,Measure Name
0,0,61074.10530245523,Auction Revenue
0,1,11742.40778732672,Auction Revenue
0,2,8664.696642592784,Auction Revenue
0,3,8379.704685517372,Auction Revenue
0,4,8469.245084196244,Auction Revenue
0,5,8390.223076251354,Auction Revenue
0,6,8394.446397470563,Auction Revenue
0,7,8260.460443926848,Auction Revenue
0,8,8302.947425992528,Auction Revenue
0,9,8422.285703441741,Auction Revenue
0,10,8390.186205001159,Auction Revenue
0,11,8297.720676862078,Auction Revenue
0,12,8350.128915902838,Auction Revenue
0,13,8225.21956843522,Auction Revenue
0,14,8378.496207480895,Auction Revenue
0,15,8276.368009521442,Auction Revenue
0,16,8286.565247682085,Auction Revenue
0,17,8317.710857173295,Auction Revenue
0,18,8248.774179496055,Auction Revenue
0,19,8312.47036007059,Auction Revenue
0,20,8340.30811393263,Auction Revenue
0,21,8496.534870282218,Auction Revenue
0,22,8237.644489394619,Auction Revenue
0,23,8186.165669840428,Auction Revenue
0,24,8329.760039369381,Auction Revenue
1,0,72370.5087085189,Auction Revenue
1,1,11354.150643637433,Auction Revenue
1,2,9033.990067799823,Auction Revenue
1,3,8584.768154258327,Auction Revenue
1,4,8628.655060308633,Auction Revenue
1,5,8358.131680146653,Auction Revenue
1,6,8491.709198529039,Auction Revenue
1,7,8336.764243216498,Auction Revenue
1,8,8531.200544230376,Auction Revenue
1,9,8436.899432350585,Auction Revenue
1,10,8591.158899234559,Auction Revenue
1,11,8313.0504914482,Auction Revenue
1,12,8344.667856564742,Auction Revenue
1,13,8500.646018308398,Auction Revenue
1,14,8315.804706701148,Auction Revenue
1,15,8322.454333728867,Auction Revenue
1,16,8401.661309419875,Auction Revenue
1,17,8460.657188031422,Auction Revenue
1,18,8428.489979838872,Auction Revenue
1,19,8443.879720242496,Auction Revenue
1,20,8418.820380771089,Auction Revenue
1,21,8442.247417314957,Auction Revenue
1,22,8486.70715200672,Auction Revenue
1,23,8515.806873711246,Auction Revenue
1,24,8523.774402786352,Auction Revenue
2,0,54486.39938349434,Auction Revenue
2,1,11295.761532817009,Auction Revenue
2,2,9020.48001592206,Auction Revenue
2,3,8748.756673379798,Auction Revenue
2,4,8651.43642554471,Auction Revenue
2,5,8655.275408806943,Auction Revenue
2,6,8552.699760254087,Auction Revenue
2,7,8521.465940332479,Auction Revenue
2,8,8600.453240816887,Auction Revenue
2,9,8366.550349690902,Auction Revenue
2,10,8539.094616376418,Auction Revenue
2,11,8438.414015369619,Auction Revenue
2,12,8364.795165965716,Auction Revenue
2,13,8315.313585731987,Auction Revenue
2,14,8405.577939449431,Auction Revenue
2,15,8437.597194341764,Auction Revenue
2,16,8367.414149575949,Auction Revenue
2,17,8359.659166973273,Auction Revenue
2,18,8222.903060305987,Auction Revenue
2,19,8244.77311574658,Auction Revenue
2,20,8181.056240150356,Auction Revenue
2,21,8366.70334303221,Auction Revenue
2,22,8322.72071750672,Auction Revenue
2,23,8303.628897759163,Auction Revenue
2,24,8296.561362768834,Auction Revenue
0,0,-56260.625815940744,Social Surplus
0,1,13766.204348671678,Social Surplus
0,2,18937.055740474887,Social Surplus
0,3,19632.31374123041,Social Surplus
0,4,19479.50082707634,Social Surplus
0,5,19666.511307403154,Social Surplus
0,6,19267.044856329616,Social Surplus
0,7,19582.2429347634,Social Surplus
0,8,19594.530209394965,Social Surplus
0,9,19498.822168317383,Social Surplus
0,10,19397.992011892165,Social Surplus
0,11,19515.59633209757,Social Surplus
0,12,19445.503353040072,Social Surplus
0,13,19779.94737852252,Social Surplus
0,14,19160.414133794937,Social Surplus
0,15,19610.483912524796,Social Surplus
0,16,19524.365793034067,Social Surplus
0,17,19587.379239533537,Social Surplus
0,18,19735.41322786863,Social Surplus
0,19,19384.194037516805,Social Surplus
0,20,19717.891255773044,Social Surplus
0,21,19385.980753105145,Social Surplus
0,22,19577.300152135875,Social Surplus
0,23,19468.620481135313,Social Surplus
0,24,19755.29523044241,Social Surplus
1,0,-57479.63537578432,Social Surplus
1,1,14327.380960409453,Social Surplus
1,2,18437.36461808292,Social Surplus
1,3,19493.612667203302,Social Surplus
1,4,18954.857017591337,Social Surplus
1,5,19680.491803658526,Social Surplus
1,6,19422.75177054755,Social Surplus
1,7,19381.417899720404,Social Surplus
1,8,19363.82997420905,Social Surplus
1,9,19460.605104402854,Social Surplus
1,10,19342.295280800983,Social Surplus
1,11,19169.313956390404,Social Surplus
1,12,19911.19046715599,Social Surplus
1,13,19463.565607974557,Social Surplus
1,14,19456.40928746917,Social Surplus
1,15,19700.03761880763,Social Surplus
1,16,19388.346371659773,Social Surplus
1,17,19481.911215486438,Social Surplus
1,18,19604.862782480228,Social Surplus
1,19,19205.60815544914,Social Surplus
1,20,19372.626121347614,Social Surplus
1,21,19512.69192958436,Social Surplus
1,22,19650.035778359073,Social Surplus
1,23,19414.1597191548,Social Surplus
1,24,19583.938239757677,Social Surplus
2,0,-44750.02970150954,Social Surplus
2,1,14319.63106423014,Social Surplus
2,2,18784.3046979588,Social Surplus
2,3,19037.091517089877,Social Surplus
2,4,19096.89896175047,Social Surplus
2,5,19251.238512764005,Social Surplus
2,6,19240.104643192313,Social Surplus
2,7,19315.09553345731,Social Surplus
2,8,19020.588716632064,Social Surplus
2,9,19251.943787467746,Social Surplus
2,10,19079.05531521509,Social Surplus
2,11,19277.269119997683,Social Surplus
2,12,19438.298561657783,Social Surplus
2,13,19529.771002162026,Social Surplus
2,14,19478.776568399007,Social Surplus
2,15,19494.851594781354,Social Surplus
2,16,19526.31752695241,Social Surplus
2,17,19266.98963940307,Social Surplus
2,18,19499.05719438002,Social Surplus
2,19,19373.491987312475,Social Surplus
2,20,19728.67426210286,Social Surplus
2,21,19622.8823258499,Social Surplus
2,22,19477.49031761983,Social Surplus
2,23,19522.000762838576,Social Surplus
2,24,19337.742667159022,Social Surplus
0,0,4813.479486514282,Social Welfare
0,1,25508.61213599861,Social Welfare
0,2,27601.7523830684,Social Welfare
0,3,28012.018426748415,Social Welfare
0,4,27948.745911273196,Social Welfare
0,5,28056.73438365529,Social Welfare
0,6,27661.49125380088,Social Welfare
0,7,27842.703378690952,Social Welfare
0,8,27897.477635388306,Social Welfare
0,9,27921.107871759752,Social Welfare
0,10,27788.178216894074,Social Welfare
0,11,27813.317008960363,Social Welfare
0,12,27795.632268943584,Social Welfare
0,13,28005.16694695846,Social Welfare
0,14,27538.910341276493,Social Welfare
0,15,27886.85192204684,Social Welfare
0,16,27810.931040717034,Social Welfare
0,17,27905.090096707543,Social Welfare
0,18,27984.18740736532,Social Welfare
0,19,27696.664397587934,Social Welfare
0,20,28058.199369706286,Social Welfare
0,21,27882.515623388066,Social Welfare
0,22,27814.944641531372,Social Welfare
0,23,27654.78615097645,Social Welfare
0,24,28085.055269812514,Social Welfare
1,0,14890.873332735306,Social Welfare
1,1,25681.531604047268,Social Welfare
1,2,27471.35468588349,Social Welfare
1,3,28078.380821462222,Social Welfare
1,4,27583.512077900683,Social Welfare
1,5,28038.623483805917,Social Welfare
1,6,27914.460969077387,Social Welfare
1,7,27718.182142937687,Social Welfare
1,8,27895.030518440002,Social Welfare
1,9,27897.504536754084,Social Welfare
1,10,27933.45418003615,Social Welfare
1,11,27482.364447839223,Social Welfare
1,12,28255.858323721397,Social Welfare
1,13,27964.21162628362,Social Welfare
1,14,27772.213994171103,Social Welfare
1,15,28022.49195253729,Social Welfare
1,16,27790.007681080213,Social Welfare
1,17,27942.568403518675,Social Welfare
1,18,28033.352762319846,Social Welfare
1,19,27649.487875692383,Social Welfare
1,20,27791.446502119383,Social Welfare
1,21,27954.939346899995,Social Welfare
1,22,28136.742930366516,Social Welfare
1,23,27929.96659286684,Social Welfare
1,24,28107.71264254482,Social Welfare
2,0,9736.369681983891,Social Welfare
2,1,25615.39259704758,Social Welfare
2,2,27804.784713881487,Social Welfare
2,3,27785.848190470453,Social Welfare
2,4,27748.3353872959,Social Welfare
2,5,27906.513921571604,Social Welfare
2,6,27792.80440344712,Social Welfare
2,7,27836.56147379042,Social Welfare
2,8,27621.04195744951,Social Welfare
2,9,27618.494137159407,Social Welfare
2,10,27618.14993159223,Social Welfare
2,11,27715.683135368,Social Welfare
2,12,27803.093727624328,Social Welfare
2,13,27845.08458789472,Social Welfare
2,14,27884.35450784907,Social Welfare
2,15,27932.44878912377,Social Welfare
2,16,27893.73167652894,Social Welfare
2,17,27626.64880637717,Social Welfare
