Run,Agent,Iteration,Total Conversions
0,PPO Bidder - Gross Utility 1,0,44
0,PPO Bidder - Gross Utility 1,1,678
0,PPO Bidder - Gross Utility 1,2,887
0,PPO Bidder - Gross Utility 1,3,903
0,PPO Bidder - Gross Utility 1,4,903
0,PPO Bidder - Gross Utility 1,5,900
0,PPO Bidder - Gross Utility 1,6,917
0,PPO Bidder - Gross Utility 1,7,870
0,PPO Bidder - Gross Utility 1,8,869
0,PPO Bidder - Gross Utility 1,9,833
0,PPO Bidder - Gross Utility 1,10,895
0,PPO Bidder - Gross Utility 1,11,856
0,PPO Bidder - Gross Utility 1,12,865
0,PPO Bidder - Gross Utility 1,13,864
0,PPO Bidder - Gross Utility 1,14,824
0,PPO Bidder - Gross Utility 1,15,889
0,PPO Bidder - Gross Utility 1,16,889
0,PPO Bidder - Gross Utility 1,17,860
0,PPO Bidder - Gross Utility 1,18,938
0,PPO Bidder - Gross Utility 1,19,848
0,PPO Bidder - Gross Utility 1,20,881
0,PPO Bidder - Gross Utility 1,21,886
0,PPO Bidder - Gross Utility 1,22,889
0,PPO Bidder - Gross Utility 1,23,820
0,PPO Bidder - Gross Utility 1,24,856
0,Truthful Competitor 2,0,73
0,Truthful Competitor 2,1,280
0,Truthful Competitor 2,2,243
0,Truthful Competitor 2,3,244
0,Truthful Competitor 2,4,277
0,Truthful Competitor 2,5,233
0,Truthful Competitor 2,6,258
0,Truthful Competitor 2,7,280
0,Truthful Competitor 2,8,257
0,Truthful Competitor 2,9,278
0,Truthful Competitor 2,10,241
0,Truthful Competitor 2,11,263
0,Truthful Competitor 2,12,276
0,Truthful Competitor 2,13,276
0,Truthful Competitor 2,14,285
0,Truthful Competitor 2,15,261
0,Truthful Competitor 2,16,267
0,Truthful Competitor 2,17,239
0,Truthful Competitor 2,18,267
0,Truthful Competitor 2,19,258
0,Truthful Competitor 2,20,265
0,Truthful Competitor 2,21,269
0,Truthful Competitor 2,22,270
0,Truthful Competitor 2,23,269
0,Truthful Competitor 2,24,262
0,Truthful Competitor 3,0,63
0,Truthful Competitor 3,1,411
0,Truthful Competitor 3,2,412
0,Truthful Competitor 3,3,444
0,Truthful Competitor 3,4,416
0,Truthful Competitor 3,5,452
0,Truthful Competitor 3,6,382
0,Truthful Competitor 3,7,449
0,Truthful Competitor 3,8,440
0,Truthful Competitor 3,9,473
0,Truthful Competitor 3,10,423
0,Truthful Competitor 3,11,438
0,Truthful Competitor 3,12,463
0,Truthful Competitor 3,13,454
0,Truthful Competitor 3,14,475
0,Truthful Competitor 3,15,490
0,Truthful Competitor 3,16,419
0,Truthful Competitor 3,17,404
0,Truthful Competitor 3,18,458
0,Truthful Competitor 3,19,484
0,Truthful Competitor 3,20,478
0,Truthful Competitor 3,21,412
0,Truthful Competitor 3,22,442
0,Truthful Competitor 3,23,456
0,Truthful Competitor 3,24,427
0,Truthful Competitor 4,0,32
0,Truthful Competitor 4,1,183
0,Truthful Competitor 4,2,206
0,Truthful Competitor 4,3,215
0,Truthful Competitor 4,4,212
0,Truthful Competitor 4,5,208
0,Truthful Competitor 4,6,217
0,Truthful Competitor 4,7,209
0,Truthful Competitor 4,8,200
0,Truthful Competitor 4,9,222
0,Truthful Competitor 4,10,212
0,Truthful Competitor 4,11,219
0,Truthful Competitor 4,12,182
0,Truthful Competitor 4,13,212
0,Truthful Competitor 4,14,200
0,Truthful Competitor 4,15,215
0,Truthful Competitor 4,16,186
0,Truthful Competitor 4,17,191
0,Truthful Competitor 4,18,208
0,Truthful Competitor 4,19,204
0,Truthful Competitor 4,20,204
0,Truthful Competitor 4,21,221
0,Truthful Competitor 4,22,188
0,Truthful Competitor 4,23,203
0,Truthful Competitor 4,24,244
0,Truthful Competitor 5,0,94
0,Truthful Competitor 5,1,316
0,Truthful Competitor 5,2,261
0,Truthful Competitor 5,3,263
0,Truthful Competitor 5,4,225
0,Truthful Competitor 5,5,220
0,Truthful Competitor 5,6,221
0,Truthful Competitor 5,7,239
0,Truthful Competitor 5,8,237
