Run,Agent,Iteration,Gross Utility
0,PPO Bidder - Gross Utility 1,0,764.939587160992
0,PPO Bidder - Gross Utility 1,1,1662.1747126779633
0,PPO Bidder - Gross Utility 1,2,1562.1050105881707
0,PPO Bidder - Gross Utility 1,3,1531.575270967556
0,PPO Bidder - Gross Utility 1,4,1553.6245273602221
1,PPO Bidder - Gross Utility 1,0,510.52509032251925
1,PPO Bidder - Gross Utility 1,1,1575.6737837528883
1,PPO Bidder - Gross Utility 1,2,1663.870809323553
1,PPO Bidder - Gross Utility 1,3,1602.8113300823236
1,PPO Bidder - Gross Utility 1,4,1484.0845648910442
2,PPO Bidder - Gross Utility 1,0,680.1347548815011
2,PPO Bidder - Gross Utility 1,1,1623.1644898294
2,PPO Bidder - Gross Utility 1,2,1621.4683931838103
2,PPO Bidder - Gross Utility 1,3,1590.9386535631957
2,PPO Bidder - Gross Utility 1,4,1635.037166348528
0,Truthful Competitor 2,0,118.1916178909712
0,Truthful Competitor 2,1,253.7044211625159
0,Truthful Competitor 2,2,253.7044211625159
0,Truthful Competitor 2,3,262.8744604816428
0,Truthful Competitor 2,4,241.47770207034645
1,Truthful Competitor 2,0,27.510117957381166
1,Truthful Competitor 2,1,174.2307470634145
1,Truthful Competitor 2,2,253.7044211625159
1,Truthful Competitor 2,3,268.98782002772737
1,Truthful Competitor 2,4,275.1011795738119
2,Truthful Competitor 2,0,38.71794379186981
2,Truthful Competitor 2,1,225.17540994745386
2,Truthful Competitor 2,2,258.7988874509198
2,Truthful Competitor 2,3,247.59106161643118
2,Truthful Competitor 2,4,243.51548858570803
0,Truthful Competitor 3,0,68.83125701058947
0,Truthful Competitor 3,1,403.0119975692485
0,Truthful Competitor 3,2,383.0609085806718
0,Truthful Competitor 3,3,412.9875420635368
0,Truthful Competitor 3,4,407.0022153669638
1,Truthful Competitor 3,0,176.56713754890342
1,Truthful Competitor 3,1,372.08780963695466
1,Truthful Competitor 3,2,422.96308655782514
1,Truthful Competitor 3,3,407.99976981639264
1,Truthful Competitor 3,4,420.96797765896747
2,Truthful Competitor 3,0,105.74077163945628
2,Truthful Competitor 3,1,426.95330435554047
2,Truthful Competitor 3,2,488.8016802201281
2,Truthful Competitor 3,3,439.9215121981153
2,Truthful Competitor 3,4,402.01444311981965
0,Truthful Competitor 4,0,9.391739697365244
0,Truthful Competitor 4,1,46.01952451708969
0,Truthful Competitor 4,2,211.3141431907175
0,Truthful Competitor 4,3,204.73992540256188
0,Truthful Competitor 4,4,161.53792279468217
1,Truthful Competitor 4,0,98.6132668223352
1,Truthful Competitor 4,1,203.80075143282536
1,Truthful Competitor 4,2,188.77396791704112
1,Truthful Competitor 4,3,184.07809806835854
1,Truthful Competitor 4,4,170.92966249204733
2,Truthful Competitor 4,0,27.236045122359226
2,Truthful Competitor 4,1,154.02453103679005
2,Truthful Competitor 4,2,153.08535706705354
2,Truthful Competitor 4,3,198.16570761440627
2,Truthful Competitor 4,4,214.13166509992703
0,Truthful Competitor 5,0,465.0243355751828
0,Truthful Competitor 5,1,217.51138276903933
0,Truthful Competitor 5,2,265.0138686611282
0,Truthful Competitor 5,3,265.0138686611282
0,Truthful Competitor 5,4,288.7651116071722
1,Truthful Competitor 5,0,202.5105977504849
1,Truthful Competitor 5,1,240.012560296871
1,Truthful Competitor 5,2,260.0136069882768
1,Truthful Competitor 5,3,280.0146536796823
1,Truthful Competitor 5,4,266.263934079341
2,Truthful Competitor 5,0,86.254513856688
2,Truthful Competitor 5,1,311.2662891350033
2,Truthful Competitor 5,2,258.763541570064
2,Truthful Competitor 5,3,273.7643265886181
2,Truthful Competitor 5,4,270.01413033397955
0,Truthful Competitor 6,0,51.24983360022671
0,Truthful Competitor 6,1,112.19558166536139
0,Truthful Competitor 6,2,85.87809954632593
0,Truthful Competitor 6,3,73.41192380573018
0,Truthful Competitor 6,4,85.87809954632593
1,Truthful Competitor 6,0,19.391828929815524
1,Truthful Competitor 6,1,116.3509735788933
1,Truthful Competitor 6,2,76.18218508141813
1,Truthful Competitor 6,3,87.2632301841699
1,Truthful Competitor 6,4,74.79705444357415
2,Truthful Competitor 6,0,260.40455991466507
2,Truthful Competitor 6,1,47.094441686694815
2,Truthful Competitor 6,2,84.49296890848196
2,Truthful Competitor 6,3,88.64836082201387
2,Truthful Competitor 6,4,58.17548678944653
