Run,Iteration,Measure,Measure Name
0,0,7453.422256192468,Auction Revenue
0,1,880.558415563126,Auction Revenue
0,2,858.2029233079585,Auction Revenue
0,3,886.1851879286559,Auction Revenue
0,4,878.3637487577673,Auction Revenue
1,0,6244.781146184706,Auction Revenue
1,1,1068.2136584766645,Auction Revenue
1,2,919.9704421861189,Auction Revenue
1,3,895.8172547549773,Auction Revenue
1,4,865.0134645690298,Auction Revenue
2,0,7856.657953357199,Auction Revenue
2,1,1154.9611986194109,Auction Revenue
2,2,960.703704106862,Auction Revenue
2,3,980.9715871347588,Auction Revenue
2,4,946.1976848279423,Auction Revenue
0,0,-5975.793885257111,Social Surplus
0,1,1814.0592047981027,Social Surplus
0,2,1902.8735284215766,Social Surplus
0,3,1864.417803453507,Social Surplus
0,4,1859.9218299879549,Social Surplus
1,0,-5209.663106853274,Social Surplus
1,1,1613.942967285193,Social Surplus
1,2,1945.537634844523,Social Surplus
1,3,1935.3376471036868,Social Surplus
1,4,1827.130908569768,Social Surplus
2,0,-6658.1693641506445,Social Surplus
2,1,1632.7172673714813,Social Surplus
2,2,1904.7071242936097,Social Surplus
2,3,1858.058035268033,Social Surplus
2,4,1876.6906954494864,Social Surplus
0,0,1477.6283709353274,Social Welfare
0,1,2694.617620361218,Social Welfare
0,2,2761.07645172953,Social Welfare
0,3,2750.602991382156,Social Welfare
0,4,2738.285578745713,Social Welfare
1,0,1035.1180393314394,Social Welfare
1,1,2682.156625761847,Social Welfare
1,2,2865.50807703063,Social Welfare
1,3,2831.1549018586543,Social Welfare
1,4,2692.1443731387862,Social Welfare
2,0,1198.4885892065395,Social Welfare
2,1,2787.6784659908826,Social Welfare
2,2,2865.410828400458,Social Welfare
2,3,2839.02962240278,Social Welfare
2,4,2822.888380277409,Social Welfare
