Run,Agent,Iteration,Total Clicks
0,PPO Bidder - Gross Utility 1,0,451
0,PPO Bidder - Gross Utility 1,1,980
0,PPO Bidder - Gross Utility 1,2,921
0,PPO Bidder - Gross Utility 1,3,903
0,PPO Bidder - Gross Utility 1,4,916
0,Truthful Competitor 2,0,116
0,Truthful Competitor 2,1,249
0,Truthful Competitor 2,2,249
0,Truthful Competitor 2,3,258
0,Truthful Competitor 2,4,237
0,Truthful Competitor 3,0,69
0,Truthful Competitor 3,1,404
0,Truthful Competitor 3,2,384
0,Truthful Competitor 3,3,414
0,Truthful Competitor 3,4,408
0,Truthful Competitor 4,0,10
0,Truthful Competitor 4,1,49
0,Truthful Competitor 4,2,225
0,Truthful Competitor 4,3,218
0,Truthful Competitor 4,4,172
0,Truthful Competitor 5,0,372
0,Truthful Competitor 5,1,174
0,Truthful Competitor 5,2,212
0,Truthful Competitor 5,3,212
0,Truthful Competitor 5,4,231
0,Truthful Competitor 6,0,37
0,Truthful Competitor 6,1,81
0,Truthful Competitor 6,2,62
0,Truthful Competitor 6,3,53
0,Truthful Competitor 6,4,62
1,PPO Bidder - Gross Utility 1,0,301
1,PPO Bidder - Gross Utility 1,1,929
1,PPO Bidder - Gross Utility 1,2,981
1,PPO Bidder - Gross Utility 1,3,945
1,PPO Bidder - Gross Utility 1,4,875
1,Truthful Competitor 2,0,27
1,Truthful Competitor 2,1,171
1,Truthful Competitor 2,2,249
1,Truthful Competitor 2,3,264
1,Truthful Competitor 2,4,270
1,Truthful Competitor 3,0,177
1,Truthful Competitor 3,1,373
1,Truthful Competitor 3,2,424
1,Truthful Competitor 3,3,409
1,Truthful Competitor 3,4,422
1,Truthful Competitor 4,0,105
1,Truthful Competitor 4,1,217
1,Truthful Competitor 4,2,201
1,Truthful Competitor 4,3,196
1,Truthful Competitor 4,4,182
1,Truthful Competitor 5,0,162
1,Truthful Competitor 5,1,192
1,Truthful Competitor 5,2,208
1,Truthful Competitor 5,3,224
1,Truthful Competitor 5,4,213
1,Truthful Competitor 6,0,14
1,Truthful Competitor 6,1,84
1,Truthful Competitor 6,2,55
1,Truthful Competitor 6,3,63
1,Truthful Competitor 6,4,54
2,PPO Bidder - Gross Utility 1,0,401
2,PPO Bidder - Gross Utility 1,1,957
2,PPO Bidder - Gross Utility 1,2,956
2,PPO Bidder - Gross Utility 1,3,938
2,PPO Bidder - Gross Utility 1,4,964
2,Truthful Competitor 2,0,38
2,Truthful Competitor 2,1,221
2,Truthful Competitor 2,2,254
2,Truthful Competitor 2,3,243
2,Truthful Competitor 2,4,239
2,Truthful Competitor 3,0,106
2,Truthful Competitor 3,1,428
2,Truthful Competitor 3,2,490
2,Truthful Competitor 3,3,441
2,Truthful Competitor 3,4,403
2,Truthful Competitor 4,0,29
2,Truthful Competitor 4,1,164
2,Truthful Competitor 4,2,163
2,Truthful Competitor 4,3,211
2,Truthful Competitor 4,4,228
2,Truthful Competitor 5,0,69
2,Truthful Competitor 5,1,249
2,Truthful Competitor 5,2,207
2,Truthful Competitor 5,3,219
2,Truthful Competitor 5,4,216
2,Truthful Competitor 6,0,188
2,Truthful Competitor 6,1,34
2,Truthful Competitor 6,2,61
2,Truthful Competitor 6,3,64
2,Truthful Competitor 6,4,42
