Run,Agent,Iteration,Total Conversions
0,PPO Bidder - Gross Utility 1,0,37
0,PPO Bidder - Gross Utility 1,1,108
0,PPO Bidder - Gross Utility 1,2,93
0,PPO Bidder - Gross Utility 1,3,83
0,PPO Bidder - Gross Utility 1,4,106
0,Truthful Competitor 2,0,11
0,Truthful Competitor 2,1,12
0,Truthful Competitor 2,2,20
0,Truthful Competitor 2,3,22
0,Truthful Competitor 2,4,22
0,Truthful Competitor 3,0,11
0,Truthful Competitor 3,1,30
0,Truthful Competitor 3,2,38
0,Truthful Competitor 3,3,57
0,Truthful Competitor 3,4,44
0,Truthful Competitor 4,0,1
0,Truthful Competitor 4,1,2
0,Truthful Competitor 4,2,18
0,Truthful Competitor 4,3,19
0,Truthful Competitor 4,4,16
0,Truthful Competitor 5,0,37
0,Truthful Competitor 5,1,14
0,Truthful Competitor 5,2,24
0,Truthful Competitor 5,3,20
0,Truthful Competitor 5,4,21
0,Truthful Competitor 6,0,6
0,Truthful Competitor 6,1,10
0,Truthful Competitor 6,2,6
0,Truthful Competitor 6,3,7
0,Truthful Competitor 6,4,9
1,PPO Bidder - Gross Utility 1,0,33
1,PPO Bidder - Gross Utility 1,1,91
1,PPO Bidder - Gross Utility 1,2,110
1,PPO Bidder - Gross Utility 1,3,88
1,PPO Bidder - Gross Utility 1,4,77
1,Truthful Competitor 2,0,2
1,Truthful Competitor 2,1,19
1,Truthful Competitor 2,2,23
1,Truthful Competitor 2,3,22
1,Truthful Competitor 2,4,23
1,Truthful Competitor 3,0,8
1,Truthful Competitor 3,1,31
1,Truthful Competitor 3,2,42
1,Truthful Competitor 3,3,42
1,Truthful Competitor 3,4,27
1,Truthful Competitor 4,0,9
1,Truthful Competitor 4,1,24
1,Truthful Competitor 4,2,17
1,Truthful Competitor 4,3,22
1,Truthful Competitor 4,4,15
1,Truthful Competitor 5,0,15
1,Truthful Competitor 5,1,15
1,Truthful Competitor 5,2,23
1,Truthful Competitor 5,3,26
1,Truthful Competitor 5,4,21
1,Truthful Competitor 6,0,2
1,Truthful Competitor 6,1,9
1,Truthful Competitor 6,2,8
1,Truthful Competitor 6,3,7
1,Truthful Competitor 6,4,7
2,PPO Bidder - Gross Utility 1,0,38
2,PPO Bidder - Gross Utility 1,1,100
2,PPO Bidder - Gross Utility 1,2,78
2,PPO Bidder - Gross Utility 1,3,85
2,PPO Bidder - Gross Utility 1,4,85
2,Truthful Competitor 2,0,4
2,Truthful Competitor 2,1,21
2,Truthful Competitor 2,2,30
2,Truthful Competitor 2,3,24
2,Truthful Competitor 2,4,21
2,Truthful Competitor 3,0,11
2,Truthful Competitor 3,1,31
2,Truthful Competitor 3,2,48
2,Truthful Competitor 3,3,43
2,Truthful Competitor 3,4,48
2,Truthful Competitor 4,0,4
2,Truthful Competitor 4,1,16
2,Truthful Competitor 4,2,14
2,Truthful Competitor 4,3,28
2,Truthful Competitor 4,4,19
2,Truthful Competitor 5,0,11
2,Truthful Competitor 5,1,31
2,Truthful Competitor 5,2,23
2,Truthful Competitor 5,3,23
2,Truthful Competitor 5,4,24
2,Truthful Competitor 6,0,16
2,Truthful Competitor 6,1,2
2,Truthful Competitor 6,2,8
2,Truthful Competitor 6,3,6
2,Truthful Competitor 6,4,3
