Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Gross Utility 1,0,740.0
0,PPO Bidder - Gross Utility 1,1,2160.0
0,PPO Bidder - Gross Utility 1,2,1860.0
0,PPO Bidder - Gross Utility 1,3,1660.0
0,PPO Bidder - Gross Utility 1,4,2120.0
0,Truthful Competitor 2,0,220.0
0,Truthful Competitor 2,1,240.0
0,Truthful Competitor 2,2,400.0
0,Truthful Competitor 2,3,440.0
0,Truthful Competitor 2,4,440.0
0,Truthful Competitor 3,0,220.0
0,Truthful Competitor 3,1,600.0
0,Truthful Competitor 3,2,760.0
0,Truthful Competitor 3,3,1140.0
0,Truthful Competitor 3,4,880.0
0,Truthful Competitor 4,0,20.0
0,Truthful Competitor 4,1,40.0
0,Truthful Competitor 4,2,360.0
0,Truthful Competitor 4,3,380.0
0,Truthful Competitor 4,4,320.0
0,Truthful Competitor 5,0,740.0
0,Truthful Competitor 5,1,280.0
0,Truthful Competitor 5,2,480.0
0,Truthful Competitor 5,3,400.0
0,Truthful Competitor 5,4,420.0
0,Truthful Competitor 6,0,120.0
0,Truthful Competitor 6,1,200.0
0,Truthful Competitor 6,2,120.0
0,Truthful Competitor 6,3,140.0
0,Truthful Competitor 6,4,180.0
1,PPO Bidder - Gross Utility 1,0,660.0
1,PPO Bidder - Gross Utility 1,1,1820.0
1,PPO Bidder - Gross Utility 1,2,2200.0
1,PPO Bidder - Gross Utility 1,3,1760.0
1,PPO Bidder - Gross Utility 1,4,1540.0
1,Truthful Competitor 2,0,40.0
1,Truthful Competitor 2,1,380.0
1,Truthful Competitor 2,2,460.0
1,Truthful Competitor 2,3,440.0
1,Truthful Competitor 2,4,460.0
1,Truthful Competitor 3,0,160.0
1,Truthful Competitor 3,1,620.0
1,Truthful Competitor 3,2,840.0
1,Truthful Competitor 3,3,840.0
1,Truthful Competitor 3,4,540.0
1,Truthful Competitor 4,0,180.0
1,Truthful Competitor 4,1,480.0
1,Truthful Competitor 4,2,340.0
1,Truthful Competitor 4,3,440.0
1,Truthful Competitor 4,4,300.0
1,Truthful Competitor 5,0,300.0
1,Truthful Competitor 5,1,300.0
1,Truthful Competitor 5,2,460.0
1,Truthful Competitor 5,3,520.0
1,Truthful Competitor 5,4,420.0
1,Truthful Competitor 6,0,40.0
1,Truthful Competitor 6,1,180.0
1,Truthful Competitor 6,2,160.0
1,Truthful Competitor 6,3,140.0
1,Truthful Competitor 6,4,140.0
2,PPO Bidder - Gross Utility 1,0,760.0
2,PPO Bidder - Gross Utility 1,1,2000.0
2,PPO Bidder - Gross Utility 1,2,1560.0
2,PPO Bidder - Gross Utility 1,3,1700.0
2,PPO Bidder - Gross Utility 1,4,1700.0
2,Truthful Competitor 2,0,80.0
2,Truthful Competitor 2,1,420.0
2,Truthful Competitor 2,2,600.0
2,Truthful Competitor 2,3,480.0
2,Truthful Competitor 2,4,420.0
2,Truthful Competitor 3,0,220.0
2,Truthful Competitor 3,1,620.0
2,Truthful Competitor 3,2,960.0
2,Truthful Competitor 3,3,860.0
2,Truthful Competitor 3,4,960.0
2,Truthful Competitor 4,0,80.0
2,Truthful Competitor 4,1,320.0
2,Truthful Competitor 4,2,280.0
2,Truthful Competitor 4,3,560.0
2,Truthful Competitor 4,4,380.0
2,Truthful Competitor 5,0,220.0
2,Truthful Competitor 5,1,620.0
2,Truthful Competitor 5,2,460.0
2,Truthful Competitor 5,3,460.0
2,Truthful Competitor 5,4,480.0
2,Truthful Competitor 6,0,320.0
2,Truthful Competitor 6,1,40.0
2,Truthful Competitor 6,2,160.0
2,Truthful Competitor 6,3,120.0
2,Truthful Competitor 6,4,60.0
