Run,Agent,Iteration,Underbid Regret
0,PPO Bidder - Gross Utility 1,0,-1437.5494745327478
0,PPO Bidder - Gross Utility 1,1,-150.80791503992538
0,PPO Bidder - Gross Utility 1,2,-156.21023784653198
0,PPO Bidder - Gross Utility 1,3,-167.85848468496238
0,PPO Bidder - Gross Utility 1,4,-169.38523397512546
0,Truthful Competitor 2,0,-2928.59138048645
0,Truthful Competitor 2,1,-208.65490994208133
0,Truthful Competitor 2,2,-224.933888530666
0,Truthful Competitor 2,3,-255.9088023556647
0,Truthful Competitor 2,4,-246.28382719027587
0,Truthful Competitor 3,0,-1821.397714961796
0,Truthful Competitor 3,1,-222.61076018300918
0,Truthful Competitor 3,2,-217.1964117398083
0,Truthful Competitor 3,3,-215.52186723230406
0,Truthful Competitor 3,4,-213.51638118752004
0,Truthful Competitor 4,0,-2851.3088177572845
0,Truthful Competitor 4,1,-134.55937845457845
0,Truthful Competitor 4,2,-185.42827520980356
0,Truthful Competitor 4,3,-201.3421738286325
0,Truthful Competitor 4,4,-195.87224976401671
0,Truthful Competitor 5,0,-1878.7424743353822
0,Truthful Competitor 5,1,-373.36482773813464
0,Truthful Competitor 5,2,-291.0436562674876
0,Truthful Competitor 5,3,-285.8875265379153
0,Truthful Competitor 5,4,-284.2351556884348
0,Truthful Competitor 6,0,-2296.924136561388
0,Truthful Competitor 6,1,-282.62685488219273
0,Truthful Competitor 6,2,-266.8291071529445
0,Truthful Competitor 6,3,-260.01147435463673
0,Truthful Competitor 6,4,-235.90070224973658
1,PPO Bidder - Gross Utility 1,0,-1048.6516530220026
1,PPO Bidder - Gross Utility 1,1,-179.0301713559602
1,PPO Bidder - Gross Utility 1,2,-178.15757632184113
1,PPO Bidder - Gross Utility 1,3,-163.02058369648836
1,PPO Bidder - Gross Utility 1,4,-158.68414370110432
1,Truthful Competitor 2,0,-1616.6757580694214
1,Truthful Competitor 2,1,-315.52352499051904
1,Truthful Competitor 2,2,-269.496450638582
1,Truthful Competitor 2,3,-248.1649814977643
1,Truthful Competitor 2,4,-240.62334974874346
1,Truthful Competitor 3,0,-2175.0028938803134
1,Truthful Competitor 3,1,-224.33331619230927
1,Truthful Competitor 3,2,-202.62406520448178
1,Truthful Competitor 3,3,-200.22326245139544
1,Truthful Competitor 3,4,-191.53326320054595
1,Truthful Competitor 4,0,-2304.1241745961656
1,Truthful Competitor 4,1,-250.8527438955762
1,Truthful Competitor 4,2,-216.41172457463824
1,Truthful Competitor 4,3,-212.01600238979626
1,Truthful Competitor 4,4,-210.47186481066674
1,Truthful Competitor 5,0,-1989.4840564292253
1,Truthful Competitor 5,1,-364.54461977163453
1,Truthful Competitor 5,2,-309.4254728924863
1,Truthful Competitor 5,3,-311.46037555326154
1,Truthful Competitor 5,4,-305.5838619047471
1,Truthful Competitor 6,0,-2234.688746353295
1,Truthful Competitor 6,1,-286.6310820592335
1,Truthful Competitor 6,2,-235.56510603377177
1,Truthful Competitor 6,3,-231.8372169956141
1,Truthful Competitor 6,4,-217.73557351829578
2,PPO Bidder - Gross Utility 1,0,-2062.783906297696
2,PPO Bidder - Gross Utility 1,1,-207.9551558002546
2,PPO Bidder - Gross Utility 1,2,-172.33322937728397
2,PPO Bidder - Gross Utility 1,3,-170.82955237180215
2,PPO Bidder - Gross Utility 1,4,-169.0261825830059
2,Truthful Competitor 2,0,-2415.127712224508
2,Truthful Competitor 2,1,-323.8182490332557
2,Truthful Competitor 2,2,-241.66566275591435
2,Truthful Competitor 2,3,-255.52729375154132
2,Truthful Competitor 2,4,-252.81621858174248
2,Truthful Competitor 3,0,-3754.4400759101327
2,Truthful Competitor 3,1,-289.9871449174873
2,Truthful Competitor 3,2,-242.7642400306275
2,Truthful Competitor 3,3,-244.16684008140413
2,Truthful Competitor 3,4,-233.20221365689403
2,Truthful Competitor 4,0,-2465.2585157319627
2,Truthful Competitor 4,1,-342.0829294171101
2,Truthful Competitor 4,2,-256.7770392071781
2,Truthful Competitor 4,3,-271.7986600615875
2,Truthful Competitor 4,4,-258.7834122206085
2,Truthful Competitor 5,0,-2749.0047239807736
2,Truthful Competitor 5,1,-416.9278352730207
2,Truthful Competitor 5,2,-345.32057095858147
2,Truthful Competitor 5,3,-328.4586036617391
2,Truthful Competitor 5,4,-312.0987261354248
2,Truthful Competitor 6,0,-1439.1790613706842
2,Truthful Competitor 6,1,-324.9438479705539
2,Truthful Competitor 6,2,-263.9729797624394
2,Truthful Competitor 6,3,-296.6355148769126
2,Truthful Competitor 6,4,-273.2548339447226
