Run,Agent,Iteration,CVR
0,PPO Bidder - Net Utility 1,0,0.11644657863145258
0,PPO Bidder - Net Utility 1,1,0.1053268765133172
0,PPO Bidder - Net Utility 1,2,0.10414201183431952
0,PPO Bidder - Net Utility 1,3,0.09157509157509157
0,PPO Bidder - Net Utility 1,4,0.11878787878787879
0,Truthful Competitor 2,0,0.06756756756756757
0,Truthful Competitor 2,1,0.09871244635193133
0,Truthful Competitor 2,2,0.072
0,Truthful Competitor 2,3,0.08745247148288973
0,Truthful Competitor 2,4,0.08786610878661087
0,Truthful Competitor 3,0,0.03508771929824561
0,Truthful Competitor 3,1,0.09843400447427293
0,Truthful Competitor 3,2,0.09534883720930233
0,Truthful Competitor 3,3,0.13744075829383887
0,Truthful Competitor 3,4,0.10576923076923077
0,Truthful Competitor 4,0,0.08888888888888889
0,Truthful Competitor 4,1,0.07874015748031496
0,Truthful Competitor 4,2,0.09615384615384616
0,Truthful Competitor 4,3,0.0703125
0,Truthful Competitor 4,4,0.11403508771929824
0,Truthful Competitor 5,0,0.09401709401709402
0,Truthful Competitor 5,1,0.09251101321585903
0,Truthful Competitor 5,2,0.128
0,Truthful Competitor 5,3,0.09387755102040816
0,Truthful Competitor 5,4,0.11363636363636363
0,Truthful Competitor 6,0,0.10084033613445378
0,Truthful Competitor 6,1,0.09836065573770492
0,Truthful Competitor 6,2,0.09836065573770492
0,Truthful Competitor 6,3,0.11904761904761904
0,Truthful Competitor 6,4,0.06382978723404255
1,PPO Bidder - Net Utility 1,0,0.10899653979238755
1,PPO Bidder - Net Utility 1,1,0.09697732997481108
1,PPO Bidder - Net Utility 1,2,0.10262828535669587
1,PPO Bidder - Net Utility 1,3,0.09007832898172324
1,PPO Bidder - Net Utility 1,4,0.09400544959128065
1,Truthful Competitor 2,0,0.08
1,Truthful Competitor 2,1,0.12578616352201258
1,Truthful Competitor 2,2,0.0858085808580858
1,Truthful Competitor 2,3,0.11290322580645161
1,Truthful Competitor 2,4,0.09407665505226481
1,Truthful Competitor 3,0,0.04
1,Truthful Competitor 3,1,0.09641255605381166
1,Truthful Competitor 3,2,0.12394957983193278
1,Truthful Competitor 3,3,0.09153318077803203
1,Truthful Competitor 3,4,0.07276507276507277
1,Truthful Competitor 4,0,0.13513513513513514
1,Truthful Competitor 4,1,0.08121827411167512
1,Truthful Competitor 4,2,0.09905660377358491
1,Truthful Competitor 4,3,0.08900523560209424
1,Truthful Competitor 4,4,0.095
1,Truthful Competitor 5,0,0.08333333333333333
1,Truthful Competitor 5,1,0.08881578947368421
1,Truthful Competitor 5,2,0.09848484848484848
1,Truthful Competitor 5,3,0.10197368421052631
1,Truthful Competitor 5,4,0.07719298245614035
1,Truthful Competitor 6,0,0.1375
1,Truthful Competitor 6,1,0.12903225806451613
1,Truthful Competitor 6,2,0.11864406779661017
1,Truthful Competitor 6,3,0.11764705882352941
1,Truthful Competitor 6,4,0.05555555555555555
2,PPO Bidder - Net Utility 1,0,0.0945273631840796
2,PPO Bidder - Net Utility 1,1,0.09036144578313253
2,PPO Bidder - Net Utility 1,2,0.08123569794050343
2,PPO Bidder - Net Utility 1,3,0.09396751740139211
2,PPO Bidder - Net Utility 1,4,0.08881199538638986
2,Truthful Competitor 2,0,0.10869565217391304
2,Truthful Competitor 2,1,0.0979381443298969
2,Truthful Competitor 2,2,0.1152542372881356
2,Truthful Competitor 2,3,0.10181818181818182
2,Truthful Competitor 2,4,0.08664259927797834
2,Truthful Competitor 3,0,0.11363636363636363
2,Truthful Competitor 3,1,0.10551558752997602
2,Truthful Competitor 3,2,0.10412573673870335
2,Truthful Competitor 3,3,0.09649122807017543
2,Truthful Competitor 3,4,0.1111111111111111
2,Truthful Competitor 4,0,0.14184397163120568
2,Truthful Competitor 4,1,0.08130081300813008
2,Truthful Competitor 4,2,0.10256410256410256
2,Truthful Competitor 4,3,0.136986301369863
2,Truthful Competitor 4,4,0.07563025210084033
2,Truthful Competitor 5,0,0.043478260869565216
2,Truthful Competitor 5,1,0.11073825503355705
2,Truthful Competitor 5,2,0.1062992125984252
2,Truthful Competitor 5,3,0.0967741935483871
2,Truthful Competitor 5,4,0.12015503875968993
2,Truthful Competitor 6,0,0.058823529411764705
2,Truthful Competitor 6,1,0.0851063829787234
2,Truthful Competitor 6,2,0.10869565217391304
2,Truthful Competitor 6,3,0.05084745762711865
2,Truthful Competitor 6,4,0.08333333333333333
