Run,Agent,Iteration,Overbid Regret
0,PPO Bidder - Net Utility 1,0,0.0
0,PPO Bidder - Net Utility 1,1,0.0
0,PPO Bidder - Net Utility 1,2,0.0
0,PPO Bidder - Net Utility 1,3,0.0
0,PPO Bidder - Net Utility 1,4,0.0
0,Truthful Competitor 2,0,0.0
0,Truthful Competitor 2,1,0.0
0,Truthful Competitor 2,2,0.0
0,Truthful Competitor 2,3,0.0
0,Truthful Competitor 2,4,0.0
0,Truthful Competitor 3,0,0.0
0,Truthful Competitor 3,1,0.0
0,Truthful Competitor 3,2,0.0
0,Truthful Competitor 3,3,0.0
0,Truthful Competitor 3,4,0.0
0,Truthful Competitor 4,0,0.0
0,Truthful Competitor 4,1,0.0
0,Truthful Competitor 4,2,0.0
0,Truthful Competitor 4,3,0.0
0,Truthful Competitor 4,4,0.0
0,Truthful Competitor 5,0,0.0
0,Truthful Competitor 5,1,0.0
0,Truthful Competitor 5,2,0.0
0,Truthful Competitor 5,3,0.0
0,Truthful Competitor 5,4,0.0
0,Truthful Competitor 6,0,0.0
0,Truthful Competitor 6,1,0.0
0,Truthful Competitor 6,2,0.0
0,Truthful Competitor 6,3,0.0
0,Truthful Competitor 6,4,0.0
1,PPO Bidder - Net Utility 1,0,0.0
1,PPO Bidder - Net Utility 1,1,0.0
1,PPO Bidder - Net Utility 1,2,0.0
1,PPO Bidder - Net Utility 1,3,0.0
1,PPO Bidder - Net Utility 1,4,0.0
1,Truthful Competitor 2,0,0.0
1,Truthful Competitor 2,1,0.0
1,Truthful Competitor 2,2,0.0
1,Truthful Competitor 2,3,0.0
1,Truthful Competitor 2,4,0.0
1,Truthful Competitor 3,0,0.0
1,Truthful Competitor 3,1,0.0
1,Truthful Competitor 3,2,0.0
1,Truthful Competitor 3,3,0.0
1,Truthful Competitor 3,4,0.0
1,Truthful Competitor 4,0,0.0
1,Truthful Competitor 4,1,0.0
1,Truthful Competitor 4,2,0.0
1,Truthful Competitor 4,3,0.0
1,Truthful Competitor 4,4,0.0
1,Truthful Competitor 5,0,0.0
1,Truthful Competitor 5,1,0.0
1,Truthful Competitor 5,2,0.0
1,Truthful Competitor 5,3,0.0
1,Truthful Competitor 5,4,0.0
1,Truthful Competitor 6,0,0.0
1,Truthful Competitor 6,1,0.0
1,Truthful Competitor 6,2,0.0
1,Truthful Competitor 6,3,0.0
1,Truthful Competitor 6,4,0.0
2,PPO Bidder - Net Utility 1,0,0.0
2,PPO Bidder - Net Utility 1,1,0.0
2,PPO Bidder - Net Utility 1,2,0.0
2,PPO Bidder - Net Utility 1,3,0.0
2,PPO Bidder - Net Utility 1,4,0.0
2,Truthful Competitor 2,0,0.0
2,Truthful Competitor 2,1,0.0
2,Truthful Competitor 2,2,0.0
2,Truthful Competitor 2,3,0.0
2,Truthful Competitor 2,4,0.0
2,Truthful Competitor 3,0,0.0
2,Truthful Competitor 3,1,0.0
2,Truthful Competitor 3,2,0.0
2,Truthful Competitor 3,3,0.0
2,Truthful Competitor 3,4,0.0
2,Truthful Competitor 4,0,0.0
2,Truthful Competitor 4,1,0.0
2,Truthful Competitor 4,2,0.0
2,Truthful Competitor 4,3,0.0
2,Truthful Competitor 4,4,0.0
2,Truthful Competitor 5,0,0.0
2,Truthful Competitor 5,1,0.0
2,Truthful Competitor 5,2,0.0
2,Truthful Competitor 5,3,0.0
2,Truthful Competitor 5,4,0.0
2,Truthful Competitor 6,0,0.0
2,Truthful Competitor 6,1,0.0
2,Truthful Competitor 6,2,0.0
2,Truthful Competitor 6,3,0.0
2,Truthful Competitor 6,4,0.0
