Run,Iteration,Measure,Measure Name
0,0,5660.4342266790145,Auction Revenue
0,1,1039.098058340301,Auction Revenue
0,2,842.467750556693,Auction Revenue
0,3,864.3740387809117,Auction Revenue
0,4,824.8675172546485,Auction Revenue
1,0,6470.1133728680325,Auction Revenue
1,1,951.5348200072377,Auction Revenue
1,2,819.5254595053312,Auction Revenue
1,3,828.6195300488647,Auction Revenue
1,4,791.0799914691883,Auction Revenue
2,0,6298.561989341994,Auction Revenue
2,1,942.5591654285377,Auction Revenue
2,2,895.4956564345108,Auction Revenue
2,3,934.6301155914322,Auction Revenue
2,4,872.3672901792653,Auction Revenue
0,0,-3761.9759877444594,Social Surplus
0,1,1651.9947460070427,Social Surplus
0,2,1915.600198234453,Social Surplus
0,3,1818.5360688902726,Social Surplus
0,4,1842.1604303918057,Social Surplus
1,0,-5248.796076075952,Social Surplus
1,1,1652.9944877286782,Social Surplus
1,2,1930.061194951433,Social Surplus
1,3,1875.969703484118,Social Surplus
1,4,1845.0014941049037,Social Surplus
2,0,-4143.487358079837,Social Surplus
2,1,1747.503978974157,Social Surplus
2,2,1959.593087251568,Social Surplus
2,3,1859.903698430602,Social Surplus
2,4,1898.2524516916376,Social Surplus
0,0,1898.4582389345796,Social Welfare
0,1,2691.0928043473396,Social Welfare
0,2,2758.0679487911416,Social Welfare
0,3,2682.9101076711827,Social Welfare
0,4,2667.0279476464507,Social Welfare
1,0,1221.3172967920716,Social Welfare
1,1,2604.5293077359133,Social Welfare
1,2,2749.5866544567607,Social Welfare
1,3,2704.589233532984,Social Welfare
1,4,2636.0814855740937,Social Welfare
2,0,2155.074631262135,Social Welfare
2,1,2690.0631444026867,Social Welfare
2,2,2855.0887436860735,Social Welfare
2,3,2794.533814022024,Social Welfare
2,4,2770.619741870894,Social Welfare
