Run,Agent,Iteration,Total Clicks
0,PPO Bidder - Net Utility 1,0,833
0,PPO Bidder - Net Utility 1,1,826
0,PPO Bidder - Net Utility 1,2,845
0,PPO Bidder - Net Utility 1,3,819
0,PPO Bidder - Net Utility 1,4,825
0,Truthful Competitor 2,0,74
0,Truthful Competitor 2,1,233
0,Truthful Competitor 2,2,250
0,Truthful Competitor 2,3,263
0,Truthful Competitor 2,4,239
0,Truthful Competitor 3,0,57
0,Truthful Competitor 3,1,447
0,Truthful Competitor 3,2,430
0,Truthful Competitor 3,3,422
0,Truthful Competitor 3,4,416
0,Truthful Competitor 4,0,45
0,Truthful Competitor 4,1,254
0,Truthful Competitor 4,2,260
0,Truthful Competitor 4,3,256
0,Truthful Competitor 4,4,228
0,Truthful Competitor 5,0,117
0,Truthful Competitor 5,1,227
0,Truthful Competitor 5,2,250
0,Truthful Competitor 5,3,245
0,Truthful Competitor 5,4,264
0,Truthful Competitor 6,0,119
0,Truthful Competitor 6,1,61
0,Truthful Competitor 6,2,61
0,Truthful Competitor 6,3,42
0,Truthful Competitor 6,4,47
1,PPO Bidder - Net Utility 1,0,578
1,PPO Bidder - Net Utility 1,1,794
1,PPO Bidder - Net Utility 1,2,799
1,PPO Bidder - Net Utility 1,3,766
1,PPO Bidder - Net Utility 1,4,734
1,Truthful Competitor 2,0,25
1,Truthful Competitor 2,1,159
1,Truthful Competitor 2,2,303
1,Truthful Competitor 2,3,310
1,Truthful Competitor 2,4,287
1,Truthful Competitor 3,0,25
1,Truthful Competitor 3,1,446
1,Truthful Competitor 3,2,476
1,Truthful Competitor 3,3,437
1,Truthful Competitor 3,4,481
1,Truthful Competitor 4,0,37
1,Truthful Competitor 4,1,197
1,Truthful Competitor 4,2,212
1,Truthful Competitor 4,3,191
1,Truthful Competitor 4,4,200
1,Truthful Competitor 5,0,36
1,Truthful Competitor 5,1,304
1,Truthful Competitor 5,2,264
1,Truthful Competitor 5,3,304
1,Truthful Competitor 5,4,285
1,Truthful Competitor 6,0,80
1,Truthful Competitor 6,1,62
1,Truthful Competitor 6,2,59
1,Truthful Competitor 6,3,68
1,Truthful Competitor 6,4,54
2,PPO Bidder - Net Utility 1,0,1005
2,PPO Bidder - Net Utility 1,1,830
2,PPO Bidder - Net Utility 1,2,874
2,PPO Bidder - Net Utility 1,3,862
2,PPO Bidder - Net Utility 1,4,867
2,Truthful Competitor 2,0,92
2,Truthful Competitor 2,1,194
2,Truthful Competitor 2,2,295
2,Truthful Competitor 2,3,275
2,Truthful Competitor 2,4,277
2,Truthful Competitor 3,0,44
2,Truthful Competitor 3,1,417
2,Truthful Competitor 3,2,509
2,Truthful Competitor 3,3,456
2,Truthful Competitor 3,4,423
2,Truthful Competitor 4,0,141
2,Truthful Competitor 4,1,246
2,Truthful Competitor 4,2,195
2,Truthful Competitor 4,3,219
2,Truthful Competitor 4,4,238
2,Truthful Competitor 5,0,69
2,Truthful Competitor 5,1,298
2,Truthful Competitor 5,2,254
2,Truthful Competitor 5,3,248
2,Truthful Competitor 5,4,258
2,Truthful Competitor 6,0,68
2,Truthful Competitor 6,1,47
2,Truthful Competitor 6,2,46
2,Truthful Competitor 6,3,59
2,Truthful Competitor 6,4,36
