Run,Agent,Iteration,Total Conversions
0,PPO Bidder - Net Utility 1,0,97
0,PPO Bidder - Net Utility 1,1,87
0,PPO Bidder - Net Utility 1,2,88
0,PPO Bidder - Net Utility 1,3,75
0,PPO Bidder - Net Utility 1,4,98
0,Truthful Competitor 2,0,5
0,Truthful Competitor 2,1,23
0,Truthful Competitor 2,2,18
0,Truthful Competitor 2,3,23
0,Truthful Competitor 2,4,21
0,Truthful Competitor 3,0,2
0,Truthful Competitor 3,1,44
0,Truthful Competitor 3,2,41
0,Truthful Competitor 3,3,58
0,Truthful Competitor 3,4,44
0,Truthful Competitor 4,0,4
0,Truthful Competitor 4,1,20
0,Truthful Competitor 4,2,25
0,Truthful Competitor 4,3,18
0,Truthful Competitor 4,4,26
0,Truthful Competitor 5,0,11
0,Truthful Competitor 5,1,21
0,Truthful Competitor 5,2,32
0,Truthful Competitor 5,3,23
0,Truthful Competitor 5,4,30
0,Truthful Competitor 6,0,12
0,Truthful Competitor 6,1,6
0,Truthful Competitor 6,2,6
0,Truthful Competitor 6,3,5
0,Truthful Competitor 6,4,3
1,PPO Bidder - Net Utility 1,0,63
1,PPO Bidder - Net Utility 1,1,77
1,PPO Bidder - Net Utility 1,2,82
1,PPO Bidder - Net Utility 1,3,69
1,PPO Bidder - Net Utility 1,4,69
1,Truthful Competitor 2,0,2
1,Truthful Competitor 2,1,20
1,Truthful Competitor 2,2,26
1,Truthful Competitor 2,3,35
1,Truthful Competitor 2,4,27
1,Truthful Competitor 3,0,1
1,Truthful Competitor 3,1,43
1,Truthful Competitor 3,2,59
1,Truthful Competitor 3,3,40
1,Truthful Competitor 3,4,35
1,Truthful Competitor 4,0,5
1,Truthful Competitor 4,1,16
1,Truthful Competitor 4,2,21
1,Truthful Competitor 4,3,17
1,Truthful Competitor 4,4,19
1,Truthful Competitor 5,0,3
1,Truthful Competitor 5,1,27
1,Truthful Competitor 5,2,26
1,Truthful Competitor 5,3,31
1,Truthful Competitor 5,4,22
1,Truthful Competitor 6,0,11
1,Truthful Competitor 6,1,8
1,Truthful Competitor 6,2,7
1,Truthful Competitor 6,3,8
1,Truthful Competitor 6,4,3
2,PPO Bidder - Net Utility 1,0,95
2,PPO Bidder - Net Utility 1,1,75
2,PPO Bidder - Net Utility 1,2,71
2,PPO Bidder - Net Utility 1,3,81
2,PPO Bidder - Net Utility 1,4,77
2,Truthful Competitor 2,0,10
2,Truthful Competitor 2,1,19
2,Truthful Competitor 2,2,34
2,Truthful Competitor 2,3,28
2,Truthful Competitor 2,4,24
2,Truthful Competitor 3,0,5
2,Truthful Competitor 3,1,44
2,Truthful Competitor 3,2,53
2,Truthful Competitor 3,3,44
2,Truthful Competitor 3,4,47
2,Truthful Competitor 4,0,20
2,Truthful Competitor 4,1,20
2,Truthful Competitor 4,2,20
2,Truthful Competitor 4,3,30
2,Truthful Competitor 4,4,18
2,Truthful Competitor 5,0,3
2,Truthful Competitor 5,1,33
2,Truthful Competitor 5,2,27
2,Truthful Competitor 5,3,24
2,Truthful Competitor 5,4,31
2,Truthful Competitor 6,0,4
2,Truthful Competitor 6,1,4
2,Truthful Competitor 6,2,5
2,Truthful Competitor 6,3,3
2,Truthful Competitor 6,4,3
