Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Net Utility 1,0,1940.0
0,PPO Bidder - Net Utility 1,1,1740.0
0,PPO Bidder - Net Utility 1,2,1760.0
0,PPO Bidder - Net Utility 1,3,1500.0
0,PPO Bidder - Net Utility 1,4,1960.0
0,Truthful Competitor 2,0,100.0
0,Truthful Competitor 2,1,460.0
0,Truthful Competitor 2,2,360.0
0,Truthful Competitor 2,3,460.0
0,Truthful Competitor 2,4,420.0
0,Truthful Competitor 3,0,40.0
0,Truthful Competitor 3,1,880.0
0,Truthful Competitor 3,2,820.0
0,Truthful Competitor 3,3,1160.0
0,Truthful Competitor 3,4,880.0
0,Truthful Competitor 4,0,80.0
0,Truthful Competitor 4,1,400.0
0,Truthful Competitor 4,2,500.0
0,Truthful Competitor 4,3,360.0
0,Truthful Competitor 4,4,520.0
0,Truthful Competitor 5,0,220.0
0,Truthful Competitor 5,1,420.0
0,Truthful Competitor 5,2,640.0
0,Truthful Competitor 5,3,460.0
0,Truthful Competitor 5,4,600.0
0,Truthful Competitor 6,0,240.0
0,Truthful Competitor 6,1,120.0
0,Truthful Competitor 6,2,120.0
0,Truthful Competitor 6,3,100.0
0,Truthful Competitor 6,4,60.0
1,PPO Bidder - Net Utility 1,0,1260.0
1,PPO Bidder - Net Utility 1,1,1540.0
1,PPO Bidder - Net Utility 1,2,1640.0
1,PPO Bidder - Net Utility 1,3,1380.0
1,PPO Bidder - Net Utility 1,4,1380.0
1,Truthful Competitor 2,0,40.0
1,Truthful Competitor 2,1,400.0
1,Truthful Competitor 2,2,520.0
1,Truthful Competitor 2,3,700.0
1,Truthful Competitor 2,4,540.0
1,Truthful Competitor 3,0,20.0
1,Truthful Competitor 3,1,860.0
1,Truthful Competitor 3,2,1180.0
1,Truthful Competitor 3,3,800.0
1,Truthful Competitor 3,4,700.0
1,Truthful Competitor 4,0,100.0
1,Truthful Competitor 4,1,320.0
1,Truthful Competitor 4,2,420.0
1,Truthful Competitor 4,3,340.0
1,Truthful Competitor 4,4,380.0
1,Truthful Competitor 5,0,60.0
1,Truthful Competitor 5,1,540.0
1,Truthful Competitor 5,2,520.0
1,Truthful Competitor 5,3,620.0
1,Truthful Competitor 5,4,440.0
1,Truthful Competitor 6,0,220.0
1,Truthful Competitor 6,1,160.0
1,Truthful Competitor 6,2,140.0
1,Truthful Competitor 6,3,160.0
1,Truthful Competitor 6,4,60.0
2,PPO Bidder - Net Utility 1,0,1900.0
2,PPO Bidder - Net Utility 1,1,1500.0
2,PPO Bidder - Net Utility 1,2,1420.0
2,PPO Bidder - Net Utility 1,3,1620.0
2,PPO Bidder - Net Utility 1,4,1540.0
2,Truthful Competitor 2,0,200.0
2,Truthful Competitor 2,1,380.0
2,Truthful Competitor 2,2,680.0
2,Truthful Competitor 2,3,560.0
2,Truthful Competitor 2,4,480.0
2,Truthful Competitor 3,0,100.0
2,Truthful Competitor 3,1,880.0
2,Truthful Competitor 3,2,1060.0
2,Truthful Competitor 3,3,880.0
2,Truthful Competitor 3,4,940.0
2,Truthful Competitor 4,0,400.0
2,Truthful Competitor 4,1,400.0
2,Truthful Competitor 4,2,400.0
2,Truthful Competitor 4,3,600.0
2,Truthful Competitor 4,4,360.0
2,Truthful Competitor 5,0,60.0
2,Truthful Competitor 5,1,660.0
2,Truthful Competitor 5,2,540.0
2,Truthful Competitor 5,3,480.0
2,Truthful Competitor 5,4,620.0
2,Truthful Competitor 6,0,80.0
2,Truthful Competitor 6,1,80.0
2,Truthful Competitor 6,2,100.0
2,Truthful Competitor 6,3,60.0
2,Truthful Competitor 6,4,60.0
