Run,Iteration,Measure,Measure Name
0,0,6509.097794973706,Auction Revenue
0,1,1122.0204954361382,Auction Revenue
0,2,834.3199800949662,Auction Revenue
0,3,866.7696065173105,Auction Revenue
0,4,828.7027433913332,Auction Revenue
1,0,5629.348579502845,Auction Revenue
1,1,901.6193385832071,Auction Revenue
1,2,822.803519039512,Auction Revenue
1,3,850.1613681777167,Auction Revenue
1,4,806.1263426268779,Auction Revenue
2,0,6497.8103327689,Auction Revenue
2,1,1015.3105417547167,Auction Revenue
2,2,871.4682165005071,Auction Revenue
2,3,886.6321005704782,Auction Revenue
2,4,835.0639642321022,Auction Revenue
0,0,-5152.713444286545,Social Surplus
0,1,1575.739983333152,Social Surplus
0,2,1923.6442619357365,Social Surplus
0,3,1821.0808004408393,Social Surplus
0,4,1872.0469115785409,Social Surplus
1,0,-4592.245236851291,Social Surplus
1,1,1725.1801032333417,Social Surplus
1,2,1987.4973624740924,Social Surplus
1,3,1939.1762923414374,Social Surplus
1,4,1872.336428943602,Social Surplus
2,0,-5735.497633400073,Social Surplus
2,1,1775.725572750405,Social Surplus
2,2,1980.804591796486,Social Surplus
2,3,1909.1190487465167,Social Surplus
2,4,1945.660061882545,Social Surplus
0,0,1356.3843506871701,Social Welfare
0,1,2697.7604787692894,Social Welfare
0,2,2757.9642420306964,Social Welfare
0,3,2687.850406958145,Social Welfare
0,4,2700.7496549698662,Social Welfare
1,0,1037.1033426515512,Social Welfare
1,1,2626.7994418165385,Social Welfare
1,2,2810.300881513592,Social Welfare
1,3,2789.3376605191456,Social Welfare
1,4,2678.462771570473,Social Welfare
2,0,762.31269936881,Social Welfare
2,1,2791.0361145051106,Social Welfare
2,2,2852.2728082969847,Social Welfare
2,3,2795.7511493169845,Social Welfare
2,4,2780.72402611464,Social Welfare
