Run,Agent,Iteration,Total Conversions
0,PPO Bidder - Penalty Wasted Spend 1,0,50
0,PPO Bidder - Penalty Wasted Spend 1,1,95
0,PPO Bidder - Penalty Wasted Spend 1,2,88
0,PPO Bidder - Penalty Wasted Spend 1,3,77
0,PPO Bidder - Penalty Wasted Spend 1,4,103
0,Truthful Competitor 2,0,9
0,Truthful Competitor 2,1,19
0,Truthful Competitor 2,2,15
0,Truthful Competitor 2,3,25
0,Truthful Competitor 2,4,19
0,Truthful Competitor 3,0,26
0,Truthful Competitor 3,1,41
0,Truthful Competitor 3,2,39
0,Truthful Competitor 3,3,56
0,Truthful Competitor 3,4,45
0,Truthful Competitor 4,0,10
0,Truthful Competitor 4,1,14
0,Truthful Competitor 4,2,24
0,Truthful Competitor 4,3,20
0,Truthful Competitor 4,4,22
0,Truthful Competitor 5,0,8
0,Truthful Competitor 5,1,22
0,Truthful Competitor 5,2,30
0,Truthful Competitor 5,3,21
0,Truthful Competitor 5,4,25
0,Truthful Competitor 6,0,6
0,Truthful Competitor 6,1,5
0,Truthful Competitor 6,2,6
0,Truthful Competitor 6,3,6
0,Truthful Competitor 6,4,5
1,PPO Bidder - Penalty Wasted Spend 1,0,31
1,PPO Bidder - Penalty Wasted Spend 1,1,76
1,PPO Bidder - Penalty Wasted Spend 1,2,97
1,PPO Bidder - Penalty Wasted Spend 1,3,81
1,PPO Bidder - Penalty Wasted Spend 1,4,78
1,Truthful Competitor 2,0,3
1,Truthful Competitor 2,1,40
1,Truthful Competitor 2,2,30
1,Truthful Competitor 2,3,25
1,Truthful Competitor 2,4,27
1,Truthful Competitor 3,0,2
1,Truthful Competitor 3,1,37
1,Truthful Competitor 3,2,39
1,Truthful Competitor 3,3,45
1,Truthful Competitor 3,4,31
1,Truthful Competitor 4,0,3
1,Truthful Competitor 4,1,6
1,Truthful Competitor 4,2,13
1,Truthful Competitor 4,3,16
1,Truthful Competitor 4,4,16
1,Truthful Competitor 5,0,14
1,Truthful Competitor 5,1,17
1,Truthful Competitor 5,2,27
1,Truthful Competitor 5,3,31
1,Truthful Competitor 5,4,26
1,Truthful Competitor 6,0,18
1,Truthful Competitor 6,1,7
1,Truthful Competitor 6,2,9
1,Truthful Competitor 6,3,9
1,Truthful Competitor 6,4,7
2,PPO Bidder - Penalty Wasted Spend 1,0,19
2,PPO Bidder - Penalty Wasted Spend 1,1,85
2,PPO Bidder - Penalty Wasted Spend 1,2,71
2,PPO Bidder - Penalty Wasted Spend 1,3,82
2,PPO Bidder - Penalty Wasted Spend 1,4,75
2,Truthful Competitor 2,0,13
2,Truthful Competitor 2,1,26
2,Truthful Competitor 2,2,31
2,Truthful Competitor 2,3,28
2,Truthful Competitor 2,4,26
2,Truthful Competitor 3,0,2
2,Truthful Competitor 3,1,39
2,Truthful Competitor 3,2,52
2,Truthful Competitor 3,3,47
2,Truthful Competitor 3,4,47
2,Truthful Competitor 4,0,6
2,Truthful Competitor 4,1,10
2,Truthful Competitor 4,2,16
2,Truthful Competitor 4,3,27
2,Truthful Competitor 4,4,17
2,Truthful Competitor 5,0,6
2,Truthful Competitor 5,1,29
2,Truthful Competitor 5,2,28
2,Truthful Competitor 5,3,23
2,Truthful Competitor 5,4,32
2,Truthful Competitor 6,0,12
2,Truthful Competitor 6,1,2
2,Truthful Competitor 6,2,6
2,Truthful Competitor 6,3,3
2,Truthful Competitor 6,4,3
