Run,Agent,Iteration,Total Sales Revenue
0,PPO Bidder - Penalty Wasted Spend 1,0,1000.0
0,PPO Bidder - Penalty Wasted Spend 1,1,1900.0
0,PPO Bidder - Penalty Wasted Spend 1,2,1760.0
0,PPO Bidder - Penalty Wasted Spend 1,3,1540.0
0,PPO Bidder - Penalty Wasted Spend 1,4,2060.0
0,Truthful Competitor 2,0,180.0
0,Truthful Competitor 2,1,380.0
0,Truthful Competitor 2,2,300.0
0,Truthful Competitor 2,3,500.0
0,Truthful Competitor 2,4,380.0
0,Truthful Competitor 3,0,520.0
0,Truthful Competitor 3,1,820.0
0,Truthful Competitor 3,2,780.0
0,Truthful Competitor 3,3,1120.0
0,Truthful Competitor 3,4,900.0
0,Truthful Competitor 4,0,200.0
0,Truthful Competitor 4,1,280.0
0,Truthful Competitor 4,2,480.0
0,Truthful Competitor 4,3,400.0
0,Truthful Competitor 4,4,440.0
0,Truthful Competitor 5,0,160.0
0,Truthful Competitor 5,1,440.0
0,Truthful Competitor 5,2,600.0
0,Truthful Competitor 5,3,420.0
0,Truthful Competitor 5,4,500.0
0,Truthful Competitor 6,0,120.0
0,Truthful Competitor 6,1,100.0
0,Truthful Competitor 6,2,120.0
0,Truthful Competitor 6,3,120.0
0,Truthful Competitor 6,4,100.0
1,PPO Bidder - Penalty Wasted Spend 1,0,620.0
1,PPO Bidder - Penalty Wasted Spend 1,1,1520.0
1,PPO Bidder - Penalty Wasted Spend 1,2,1940.0
1,PPO Bidder - Penalty Wasted Spend 1,3,1620.0
1,PPO Bidder - Penalty Wasted Spend 1,4,1560.0
1,Truthful Competitor 2,0,60.0
1,Truthful Competitor 2,1,800.0
1,Truthful Competitor 2,2,600.0
1,Truthful Competitor 2,3,500.0
1,Truthful Competitor 2,4,540.0
1,Truthful Competitor 3,0,40.0
1,Truthful Competitor 3,1,740.0
1,Truthful Competitor 3,2,780.0
1,Truthful Competitor 3,3,900.0
1,Truthful Competitor 3,4,620.0
1,Truthful Competitor 4,0,60.0
1,Truthful Competitor 4,1,120.0
1,Truthful Competitor 4,2,260.0
1,Truthful Competitor 4,3,320.0
1,Truthful Competitor 4,4,320.0
1,Truthful Competitor 5,0,280.0
1,Truthful Competitor 5,1,340.0
1,Truthful Competitor 5,2,540.0
1,Truthful Competitor 5,3,620.0
1,Truthful Competitor 5,4,520.0
1,Truthful Competitor 6,0,360.0
1,Truthful Competitor 6,1,140.0
1,Truthful Competitor 6,2,180.0
1,Truthful Competitor 6,3,180.0
1,Truthful Competitor 6,4,140.0
2,PPO Bidder - Penalty Wasted Spend 1,0,380.0
2,PPO Bidder - Penalty Wasted Spend 1,1,1700.0
2,PPO Bidder - Penalty Wasted Spend 1,2,1420.0
2,PPO Bidder - Penalty Wasted Spend 1,3,1640.0
2,PPO Bidder - Penalty Wasted Spend 1,4,1500.0
2,Truthful Competitor 2,0,260.0
2,Truthful Competitor 2,1,520.0
2,Truthful Competitor 2,2,620.0
2,Truthful Competitor 2,3,560.0
2,Truthful Competitor 2,4,520.0
2,Truthful Competitor 3,0,40.0
2,Truthful Competitor 3,1,780.0
2,Truthful Competitor 3,2,1040.0
2,Truthful Competitor 3,3,940.0
2,Truthful Competitor 3,4,940.0
2,Truthful Competitor 4,0,120.0
2,Truthful Competitor 4,1,200.0
2,Truthful Competitor 4,2,320.0
2,Truthful Competitor 4,3,540.0
2,Truthful Competitor 4,4,340.0
2,Truthful Competitor 5,0,120.0
2,Truthful Competitor 5,1,580.0
2,Truthful Competitor 5,2,560.0
2,Truthful Competitor 5,3,460.0
2,Truthful Competitor 5,4,640.0
2,Truthful Competitor 6,0,240.0
2,Truthful Competitor 6,1,40.0
2,Truthful Competitor 6,2,120.0
2,Truthful Competitor 6,3,60.0
2,Truthful Competitor 6,4,60.0
