Run,Agent,Iteration,Underbid Regret
0,PPO Bidder - Penalty Wasted Spend 1,0,-1361.059179156049
0,PPO Bidder - Penalty Wasted Spend 1,1,-240.43748940067297
0,PPO Bidder - Penalty Wasted Spend 1,2,-167.73273868645956
0,PPO Bidder - Penalty Wasted Spend 1,3,-180.90329842355214
0,PPO Bidder - Penalty Wasted Spend 1,4,-187.4684232159626
0,Truthful Competitor 2,0,-2525.9803239903754
0,Truthful Competitor 2,1,-285.1953746305904
0,Truthful Competitor 2,2,-235.27168568397477
0,Truthful Competitor 2,3,-266.8307326541667
0,Truthful Competitor 2,4,-246.41577681996336
0,Truthful Competitor 3,0,-2586.1878611069424
0,Truthful Competitor 3,1,-236.86583494601348
0,Truthful Competitor 3,2,-180.93621288276654
0,Truthful Competitor 3,3,-188.9904907346342
0,Truthful Competitor 3,4,-178.0288549343408
0,Truthful Competitor 4,0,-2237.012098338073
0,Truthful Competitor 4,1,-313.84186303108334
0,Truthful Competitor 4,2,-217.75899351661184
0,Truthful Competitor 4,3,-222.58349324376755
0,Truthful Competitor 4,4,-204.71687956009387
0,Truthful Competitor 5,0,-1586.6420106576854
0,Truthful Competitor 5,1,-336.40466095873546
0,Truthful Competitor 5,2,-268.89561969883306
0,Truthful Competitor 5,3,-262.12121907203687
0,Truthful Competitor 5,4,-255.91676356987819
0,Truthful Competitor 6,0,-1505.9553233738077
0,Truthful Competitor 6,1,-413.31640663192957
0,Truthful Competitor 6,2,-276.5606693103326
0,Truthful Competitor 6,3,-260.79438689184076
0,Truthful Competitor 6,4,-220.59126882835955
1,PPO Bidder - Penalty Wasted Spend 1,0,-1408.8948801477482
1,PPO Bidder - Penalty Wasted Spend 1,1,-189.67359952679584
1,PPO Bidder - Penalty Wasted Spend 1,2,-161.290947847435
1,PPO Bidder - Penalty Wasted Spend 1,3,-171.1174701103112
1,PPO Bidder - Penalty Wasted Spend 1,4,-162.8726109476301
1,Truthful Competitor 2,0,-2039.7011256716335
1,Truthful Competitor 2,1,-256.8205998228914
1,Truthful Competitor 2,2,-232.20052618174242
1,Truthful Competitor 2,3,-241.3948820917488
1,Truthful Competitor 2,4,-227.47166022196478
1,Truthful Competitor 3,0,-1548.9551007510993
1,Truthful Competitor 3,1,-172.77106215772034
1,Truthful Competitor 3,2,-166.8636402815651
1,Truthful Competitor 3,3,-177.7174400936062
1,Truthful Competitor 3,4,-169.20517757922158
1,Truthful Competitor 4,0,-1929.9232696466136
1,Truthful Competitor 4,1,-148.2779975046164
1,Truthful Competitor 4,2,-170.9896644240048
1,Truthful Competitor 4,3,-180.01498757071275
1,Truthful Competitor 4,4,-167.99900908344236
1,Truthful Competitor 5,0,-2078.5863774940735
1,Truthful Competitor 5,1,-345.2249517324701
1,Truthful Competitor 5,2,-297.40430830373043
1,Truthful Competitor 5,3,-295.6152073162322
1,Truthful Competitor 5,4,-284.30865280684895
1,Truthful Competitor 6,0,-805.1045695467956
1,Truthful Competitor 6,1,-254.05163235676147
1,Truthful Competitor 6,2,-209.0391964215505
1,Truthful Competitor 6,3,-215.45331336578397
1,Truthful Competitor 6,4,-198.46154670623287
2,PPO Bidder - Penalty Wasted Spend 1,0,-1570.2199375884738
2,PPO Bidder - Penalty Wasted Spend 1,1,-223.99911155783047
2,PPO Bidder - Penalty Wasted Spend 1,2,-189.60921178630434
2,PPO Bidder - Penalty Wasted Spend 1,3,-181.6595656896015
2,PPO Bidder - Penalty Wasted Spend 1,4,-174.59272642016305
2,Truthful Competitor 2,0,-2404.620098977558
2,Truthful Competitor 2,1,-288.2347903305863
2,Truthful Competitor 2,2,-208.18765548028233
2,Truthful Competitor 2,3,-230.51151462474974
2,Truthful Competitor 2,4,-220.78459533024915
2,Truthful Competitor 3,0,-2704.2161040246638
2,Truthful Competitor 3,1,-200.06166946993693
2,Truthful Competitor 3,2,-189.39941738861674
2,Truthful Competitor 3,3,-187.6700468965644
2,Truthful Competitor 3,4,-177.04117619632527
2,Truthful Competitor 4,0,-2577.6799644209746
2,Truthful Competitor 4,1,-292.7733542267112
2,Truthful Competitor 4,2,-231.667353825351
2,Truthful Competitor 4,3,-245.0917185556271
2,Truthful Competitor 4,4,-228.60320957251517
2,Truthful Competitor 5,0,-1552.1068599944842
2,Truthful Competitor 5,1,-327.0540797953071
2,Truthful Competitor 5,2,-293.78462444708964
2,Truthful Competitor 5,3,-270.6638994531727
2,Truthful Competitor 5,4,-253.6737972145381
2,Truthful Competitor 6,0,-1268.3307664542904
2,Truthful Competitor 6,1,-304.5462117452978
2,Truthful Competitor 6,2,-243.72960033720125
2,Truthful Competitor 6,3,-265.3485633022501
2,Truthful Competitor 6,4,-235.47194125005973
