Run,Agent,Iteration,ACoS
0,Truthful Oracle 1,0,inf
0,Truthful Oracle 1,1,inf
0,Truthful Oracle 1,2,inf
0,Truthful Oracle 1,3,inf
0,Truthful Oracle 1,4,inf
0,Truthful Oracle 1,5,inf
0,Truthful Oracle 1,6,inf
0,Truthful Oracle 1,7,inf
0,Truthful Oracle 1,8,inf
0,Truthful Oracle 1,9,inf
0,Truthful Oracle 1,10,inf
0,Truthful Oracle 1,11,inf
0,Truthful Oracle 1,12,inf
0,Truthful Oracle 1,13,inf
0,Truthful Oracle 1,14,inf
0,Truthful Oracle 1,15,inf
0,Truthful Oracle 1,16,inf
0,Truthful Oracle 1,17,inf
0,Truthful Oracle 1,18,inf
0,Truthful Oracle 1,19,inf
0,Truthful Oracle 2,0,inf
0,Truthful Oracle 2,1,inf
0,Truthful Oracle 2,2,inf
0,Truthful Oracle 2,3,inf
0,Truthful Oracle 2,4,inf
0,Truthful Oracle 2,5,inf
0,Truthful Oracle 2,6,inf
0,Truthful Oracle 2,7,inf
0,Truthful Oracle 2,8,inf
0,Truthful Oracle 2,9,inf
0,Truthful Oracle 2,10,inf
0,Truthful Oracle 2,11,inf
0,Truthful Oracle 2,12,inf
0,Truthful Oracle 2,13,inf
0,Truthful Oracle 2,14,inf
0,Truthful Oracle 2,15,inf
0,Truthful Oracle 2,16,inf
0,Truthful Oracle 2,17,inf
0,Truthful Oracle 2,18,inf
0,Truthful Oracle 2,19,inf
0,Truthful Oracle 3,0,inf
0,Truthful Oracle 3,1,inf
0,Truthful Oracle 3,2,inf
0,Truthful Oracle 3,3,inf
0,Truthful Oracle 3,4,inf
0,Truthful Oracle 3,5,inf
0,Truthful Oracle 3,6,inf
0,Truthful Oracle 3,7,inf
0,Truthful Oracle 3,8,inf
0,Truthful Oracle 3,9,inf
0,Truthful Oracle 3,10,inf
0,Truthful Oracle 3,11,inf
0,Truthful Oracle 3,12,inf
0,Truthful Oracle 3,13,inf
0,Truthful Oracle 3,14,inf
0,Truthful Oracle 3,15,inf
0,Truthful Oracle 3,16,inf
0,Truthful Oracle 3,17,inf
0,Truthful Oracle 3,18,inf
0,Truthful Oracle 3,19,inf
0,Truthful Oracle 4,0,inf
0,Truthful Oracle 4,1,inf
0,Truthful Oracle 4,2,inf
0,Truthful Oracle 4,3,inf
0,Truthful Oracle 4,4,inf
0,Truthful Oracle 4,5,inf
0,Truthful Oracle 4,6,inf
0,Truthful Oracle 4,7,inf
0,Truthful Oracle 4,8,inf
0,Truthful Oracle 4,9,inf
0,Truthful Oracle 4,10,inf
0,Truthful Oracle 4,11,inf
0,Truthful Oracle 4,12,inf
0,Truthful Oracle 4,13,inf
0,Truthful Oracle 4,14,inf
0,Truthful Oracle 4,15,inf
0,Truthful Oracle 4,16,inf
0,Truthful Oracle 4,17,inf
0,Truthful Oracle 4,18,inf
0,Truthful Oracle 4,19,inf
0,Truthful Oracle 5,0,inf
0,Truthful Oracle 5,1,inf
0,Truthful Oracle 5,2,inf
0,Truthful Oracle 5,3,inf
0,Truthful Oracle 5,4,inf
0,Truthful Oracle 5,5,inf
0,Truthful Oracle 5,6,inf
0,Truthful Oracle 5,7,inf
0,Truthful Oracle 5,8,inf
0,Truthful Oracle 5,9,inf
0,Truthful Oracle 5,10,inf
0,Truthful Oracle 5,11,inf
0,Truthful Oracle 5,12,inf
0,Truthful Oracle 5,13,inf
0,Truthful Oracle 5,14,inf
0,Truthful Oracle 5,15,inf
0,Truthful Oracle 5,16,inf
0,Truthful Oracle 5,17,inf
0,Truthful Oracle 5,18,inf
0,Truthful Oracle 5,19,inf
0,Truthful Oracle 6,0,inf
0,Truthful Oracle 6,1,inf
0,Truthful Oracle 6,2,inf
0,Truthful Oracle 6,3,inf
0,Truthful Oracle 6,4,inf
0,Truthful Oracle 6,5,inf
0,Truthful Oracle 6,6,inf
0,Truthful Oracle 6,7,inf
0,Truthful Oracle 6,8,inf
0,Truthful Oracle 6,9,inf
0,Truthful Oracle 6,10,inf
0,Truthful Oracle 6,11,inf
0,Truthful Oracle 6,12,inf
0,Truthful Oracle 6,13,inf
0,Truthful Oracle 6,14,inf
0,Truthful Oracle 6,15,inf
0,Truthful Oracle 6,16,inf
0,Truthful Oracle 6,17,inf
0,Truthful Oracle 6,18,inf
0,Truthful Oracle 6,19,inf
1,Truthful Oracle 1,0,inf
1,Truthful Oracle 1,1,inf
1,Truthful Oracle 1,2,inf
1,Truthful Oracle 1,3,inf
1,Truthful Oracle 1,4,inf
1,Truthful Oracle 1,5,inf
1,Truthful Oracle 1,6,inf
1,Truthful Oracle 1,7,inf
1,Truthful Oracle 1,8,inf
1,Truthful Oracle 1,9,inf
1,Truthful Oracle 1,10,inf
1,Truthful Oracle 1,11,inf
1,Truthful Oracle 1,12,inf
1,Truthful Oracle 1,13,inf
1,Truthful Oracle 1,14,inf
1,Truthful Oracle 1,15,inf
1,Truthful Oracle 1,16,inf
1,Truthful Oracle 1,17,inf
1,Truthful Oracle 1,18,inf
1,Truthful Oracle 1,19,inf
1,Truthful Oracle 2,0,inf
1,Truthful Oracle 2,1,inf
1,Truthful Oracle 2,2,inf
1,Truthful Oracle 2,3,inf
1,Truthful Oracle 2,4,inf
1,Truthful Oracle 2,5,inf
1,Truthful Oracle 2,6,inf
1,Truthful Oracle 2,7,inf
1,Truthful Oracle 2,8,inf
1,Truthful Oracle 2,9,inf
1,Truthful Oracle 2,10,inf
1,Truthful Oracle 2,11,inf
1,Truthful Oracle 2,12,inf
1,Truthful Oracle 2,13,inf
1,Truthful Oracle 2,14,inf
1,Truthful Oracle 2,15,inf
1,Truthful Oracle 2,16,inf
1,Truthful Oracle 2,17,inf
1,Truthful Oracle 2,18,inf
1,Truthful Oracle 2,19,inf
1,Truthful Oracle 3,0,inf
1,Truthful Oracle 3,1,inf
1,Truthful Oracle 3,2,inf
1,Truthful Oracle 3,3,inf
1,Truthful Oracle 3,4,inf
1,Truthful Oracle 3,5,inf
1,Truthful Oracle 3,6,inf
1,Truthful Oracle 3,7,inf
1,Truthful Oracle 3,8,inf
1,Truthful Oracle 3,9,inf
1,Truthful Oracle 3,10,inf
1,Truthful Oracle 3,11,inf
1,Truthful Oracle 3,12,inf
1,Truthful Oracle 3,13,inf
1,Truthful Oracle 3,14,inf
1,Truthful Oracle 3,15,inf
1,Truthful Oracle 3,16,inf
1,Truthful Oracle 3,17,inf
1,Truthful Oracle 3,18,inf
1,Truthful Oracle 3,19,inf
1,Truthful Oracle 4,0,inf
1,Truthful Oracle 4,1,inf
1,Truthful Oracle 4,2,inf
1,Truthful Oracle 4,3,inf
1,Truthful Oracle 4,4,inf
1,Truthful Oracle 4,5,inf
1,Truthful Oracle 4,6,inf
1,Truthful Oracle 4,7,inf
1,Truthful Oracle 4,8,inf
1,Truthful Oracle 4,9,inf
1,Truthful Oracle 4,10,inf
1,Truthful Oracle 4,11,inf
1,Truthful Oracle 4,12,inf
1,Truthful Oracle 4,13,inf
1,Truthful Oracle 4,14,inf
1,Truthful Oracle 4,15,inf
1,Truthful Oracle 4,16,inf
1,Truthful Oracle 4,17,inf
1,Truthful Oracle 4,18,inf
1,Truthful Oracle 4,19,inf
1,Truthful Oracle 5,0,inf
1,Truthful Oracle 5,1,inf
1,Truthful Oracle 5,2,inf
1,Truthful Oracle 5,3,inf
1,Truthful Oracle 5,4,inf
1,Truthful Oracle 5,5,inf
1,Truthful Oracle 5,6,inf
1,Truthful Oracle 5,7,inf
1,Truthful Oracle 5,8,inf
1,Truthful Oracle 5,9,inf
1,Truthful Oracle 5,10,inf
1,Truthful Oracle 5,11,inf
1,Truthful Oracle 5,12,inf
1,Truthful Oracle 5,13,inf
1,Truthful Oracle 5,14,inf
1,Truthful Oracle 5,15,inf
1,Truthful Oracle 5,16,inf
1,Truthful Oracle 5,17,inf
1,Truthful Oracle 5,18,inf
1,Truthful Oracle 5,19,inf
1,Truthful Oracle 6,0,inf
1,Truthful Oracle 6,1,inf
1,Truthful Oracle 6,2,inf
1,Truthful Oracle 6,3,inf
1,Truthful Oracle 6,4,inf
1,Truthful Oracle 6,5,inf
1,Truthful Oracle 6,6,inf
1,Truthful Oracle 6,7,inf
1,Truthful Oracle 6,8,inf
1,Truthful Oracle 6,9,inf
1,Truthful Oracle 6,10,inf
1,Truthful Oracle 6,11,inf
1,Truthful Oracle 6,12,inf
1,Truthful Oracle 6,13,inf
1,Truthful Oracle 6,14,inf
1,Truthful Oracle 6,15,inf
1,Truthful Oracle 6,16,inf
1,Truthful Oracle 6,17,inf
1,Truthful Oracle 6,18,inf
1,Truthful Oracle 6,19,inf
2,Truthful Oracle 1,0,inf
2,Truthful Oracle 1,1,inf
2,Truthful Oracle 1,2,inf
2,Truthful Oracle 1,3,inf
2,Truthful Oracle 1,4,inf
2,Truthful Oracle 1,5,inf
2,Truthful Oracle 1,6,inf
2,Truthful Oracle 1,7,inf
2,Truthful Oracle 1,8,inf
2,Truthful Oracle 1,9,inf
2,Truthful Oracle 1,10,inf
2,Truthful Oracle 1,11,inf
2,Truthful Oracle 1,12,inf
2,Truthful Oracle 1,13,inf
2,Truthful Oracle 1,14,inf
2,Truthful Oracle 1,15,inf
2,Truthful Oracle 1,16,inf
2,Truthful Oracle 1,17,inf
2,Truthful Oracle 1,18,inf
2,Truthful Oracle 1,19,inf
