Run,Agent,Iteration,Gross Utility
0,Truthful Oracle 1,0,1006.8146405329189
0,Truthful Oracle 1,1,998.6567666641384
0,Truthful Oracle 1,2,1055.893866690138
0,Truthful Oracle 1,3,1040.6202373080241
0,Truthful Oracle 1,4,1035.1300276484735
0,Truthful Oracle 1,5,1045.3692129409533
0,Truthful Oracle 1,6,1063.3330405960253
0,Truthful Oracle 1,7,1044.4484663681849
0,Truthful Oracle 1,8,1024.4433905560352
0,Truthful Oracle 1,9,1083.0619848394956
0,Truthful Oracle 1,10,1045.4427296838066
0,Truthful Oracle 1,11,1039.4423646474434
0,Truthful Oracle 1,12,1083.2466893024048
0,Truthful Oracle 1,13,1087.9599546469897
0,Truthful Oracle 1,14,1018.3240050760332
0,Truthful Oracle 1,15,1019.6020095668146
0,Truthful Oracle 1,16,1040.67233500071
0,Truthful Oracle 1,17,995.3083240258504
0,Truthful Oracle 1,18,1090.1515542186353
0,Truthful Oracle 1,19,1007.8403640970807
1,Truthful Oracle 1,0,1042.399060774737
1,Truthful Oracle 1,1,1013.2710646489967
1,Truthful Oracle 1,2,1062.911496527265
1,Truthful Oracle 1,3,1020.5689063703538
1,Truthful Oracle 1,4,1068.9558673679192
1,Truthful Oracle 1,5,971.3602768329512
1,Truthful Oracle 1,6,1089.9869588015247
1,Truthful Oracle 1,7,1039.8116248614213
1,Truthful Oracle 1,8,1023.4218342493433
1,Truthful Oracle 1,9,1038.8711289793769
1,Truthful Oracle 1,10,1118.7165140800557
1,Truthful Oracle 1,11,995.7969338856055
1,Truthful Oracle 1,12,982.0291860695111
1,Truthful Oracle 1,13,1050.929913775128
1,Truthful Oracle 1,14,990.7495072803302
1,Truthful Oracle 1,15,1059.5189951323118
1,Truthful Oracle 1,16,1120.7088450430906
1,Truthful Oracle 1,17,1067.6744173650222
1,Truthful Oracle 1,18,999.3086786063346
1,Truthful Oracle 1,19,1110.5781438512063
2,Truthful Oracle 1,0,1058.4967532497594
2,Truthful Oracle 1,1,1116.934881467619
2,Truthful Oracle 1,2,1042.3090910142168
2,Truthful Oracle 1,3,986.2196416399906
2,Truthful Oracle 1,4,1084.62649475025
2,Truthful Oracle 1,5,1062.0092205526294
2,Truthful Oracle 1,6,1082.248587564928
2,Truthful Oracle 1,7,1087.6679167310908
2,Truthful Oracle 1,8,1072.3103431858037
2,Truthful Oracle 1,9,1077.7665286611084
2,Truthful Oracle 1,10,1047.1873670195398
2,Truthful Oracle 1,11,1052.5681873413228
2,Truthful Oracle 1,12,1025.7765699327317
2,Truthful Oracle 1,13,1142.1953213717998
2,Truthful Oracle 1,14,1045.8509926619643
2,Truthful Oracle 1,15,1099.3438785068083
2,Truthful Oracle 1,16,1113.6415430627721
2,Truthful Oracle 1,17,1003.5828055704166
2,Truthful Oracle 1,18,1046.2219056171411
2,Truthful Oracle 1,19,1062.9767269090073
0,Truthful Oracle 2,0,1195.0281148001618
0,Truthful Oracle 2,1,1170.6774544497453
0,Truthful Oracle 2,2,1201.956952178511
0,Truthful Oracle 2,3,1234.467392049058
0,Truthful Oracle 2,4,1161.6274634686315
0,Truthful Oracle 2,5,1180.2908481558052
0,Truthful Oracle 2,6,1177.5213314967334
0,Truthful Oracle 2,7,1174.7829340356136
0,Truthful Oracle 2,8,1132.7257937199788
0,Truthful Oracle 2,9,1180.3639558115096
0,Truthful Oracle 2,10,1198.9197182171147
0,Truthful Oracle 2,11,1165.1878699233991
0,Truthful Oracle 2,12,1132.4809605492744
0,Truthful Oracle 2,13,1208.103256301772
0,Truthful Oracle 2,14,1175.8245930708915
0,Truthful Oracle 2,15,1209.0339915268066
0,Truthful Oracle 2,16,1177.3076056382629
0,Truthful Oracle 2,17,1180.8111865465166
0,Truthful Oracle 2,18,1176.998513162222
0,Truthful Oracle 2,19,1152.744144974258
1,Truthful Oracle 2,0,1146.3332570749735
1,Truthful Oracle 2,1,1169.853411437364
1,Truthful Oracle 2,2,1180.7018162568645
1,Truthful Oracle 2,3,1145.1761859357364
1,Truthful Oracle 2,4,1217.645292182168
1,Truthful Oracle 2,5,1154.8585134138423
1,Truthful Oracle 2,6,1177.2620709801045
1,Truthful Oracle 2,7,1212.2089170551046
1,Truthful Oracle 2,8,1249.5372139088704
1,Truthful Oracle 2,9,1165.220254080258
1,Truthful Oracle 2,10,1114.6302614447945
1,Truthful Oracle 2,11,1176.6816045791568
1,Truthful Oracle 2,12,1144.0467877877495
1,Truthful Oracle 2,13,1196.9751142136668
1,Truthful Oracle 2,14,1204.6701328783934
1,Truthful Oracle 2,15,1162.5642961278054
1,Truthful Oracle 2,16,1241.1237564775531
1,Truthful Oracle 2,17,1180.685074182008
1,Truthful Oracle 2,18,1233.1584124453916
1,Truthful Oracle 2,19,1225.7946154328088
2,Truthful Oracle 2,0,1151.6918665809244
2,Truthful Oracle 2,1,1156.7076766624898
2,Truthful Oracle 2,2,1167.189967695123
2,Truthful Oracle 2,3,1072.1897519226861
2,Truthful Oracle 2,4,1103.4605926860422
2,Truthful Oracle 2,5,1192.252011223886
2,Truthful Oracle 2,6,1195.9368107394896
2,Truthful Oracle 2,7,1192.1041872210903
2,Truthful Oracle 2,8,1199.3024971707594
2,Truthful Oracle 2,9,1160.1944910066645
2,Truthful Oracle 2,10,1201.9296665618224
2,Truthful Oracle 2,11,1175.2049318364082
2,Truthful Oracle 2,12,1178.170324996924
2,Truthful Oracle 2,13,1170.5362927647293
2,Truthful Oracle 2,14,1199.8636904806638
2,Truthful Oracle 2,15,1228.3343560226326
2,Truthful Oracle 2,16,1190.1719457904824
2,Truthful Oracle 2,17,1181.4911868395216
2,Truthful Oracle 2,18,1237.5487278446933
2,Truthful Oracle 2,19,1236.6902515064714
0,Truthful Oracle 3,0,904.3990156026797
0,Truthful Oracle 3,1,860.9880845902516
0,Truthful Oracle 3,2,910.0363160277929
0,Truthful Oracle 3,3,865.6330673739363
0,Truthful Oracle 3,4,837.2667701288268
0,Truthful Oracle 3,5,887.4495081905309
0,Truthful Oracle 3,6,814.2558538328024
0,Truthful Oracle 3,7,859.2667552691252
0,Truthful Oracle 3,8,837.6685814004387
0,Truthful Oracle 3,9,858.2195210905703
0,Truthful Oracle 3,10,877.906959629491
0,Truthful Oracle 3,11,846.964404325141
0,Truthful Oracle 3,12,880.6699026916422
0,Truthful Oracle 3,13,840.3932485938202
0,Truthful Oracle 3,14,866.5200242291205
0,Truthful Oracle 3,15,904.0734567621256
0,Truthful Oracle 3,16,885.2005899117364
0,Truthful Oracle 3,17,832.9536078153914
0,Truthful Oracle 3,18,892.7800323310763
0,Truthful Oracle 3,19,807.7806451135067
1,Truthful Oracle 3,0,849.3827261172529
1,Truthful Oracle 3,1,886.2892356059898
1,Truthful Oracle 3,2,846.0956592449616
1,Truthful Oracle 3,3,819.757744288388
1,Truthful Oracle 3,4,841.526655361217
1,Truthful Oracle 3,5,839.3056443089898
1,Truthful Oracle 3,6,851.016806621297
1,Truthful Oracle 3,7,855.1133993650016
1,Truthful Oracle 3,8,826.3045058702982
1,Truthful Oracle 3,9,840.5469423206627
1,Truthful Oracle 3,10,919.0962347669374
1,Truthful Oracle 3,11,866.1481048670763
1,Truthful Oracle 3,12,885.808885362922
1,Truthful Oracle 3,13,860.8086946960894
1,Truthful Oracle 3,14,881.098219601042
1,Truthful Oracle 3,15,871.4783013512265
1,Truthful Oracle 3,16,844.0969598458756
1,Truthful Oracle 3,17,872.7143932558237
1,Truthful Oracle 3,18,867.1789786408585
1,Truthful Oracle 3,19,874.756232624384
2,Truthful Oracle 3,0,945.4619012937341
2,Truthful Oracle 3,1,854.4906964673389
2,Truthful Oracle 3,2,869.3802421925815
2,Truthful Oracle 3,3,821.9293932915826
2,Truthful Oracle 3,4,855.6386294472948
2,Truthful Oracle 3,5,833.3473013724522
2,Truthful Oracle 3,6,856.2088306252257
2,Truthful Oracle 3,7,865.7660503128791
2,Truthful Oracle 3,8,882.1698572477966
2,Truthful Oracle 3,9,884.8243439028919
2,Truthful Oracle 3,10,909.5933387125846
2,Truthful Oracle 3,11,867.9409924108293
2,Truthful Oracle 3,12,877.2696984798887
2,Truthful Oracle 3,13,890.8628192150702
2,Truthful Oracle 3,14,838.2224336075096
2,Truthful Oracle 3,15,846.4761828460723
2,Truthful Oracle 3,16,848.8643204185988
2,Truthful Oracle 3,17,899.100408150529
2,Truthful Oracle 3,18,851.861802985236
2,Truthful Oracle 3,19,871.696007673896
0,Truthful Oracle 4,0,1807.0090490193438
0,Truthful Oracle 4,1,1836.866816156261
0,Truthful Oracle 4,2,1822.5938149310446
0,Truthful Oracle 4,3,1927.9868443743921
0,Truthful Oracle 4,4,1836.3490390605643
0,Truthful Oracle 4,5,1779.7472987439876
0,Truthful Oracle 4,6,1911.1099638209432
0,Truthful Oracle 4,7,1910.3475071570688
0,Truthful Oracle 4,8,1825.7219622162613
0,Truthful Oracle 4,9,1867.679599937265
0,Truthful Oracle 4,10,1787.3080338856457
0,Truthful Oracle 4,11,1877.7841072424249
0,Truthful Oracle 4,12,1873.1483077532127
0,Truthful Oracle 4,13,1787.3854282948794
0,Truthful Oracle 4,14,1840.2565239143776
0,Truthful Oracle 4,15,1851.213108867607
0,Truthful Oracle 4,16,1851.9459819990436
0,Truthful Oracle 4,17,1809.9607291212649
0,Truthful Oracle 4,18,1855.7147106082648
0,Truthful Oracle 4,19,1864.8365589711057
1,Truthful Oracle 4,0,1838.3323807261777
1,Truthful Oracle 4,1,1822.4571000914673
1,Truthful Oracle 4,2,1738.3554859940496
1,Truthful Oracle 4,3,1944.167673887636
1,Truthful Oracle 4,4,1822.1892569297802
1,Truthful Oracle 4,5,1917.3241774305372
1,Truthful Oracle 4,6,1814.0320545695226
1,Truthful Oracle 4,7,1851.9547213257795
1,Truthful Oracle 4,8,1792.9044062800576
1,Truthful Oracle 4,9,1849.1062645529148
1,Truthful Oracle 4,10,1787.2169635060432
1,Truthful Oracle 4,11,1944.2562261592877
1,Truthful Oracle 4,12,1797.670649786187
1,Truthful Oracle 4,13,1749.35725121385
1,Truthful Oracle 4,14,1819.5692449774422
1,Truthful Oracle 4,15,1811.415552841381
1,Truthful Oracle 4,16,1852.185347297
1,Truthful Oracle 4,17,1835.5823236842978
1,Truthful Oracle 4,18,1779.735032510099
1,Truthful Oracle 4,19,1871.301834568421
2,Truthful Oracle 4,0,1765.8371736901713
2,Truthful Oracle 4,1,1833.541179907786
2,Truthful Oracle 4,2,1878.6881783964932
2,Truthful Oracle 4,3,1919.8589685618344
2,Truthful Oracle 4,4,1885.3787565448351
2,Truthful Oracle 4,5,1867.9195845200477
2,Truthful Oracle 4,6,1865.34752965739
2,Truthful Oracle 4,7,1907.8035271278757
2,Truthful Oracle 4,8,1852.0526609278065
2,Truthful Oracle 4,9,1813.186841833698
2,Truthful Oracle 4,10,1802.7527673161667
2,Truthful Oracle 4,11,1790.7374245524138
2,Truthful Oracle 4,12,1806.4461411405493
2,Truthful Oracle 4,13,1853.2771452658515
2,Truthful Oracle 4,14,1819.979012768712
2,Truthful Oracle 4,15,1869.5603378751753
2,Truthful Oracle 4,16,1792.086017581679
2,Truthful Oracle 4,17,1830.5655268195924
2,Truthful Oracle 4,18,1813.096538155514
2,Truthful Oracle 4,19,1822.7652293916647
0,Truthful Oracle 5,0,1199.815855691327
0,Truthful Oracle 5,1,1174.9422959444817
0,Truthful Oracle 5,2,1149.7216595360494
0,Truthful Oracle 5,3,1189.7458983778208
0,Truthful Oracle 5,4,1125.3933903251193
0,Truthful Oracle 5,5,1198.9456714771695
0,Truthful Oracle 5,6,1126.3319612815894
0,Truthful Oracle 5,7,1130.8367050874153
0,Truthful Oracle 5,8,1203.5605738841257
0,Truthful Oracle 5,9,1209.4945076214474
0,Truthful Oracle 5,10,1132.7520048678437
0,Truthful Oracle 5,11,1181.7922936572427
0,Truthful Oracle 5,12,1196.0722954766125
0,Truthful Oracle 5,13,1147.8336981804584
0,Truthful Oracle 5,14,1202.6858970883195
0,Truthful Oracle 5,15,1099.6447293136257
0,Truthful Oracle 5,16,1131.721747798673
0,Truthful Oracle 5,17,1148.7980929598004
0,Truthful Oracle 5,18,1156.746595727342
0,Truthful Oracle 5,19,1111.0875675894238
