Run,Agent,Iteration,Net Utility
0,Truthful Oracle 1,0,423.9121982416466
0,Truthful Oracle 1,1,405.4707676968264
0,Truthful Oracle 1,2,473.3062731126822
0,Truthful Oracle 1,3,488.3396276580536
0,Truthful Oracle 1,4,442.87772605596194
0,Truthful Oracle 1,5,452.45460314443415
0,Truthful Oracle 1,6,467.86464824707537
0,Truthful Oracle 1,7,479.79242104767366
0,Truthful Oracle 1,8,422.000118685013
0,Truthful Oracle 1,9,486.3097749876689
0,Truthful Oracle 1,10,462.9017966007366
0,Truthful Oracle 1,11,452.0950308343604
0,Truthful Oracle 1,12,475.4690725050267
0,Truthful Oracle 1,13,484.48821960170267
0,Truthful Oracle 1,14,423.5583654933459
0,Truthful Oracle 1,15,442.444928379664
0,Truthful Oracle 1,16,457.1293759745782
0,Truthful Oracle 1,17,435.9098232161084
0,Truthful Oracle 1,18,505.22230848677714
0,Truthful Oracle 1,19,407.9776110286845
1,Truthful Oracle 1,0,451.6275586158477
1,Truthful Oracle 1,1,432.1552172447127
1,Truthful Oracle 1,2,475.35424887566916
1,Truthful Oracle 1,3,471.3333523110302
1,Truthful Oracle 1,4,483.0262084242534
1,Truthful Oracle 1,5,421.8014027176197
1,Truthful Oracle 1,6,466.91304156761646
1,Truthful Oracle 1,7,449.4221247382546
1,Truthful Oracle 1,8,433.7333049804006
1,Truthful Oracle 1,9,461.2078848453166
1,Truthful Oracle 1,10,467.577616481951
1,Truthful Oracle 1,11,423.75173109709067
1,Truthful Oracle 1,12,424.0473408376884
1,Truthful Oracle 1,13,449.5584603502636
1,Truthful Oracle 1,14,426.8361083701477
1,Truthful Oracle 1,15,473.7392930235686
1,Truthful Oracle 1,16,501.1748605035286
1,Truthful Oracle 1,17,474.6776516321536
1,Truthful Oracle 1,18,435.07524506273296
1,Truthful Oracle 1,19,491.34152816771723
2,Truthful Oracle 1,0,480.9961168596404
2,Truthful Oracle 1,1,523.041255663724
2,Truthful Oracle 1,2,465.21635795331196
2,Truthful Oracle 1,3,429.54563483890877
2,Truthful Oracle 1,4,500.15871069635483
2,Truthful Oracle 1,5,476.52291798452796
2,Truthful Oracle 1,6,496.8157537245393
2,Truthful Oracle 1,7,493.98755280675874
2,Truthful Oracle 1,8,496.83773507008925
2,Truthful Oracle 1,9,482.40057726234596
2,Truthful Oracle 1,10,469.05794933265315
2,Truthful Oracle 1,11,472.59556993083953
2,Truthful Oracle 1,12,430.2476005847878
2,Truthful Oracle 1,13,533.781154103713
2,Truthful Oracle 1,14,448.201063536944
2,Truthful Oracle 1,15,497.7151115244824
