Run,Agent,Iteration,Total Spend
0,Truthful Oracle 1,0,582.9024422912779
0,Truthful Oracle 1,1,593.1859989673186
0,Truthful Oracle 1,2,582.5875935774621
0,Truthful Oracle 1,3,552.2806096499761
0,Truthful Oracle 1,4,592.252301592519
0,Truthful Oracle 1,5,592.9146097965261
0,Truthful Oracle 1,6,595.468392348957
0,Truthful Oracle 1,7,564.6560453205171
0,Truthful Oracle 1,8,602.4432718710286
0,Truthful Oracle 1,9,596.7522098518318
0,Truthful Oracle 1,10,582.5409330830768
0,Truthful Oracle 1,11,587.3473338130904
0,Truthful Oracle 1,12,607.7776167973824
0,Truthful Oracle 1,13,603.4717350452928
0,Truthful Oracle 1,14,594.7656395826943
0,Truthful Oracle 1,15,577.1570811871575
0,Truthful Oracle 1,16,583.5429590261389
0,Truthful Oracle 1,17,559.3985008097466
0,Truthful Oracle 1,18,584.9292457318638
0,Truthful Oracle 1,19,599.862753068402
0,Truthful Oracle 2,0,704.3124383204354
0,Truthful Oracle 2,1,674.1252821405182
0,Truthful Oracle 2,2,691.2450203512135
0,Truthful Oracle 2,3,741.0354399045764
0,Truthful Oracle 2,4,687.3363011130647
0,Truthful Oracle 2,5,710.3774197369207
0,Truthful Oracle 2,6,690.5552607144691
0,Truthful Oracle 2,7,694.5656225771721
0,Truthful Oracle 2,8,684.8796529472348
0,Truthful Oracle 2,9,689.6123601578475
0,Truthful Oracle 2,10,690.3767887223506
0,Truthful Oracle 2,11,700.2814784653071
0,Truthful Oracle 2,12,677.9846108040114
0,Truthful Oracle 2,13,708.26900200367
0,Truthful Oracle 2,14,689.5191541645121
0,Truthful Oracle 2,15,705.6840881355924
0,Truthful Oracle 2,16,703.5143076053741
0,Truthful Oracle 2,17,682.9412301512094
0,Truthful Oracle 2,18,688.1672858793984
0,Truthful Oracle 2,19,700.0280289659082
0,Truthful Oracle 3,0,559.5193847479005
0,Truthful Oracle 3,1,523.3235810108436
0,Truthful Oracle 3,2,542.4229202396782
0,Truthful Oracle 3,3,528.6854941327166
0,Truthful Oracle 3,4,519.3311676442539
0,Truthful Oracle 3,5,533.1103055160004
0,Truthful Oracle 3,6,487.34580498182675
0,Truthful Oracle 3,7,518.6034897390422
0,Truthful Oracle 3,8,532.2967393943393
0,Truthful Oracle 3,9,510.0888189332166
0,Truthful Oracle 3,10,540.8076491927729
0,Truthful Oracle 3,11,520.6543500988925
0,Truthful Oracle 3,12,552.8223153780541
0,Truthful Oracle 3,13,524.8164658050902
0,Truthful Oracle 3,14,520.3686336051159
0,Truthful Oracle 3,15,536.0280769085399
0,Truthful Oracle 3,16,550.7764454332304
0,Truthful Oracle 3,17,503.98457634934726
0,Truthful Oracle 3,18,550.930933589221
0,Truthful Oracle 3,19,511.8779962164691
0,Truthful Oracle 4,0,982.365502398378
0,Truthful Oracle 4,1,993.5480919649777
0,Truthful Oracle 4,2,986.6375122127192
0,Truthful Oracle 4,3,1035.4028888844805
0,Truthful Oracle 4,4,990.957989343847
0,Truthful Oracle 4,5,959.3835890228756
0,Truthful Oracle 4,6,1040.415022455467
0,Truthful Oracle 4,7,1015.9957314556679
0,Truthful Oracle 4,8,1003.5051123273854
0,Truthful Oracle 4,9,1002.9746812526314
0,Truthful Oracle 4,10,994.9092097291671
0,Truthful Oracle 4,11,1034.1676236451353
0,Truthful Oracle 4,12,1004.2090926697498
0,Truthful Oracle 4,13,984.9488705915833
0,Truthful Oracle 4,14,992.375066096568
0,Truthful Oracle 4,15,1003.1647975008642
0,Truthful Oracle 4,16,1014.1552448563035
0,Truthful Oracle 4,17,1027.2481126601556
0,Truthful Oracle 4,18,1023.581598608503
0,Truthful Oracle 4,19,1012.3664931728845
0,Truthful Oracle 5,0,723.8132843791582
0,Truthful Oracle 5,1,720.3268474443513
0,Truthful Oracle 5,2,686.5056373300997
0,Truthful Oracle 5,3,700.2645131982007
0,Truthful Oracle 5,4,699.3971904760964
0,Truthful Oracle 5,5,713.5826554851112
0,Truthful Oracle 5,6,659.6980294335343
0,Truthful Oracle 5,7,680.6437412484288
0,Truthful Oracle 5,8,712.6283408598281
0,Truthful Oracle 5,9,706.6719772281529
0,Truthful Oracle 5,10,689.3933754649366
0,Truthful Oracle 5,11,705.7824566861974
0,Truthful Oracle 5,12,709.4171911949405
0,Truthful Oracle 5,13,697.1221738668614
0,Truthful Oracle 5,14,713.0016502528382
0,Truthful Oracle 5,15,668.9683510309026
0,Truthful Oracle 5,16,666.6681756709412
0,Truthful Oracle 5,17,679.0050373989169
0,Truthful Oracle 5,18,704.2801720821893
0,Truthful Oracle 5,19,673.0349539918593
0,Truthful Oracle 6,0,591.6607254162549
0,Truthful Oracle 6,1,620.7673942149652
0,Truthful Oracle 6,2,589.5861745754462
0,Truthful Oracle 6,3,577.0849420981166
0,Truthful Oracle 6,4,634.1401778295601
0,Truthful Oracle 6,5,619.9236106291594
0,Truthful Oracle 6,6,615.7211021657595
0,Truthful Oracle 6,7,636.5692986136005
0,Truthful Oracle 6,8,589.2317361704329
0,Truthful Oracle 6,9,584.4657853855555
0,Truthful Oracle 6,10,612.1035809905079
0,Truthful Oracle 6,11,620.3286990456509
0,Truthful Oracle 6,12,602.6050346854267
0,Truthful Oracle 6,13,599.581243490056
0,Truthful Oracle 6,14,607.6123421810141
0,Truthful Oracle 6,15,596.3299601595602
0,Truthful Oracle 6,16,597.5472256859999
0,Truthful Oracle 6,17,613.0645692851894
0,Truthful Oracle 6,18,567.539145509701
0,Truthful Oracle 6,19,637.674536347702
1,Truthful Oracle 1,0,590.7715021588954
1,Truthful Oracle 1,1,581.1158474042895
1,Truthful Oracle 1,2,587.5572476516008
1,Truthful Oracle 1,3,549.2355540593297
1,Truthful Oracle 1,4,585.9296589436717
1,Truthful Oracle 1,5,549.5588741153371
1,Truthful Oracle 1,6,623.0739172339132
1,Truthful Oracle 1,7,590.3895001231712
1,Truthful Oracle 1,8,589.6885292689466
1,Truthful Oracle 1,9,577.6632441340673
1,Truthful Oracle 1,10,651.1388975981109
1,Truthful Oracle 1,11,572.0452027885198
1,Truthful Oracle 1,12,557.9818452318265
1,Truthful Oracle 1,13,601.3714534248703
1,Truthful Oracle 1,14,563.9133989101889
1,Truthful Oracle 1,15,585.7797021087513
1,Truthful Oracle 1,16,619.5339845395678
1,Truthful Oracle 1,17,592.9967657328762
1,Truthful Oracle 1,18,564.2334335436082
1,Truthful Oracle 1,19,619.2366156834977
1,Truthful Oracle 2,0,676.3406535063672
1,Truthful Oracle 2,1,710.8657710118606
1,Truthful Oracle 2,2,699.6148853068393
1,Truthful Oracle 2,3,680.9833207708618
1,Truthful Oracle 2,4,705.0424823490994
1,Truthful Oracle 2,5,682.2080779558364
1,Truthful Oracle 2,6,715.6423870846811
1,Truthful Oracle 2,7,717.0347417756049
1,Truthful Oracle 2,8,734.6583705580233
1,Truthful Oracle 2,9,693.017806910791
1,Truthful Oracle 2,10,678.7153200254826
1,Truthful Oracle 2,11,675.47456716276
1,Truthful Oracle 2,12,713.7285625248811
1,Truthful Oracle 2,13,722.587314536572
1,Truthful Oracle 2,14,686.9231708504091
1,Truthful Oracle 2,15,702.5058919099567
1,Truthful Oracle 2,16,723.790872200045
1,Truthful Oracle 2,17,706.5364549153312
1,Truthful Oracle 2,18,718.987732246101
1,Truthful Oracle 2,19,736.590949483588
1,Truthful Oracle 3,0,516.9027115229025
1,Truthful Oracle 3,1,556.2389229137526
1,Truthful Oracle 3,2,521.493427060201
1,Truthful Oracle 3,3,517.624036654519
1,Truthful Oracle 3,4,512.7176207154494
1,Truthful Oracle 3,5,528.327392268326
1,Truthful Oracle 3,6,510.38474317434174
1,Truthful Oracle 3,7,534.2360612932363
1,Truthful Oracle 3,8,505.4294152185697
1,Truthful Oracle 3,9,511.0576381935612
1,Truthful Oracle 3,10,565.9853877928543
1,Truthful Oracle 3,11,542.4134494531108
1,Truthful Oracle 3,12,538.7650280113115
1,Truthful Oracle 3,13,514.9735972296522
1,Truthful Oracle 3,14,537.9693072951995
1,Truthful Oracle 3,15,529.9437301367054
1,Truthful Oracle 3,16,526.6657841657673
1,Truthful Oracle 3,17,537.2450665473716
1,Truthful Oracle 3,18,538.5652035195197
1,Truthful Oracle 3,19,534.8644668853608
1,Truthful Oracle 4,0,965.6872142086809
1,Truthful Oracle 4,1,999.0423326000921
1,Truthful Oracle 4,2,984.752394558068
1,Truthful Oracle 4,3,1025.0711101383827
1,Truthful Oracle 4,4,999.1146038264286
1,Truthful Oracle 4,5,1039.4086258280997
1,Truthful Oracle 4,6,983.0315063915833
1,Truthful Oracle 4,7,1019.2602629531667
1,Truthful Oracle 4,8,1003.5685835213051
1,Truthful Oracle 4,9,1016.9307132552145
1,Truthful Oracle 4,10,967.5722757309811
1,Truthful Oracle 4,11,1030.4662202759632
1,Truthful Oracle 4,12,984.7465458249712
1,Truthful Oracle 4,13,965.6454860151454
1,Truthful Oracle 4,14,980.7515430905646
1,Truthful Oracle 4,15,945.9216247642255
1,Truthful Oracle 4,16,979.4627827617068
1,Truthful Oracle 4,17,988.8900906382202
1,Truthful Oracle 4,18,975.785042645032
1,Truthful Oracle 4,19,992.1564678025019
1,Truthful Oracle 5,0,711.611114072732
1,Truthful Oracle 5,1,647.916236112557
1,Truthful Oracle 5,2,690.3024587937127
1,Truthful Oracle 5,3,707.2999043728776
1,Truthful Oracle 5,4,683.8049508738021
1,Truthful Oracle 5,5,689.024019783003
1,Truthful Oracle 5,6,676.6466409689492
1,Truthful Oracle 5,7,672.2435863109538
1,Truthful Oracle 5,8,701.3011280236219
1,Truthful Oracle 5,9,718.987549668924
1,Truthful Oracle 5,10,680.5917244608445
1,Truthful Oracle 5,11,682.2708310929876
1,Truthful Oracle 5,12,684.8016005483
1,Truthful Oracle 5,13,741.6877893908826
1,Truthful Oracle 5,14,686.3663881997732
1,Truthful Oracle 5,15,722.5410850736291
1,Truthful Oracle 5,16,709.6917750691956
1,Truthful Oracle 5,17,656.0282202210639
1,Truthful Oracle 5,18,713.7625161814176
1,Truthful Oracle 5,19,678.5046471829626
1,Truthful Oracle 6,0,653.7180376469164
1,Truthful Oracle 6,1,609.6065309454335
1,Truthful Oracle 6,2,617.8053908879107
1,Truthful Oracle 6,3,613.3465872814952
1,Truthful Oracle 6,4,626.4541564452402
1,Truthful Oracle 6,5,610.6764482620691
1,Truthful Oracle 6,6,617.2107126294339
1,Truthful Oracle 6,7,626.7183873406084
1,Truthful Oracle 6,8,603.5823471222952
1,Truthful Oracle 6,9,605.6076222850783
1,Truthful Oracle 6,10,585.551065892291
1,Truthful Oracle 6,11,615.9527836118382
1,Truthful Oracle 6,12,635.8093185559428
1,Truthful Oracle 6,13,611.0619751382857
1,Truthful Oracle 6,14,638.9417018987789
1,Truthful Oracle 6,15,638.6052211714175
1,Truthful Oracle 6,16,589.5804568266135
1,Truthful Oracle 6,17,630.7344348119155
1,Truthful Oracle 6,18,600.2934090307151
1,Truthful Oracle 6,19,613.7193291967524
2,Truthful Oracle 1,0,577.5006363901248
2,Truthful Oracle 1,1,593.8936258039025
2,Truthful Oracle 1,2,577.0927330609105
