Run,Agent,Iteration,Total Conversions
0,Truthful Oracle 1,0,40
0,Truthful Oracle 1,1,28
0,Truthful Oracle 1,2,45
0,Truthful Oracle 1,3,48
0,Truthful Oracle 1,4,47
0,Truthful Oracle 1,5,37
0,Truthful Oracle 1,6,32
0,Truthful Oracle 1,7,37
0,Truthful Oracle 1,8,36
0,Truthful Oracle 1,9,45
0,Truthful Oracle 1,10,45
0,Truthful Oracle 1,11,40
0,Truthful Oracle 1,12,28
0,Truthful Oracle 1,13,41
0,Truthful Oracle 1,14,40
0,Truthful Oracle 1,15,39
0,Truthful Oracle 1,16,41
0,Truthful Oracle 1,17,37
0,Truthful Oracle 1,18,51
0,Truthful Oracle 1,19,36
0,Truthful Oracle 2,0,45
0,Truthful Oracle 2,1,55
0,Truthful Oracle 2,2,50
0,Truthful Oracle 2,3,47
0,Truthful Oracle 2,4,43
0,Truthful Oracle 2,5,37
0,Truthful Oracle 2,6,39
0,Truthful Oracle 2,7,39
0,Truthful Oracle 2,8,54
0,Truthful Oracle 2,9,51
0,Truthful Oracle 2,10,50
0,Truthful Oracle 2,11,43
0,Truthful Oracle 2,12,46
0,Truthful Oracle 2,13,39
0,Truthful Oracle 2,14,42
0,Truthful Oracle 2,15,48
0,Truthful Oracle 2,16,38
0,Truthful Oracle 2,17,60
0,Truthful Oracle 2,18,47
0,Truthful Oracle 2,19,43
0,Truthful Oracle 3,0,49
0,Truthful Oracle 3,1,41
0,Truthful Oracle 3,2,34
0,Truthful Oracle 3,3,36
0,Truthful Oracle 3,4,39
0,Truthful Oracle 3,5,50
0,Truthful Oracle 3,6,50
0,Truthful Oracle 3,7,50
0,Truthful Oracle 3,8,38
0,Truthful Oracle 3,9,29
0,Truthful Oracle 3,10,44
0,Truthful Oracle 3,11,32
0,Truthful Oracle 3,12,36
0,Truthful Oracle 3,13,40
0,Truthful Oracle 3,14,38
0,Truthful Oracle 3,15,41
0,Truthful Oracle 3,16,33
0,Truthful Oracle 3,17,32
0,Truthful Oracle 3,18,35
