Run,Agent,Iteration,Total Sales Revenue
0,Truthful Oracle 1,0,800.0
0,Truthful Oracle 1,1,560.0
0,Truthful Oracle 1,2,900.0
0,Truthful Oracle 1,3,960.0
0,Truthful Oracle 1,4,940.0
0,Truthful Oracle 1,5,740.0
0,Truthful Oracle 1,6,640.0
0,Truthful Oracle 1,7,740.0
0,Truthful Oracle 1,8,720.0
0,Truthful Oracle 1,9,900.0
0,Truthful Oracle 1,10,900.0
0,Truthful Oracle 1,11,800.0
0,Truthful Oracle 1,12,560.0
0,Truthful Oracle 1,13,820.0
0,Truthful Oracle 1,14,800.0
0,Truthful Oracle 1,15,780.0
0,Truthful Oracle 1,16,820.0
0,Truthful Oracle 1,17,740.0
0,Truthful Oracle 1,18,1020.0
0,Truthful Oracle 1,19,720.0
0,Truthful Oracle 2,0,900.0
0,Truthful Oracle 2,1,1100.0
0,Truthful Oracle 2,2,1000.0
0,Truthful Oracle 2,3,940.0
0,Truthful Oracle 2,4,860.0
0,Truthful Oracle 2,5,740.0
0,Truthful Oracle 2,6,780.0
0,Truthful Oracle 2,7,780.0
0,Truthful Oracle 2,8,1080.0
0,Truthful Oracle 2,9,1020.0
0,Truthful Oracle 2,10,1000.0
0,Truthful Oracle 2,11,860.0
0,Truthful Oracle 2,12,920.0
0,Truthful Oracle 2,13,780.0
0,Truthful Oracle 2,14,840.0
0,Truthful Oracle 2,15,960.0
0,Truthful Oracle 2,16,760.0
0,Truthful Oracle 2,17,1200.0
0,Truthful Oracle 2,18,940.0
0,Truthful Oracle 2,19,860.0
0,Truthful Oracle 3,0,980.0
0,Truthful Oracle 3,1,820.0
0,Truthful Oracle 3,2,680.0
0,Truthful Oracle 3,3,720.0
0,Truthful Oracle 3,4,780.0
0,Truthful Oracle 3,5,1000.0
0,Truthful Oracle 3,6,1000.0
0,Truthful Oracle 3,7,1000.0
0,Truthful Oracle 3,8,760.0
0,Truthful Oracle 3,9,580.0
0,Truthful Oracle 3,10,880.0
0,Truthful Oracle 3,11,640.0
0,Truthful Oracle 3,12,720.0
0,Truthful Oracle 3,13,800.0
0,Truthful Oracle 3,14,760.0
0,Truthful Oracle 3,15,820.0
0,Truthful Oracle 3,16,660.0
0,Truthful Oracle 3,17,640.0
0,Truthful Oracle 3,18,700.0
0,Truthful Oracle 3,19,820.0
0,Truthful Oracle 4,0,1040.0
0,Truthful Oracle 4,1,1180.0
0,Truthful Oracle 4,2,1360.0
0,Truthful Oracle 4,3,1140.0
0,Truthful Oracle 4,4,1220.0
0,Truthful Oracle 4,5,1600.0
0,Truthful Oracle 4,6,1360.0
0,Truthful Oracle 4,7,1460.0
0,Truthful Oracle 4,8,1340.0
0,Truthful Oracle 4,9,1280.0
0,Truthful Oracle 4,10,1500.0
0,Truthful Oracle 4,11,1300.0
0,Truthful Oracle 4,12,1380.0
0,Truthful Oracle 4,13,1220.0
0,Truthful Oracle 4,14,1560.0
0,Truthful Oracle 4,15,1440.0
0,Truthful Oracle 4,16,1300.0
0,Truthful Oracle 4,17,1260.0
0,Truthful Oracle 4,18,1280.0
0,Truthful Oracle 4,19,1580.0
0,Truthful Oracle 5,0,1100.0
0,Truthful Oracle 5,1,1060.0
0,Truthful Oracle 5,2,1080.0
0,Truthful Oracle 5,3,1120.0
0,Truthful Oracle 5,4,960.0
0,Truthful Oracle 5,5,1340.0
0,Truthful Oracle 5,6,880.0
0,Truthful Oracle 5,7,1240.0
0,Truthful Oracle 5,8,1100.0
0,Truthful Oracle 5,9,940.0
0,Truthful Oracle 5,10,960.0
0,Truthful Oracle 5,11,1060.0
0,Truthful Oracle 5,12,1020.0
0,Truthful Oracle 5,13,920.0
0,Truthful Oracle 5,14,1340.0
0,Truthful Oracle 5,15,980.0
0,Truthful Oracle 5,16,960.0
0,Truthful Oracle 5,17,980.0
0,Truthful Oracle 5,18,980.0
0,Truthful Oracle 5,19,1020.0
0,Truthful Oracle 6,0,880.0
0,Truthful Oracle 6,1,740.0
0,Truthful Oracle 6,2,640.0
0,Truthful Oracle 6,3,820.0
0,Truthful Oracle 6,4,940.0
0,Truthful Oracle 6,5,660.0
0,Truthful Oracle 6,6,880.0
0,Truthful Oracle 6,7,720.0
0,Truthful Oracle 6,8,580.0
0,Truthful Oracle 6,9,940.0
0,Truthful Oracle 6,10,740.0
0,Truthful Oracle 6,11,800.0
0,Truthful Oracle 6,12,800.0
0,Truthful Oracle 6,13,900.0
0,Truthful Oracle 6,14,620.0
0,Truthful Oracle 6,15,640.0
0,Truthful Oracle 6,16,540.0
0,Truthful Oracle 6,17,880.0
0,Truthful Oracle 6,18,700.0
0,Truthful Oracle 6,19,920.0
1,Truthful Oracle 1,0,560.0
1,Truthful Oracle 1,1,780.0
1,Truthful Oracle 1,2,760.0
1,Truthful Oracle 1,3,840.0
1,Truthful Oracle 1,4,720.0
1,Truthful Oracle 1,5,840.0
1,Truthful Oracle 1,6,840.0
1,Truthful Oracle 1,7,600.0
1,Truthful Oracle 1,8,980.0
1,Truthful Oracle 1,9,540.0
1,Truthful Oracle 1,10,860.0
1,Truthful Oracle 1,11,660.0
1,Truthful Oracle 1,12,600.0
1,Truthful Oracle 1,13,780.0
1,Truthful Oracle 1,14,940.0
1,Truthful Oracle 1,15,720.0
1,Truthful Oracle 1,16,880.0
1,Truthful Oracle 1,17,960.0
1,Truthful Oracle 1,18,580.0
1,Truthful Oracle 1,19,1100.0
1,Truthful Oracle 2,0,800.0
1,Truthful Oracle 2,1,840.0
1,Truthful Oracle 2,2,620.0
1,Truthful Oracle 2,3,1040.0
1,Truthful Oracle 2,4,760.0
1,Truthful Oracle 2,5,920.0
1,Truthful Oracle 2,6,860.0
1,Truthful Oracle 2,7,920.0
1,Truthful Oracle 2,8,920.0
1,Truthful Oracle 2,9,840.0
1,Truthful Oracle 2,10,920.0
1,Truthful Oracle 2,11,800.0
1,Truthful Oracle 2,12,920.0
1,Truthful Oracle 2,13,1020.0
1,Truthful Oracle 2,14,860.0
1,Truthful Oracle 2,15,720.0
1,Truthful Oracle 2,16,1100.0
1,Truthful Oracle 2,17,800.0
1,Truthful Oracle 2,18,860.0
1,Truthful Oracle 2,19,1040.0
1,Truthful Oracle 3,0,820.0
1,Truthful Oracle 3,1,780.0
1,Truthful Oracle 3,2,780.0
1,Truthful Oracle 3,3,820.0
1,Truthful Oracle 3,4,700.0
1,Truthful Oracle 3,5,680.0
1,Truthful Oracle 3,6,800.0
1,Truthful Oracle 3,7,740.0
1,Truthful Oracle 3,8,720.0
1,Truthful Oracle 3,9,800.0
1,Truthful Oracle 3,10,900.0
1,Truthful Oracle 3,11,820.0
1,Truthful Oracle 3,12,720.0
1,Truthful Oracle 3,13,740.0
1,Truthful Oracle 3,14,980.0
1,Truthful Oracle 3,15,560.0
1,Truthful Oracle 3,16,580.0
1,Truthful Oracle 3,17,820.0
1,Truthful Oracle 3,18,600.0
1,Truthful Oracle 3,19,760.0
1,Truthful Oracle 4,0,1600.0
1,Truthful Oracle 4,1,1260.0
1,Truthful Oracle 4,2,1260.0
1,Truthful Oracle 4,3,1480.0
1,Truthful Oracle 4,4,1460.0
1,Truthful Oracle 4,5,1200.0
1,Truthful Oracle 4,6,1240.0
1,Truthful Oracle 4,7,1280.0
1,Truthful Oracle 4,8,1240.0
1,Truthful Oracle 4,9,1380.0
1,Truthful Oracle 4,10,1380.0
1,Truthful Oracle 4,11,1280.0
1,Truthful Oracle 4,12,1120.0
1,Truthful Oracle 4,13,1080.0
1,Truthful Oracle 4,14,960.0
1,Truthful Oracle 4,15,1380.0
1,Truthful Oracle 4,16,1520.0
1,Truthful Oracle 4,17,1240.0
1,Truthful Oracle 4,18,1300.0
1,Truthful Oracle 4,19,1080.0
1,Truthful Oracle 5,0,960.0
1,Truthful Oracle 5,1,1020.0
1,Truthful Oracle 5,2,980.0
1,Truthful Oracle 5,3,1160.0
1,Truthful Oracle 5,4,1060.0
1,Truthful Oracle 5,5,1060.0
1,Truthful Oracle 5,6,880.0
1,Truthful Oracle 5,7,880.0
1,Truthful Oracle 5,8,1120.0
1,Truthful Oracle 5,9,860.0
1,Truthful Oracle 5,10,880.0
1,Truthful Oracle 5,11,1380.0
1,Truthful Oracle 5,12,960.0
1,Truthful Oracle 5,13,1180.0
1,Truthful Oracle 5,14,860.0
1,Truthful Oracle 5,15,820.0
1,Truthful Oracle 5,16,860.0
1,Truthful Oracle 5,17,1120.0
1,Truthful Oracle 5,18,760.0
1,Truthful Oracle 5,19,1160.0
1,Truthful Oracle 6,0,820.0
1,Truthful Oracle 6,1,860.0
1,Truthful Oracle 6,2,780.0
1,Truthful Oracle 6,3,640.0
1,Truthful Oracle 6,4,880.0
1,Truthful Oracle 6,5,920.0
1,Truthful Oracle 6,6,840.0
1,Truthful Oracle 6,7,620.0
1,Truthful Oracle 6,8,800.0
1,Truthful Oracle 6,9,740.0
1,Truthful Oracle 6,10,720.0
1,Truthful Oracle 6,11,760.0
1,Truthful Oracle 6,12,680.0
1,Truthful Oracle 6,13,820.0
1,Truthful Oracle 6,14,880.0
1,Truthful Oracle 6,15,800.0
1,Truthful Oracle 6,16,780.0
1,Truthful Oracle 6,17,760.0
1,Truthful Oracle 6,18,720.0
1,Truthful Oracle 6,19,720.0
2,Truthful Oracle 1,0,960.0
2,Truthful Oracle 1,1,1060.0
2,Truthful Oracle 1,2,860.0
2,Truthful Oracle 1,3,920.0
2,Truthful Oracle 1,4,800.0
2,Truthful Oracle 1,5,920.0
2,Truthful Oracle 1,6,720.0
2,Truthful Oracle 1,7,700.0
2,Truthful Oracle 1,8,1020.0
2,Truthful Oracle 1,9,720.0
2,Truthful Oracle 1,10,740.0
2,Truthful Oracle 1,11,680.0
2,Truthful Oracle 1,12,640.0
2,Truthful Oracle 1,13,800.0
2,Truthful Oracle 1,14,780.0
2,Truthful Oracle 1,15,800.0
2,Truthful Oracle 1,16,900.0
2,Truthful Oracle 1,17,800.0
2,Truthful Oracle 1,18,1000.0
2,Truthful Oracle 1,19,720.0
2,Truthful Oracle 2,0,960.0
2,Truthful Oracle 2,1,720.0
2,Truthful Oracle 2,2,560.0
2,Truthful Oracle 2,3,900.0
2,Truthful Oracle 2,4,680.0
2,Truthful Oracle 2,5,920.0
2,Truthful Oracle 2,6,880.0
2,Truthful Oracle 2,7,940.0
2,Truthful Oracle 2,8,840.0
2,Truthful Oracle 2,9,780.0
2,Truthful Oracle 2,10,1020.0
2,Truthful Oracle 2,11,1160.0
2,Truthful Oracle 2,12,840.0
2,Truthful Oracle 2,13,1080.0
2,Truthful Oracle 2,14,980.0
2,Truthful Oracle 2,15,760.0
2,Truthful Oracle 2,16,1000.0
2,Truthful Oracle 2,17,880.0
2,Truthful Oracle 2,18,880.0
2,Truthful Oracle 2,19,820.0
2,Truthful Oracle 3,0,1080.0
2,Truthful Oracle 3,1,740.0
2,Truthful Oracle 3,2,960.0
2,Truthful Oracle 3,3,780.0
2,Truthful Oracle 3,4,780.0
2,Truthful Oracle 3,5,880.0
