Run,Agent,Iteration,Underbid Regret
0,Truthful Oracle 1,0,-691.2495987396057
0,Truthful Oracle 1,1,-691.3278372090323
0,Truthful Oracle 1,2,-692.2868207812355
0,Truthful Oracle 1,3,-700.7607384578165
0,Truthful Oracle 1,4,-667.1290112893357
0,Truthful Oracle 1,5,-661.6793369367724
0,Truthful Oracle 1,6,-718.463311376669
0,Truthful Oracle 1,7,-696.4734694195058
0,Truthful Oracle 1,8,-679.4000809446346
0,Truthful Oracle 1,9,-684.2333615098098
0,Truthful Oracle 1,10,-688.8367417985161
0,Truthful Oracle 1,11,-694.0729974784604
0,Truthful Oracle 1,12,-695.5733322531876
0,Truthful Oracle 1,13,-679.8657365631683
0,Truthful Oracle 1,14,-660.2715290509921
0,Truthful Oracle 1,15,-651.2550513922753
0,Truthful Oracle 1,16,-666.1250193297954
0,Truthful Oracle 1,17,-679.7876746799964
0,Truthful Oracle 1,18,-677.4668173615587
0,Truthful Oracle 1,19,-666.851926628304
0,Truthful Oracle 2,0,-658.4711947850996
0,Truthful Oracle 2,1,-714.559306719146
0,Truthful Oracle 2,2,-640.521884245188
0,Truthful Oracle 2,3,-682.7043299618779
0,Truthful Oracle 2,4,-694.4444310956012
0,Truthful Oracle 2,5,-697.8819186515618
0,Truthful Oracle 2,6,-653.8481884761287
0,Truthful Oracle 2,7,-665.3764186885212
0,Truthful Oracle 2,8,-687.870990913773
0,Truthful Oracle 2,9,-682.0665712324219
0,Truthful Oracle 2,10,-680.4042851664051
0,Truthful Oracle 2,11,-687.7322930285263
0,Truthful Oracle 2,12,-695.8756213570014
0,Truthful Oracle 2,13,-668.3928617139575
0,Truthful Oracle 2,14,-660.432484994541
0,Truthful Oracle 2,15,-663.4020616976179
0,Truthful Oracle 2,16,-668.638267439206
0,Truthful Oracle 2,17,-674.4908916718422
0,Truthful Oracle 2,18,-709.2663904252765
0,Truthful Oracle 2,19,-679.7771213018943
0,Truthful Oracle 3,0,-877.672627239258
0,Truthful Oracle 3,1,-839.2938480128203
0,Truthful Oracle 3,2,-855.8977300048623
