Run,Agent,Iteration,CVR
0,Truthful Oracle 1,0,0.09592641261498029
0,Truthful Oracle 1,1,0.08288770053475936
0,Truthful Oracle 1,2,0.11166875784190715
0,Truthful Oracle 1,3,0.12372448979591837
0,Truthful Oracle 1,4,0.11681643132220795
0,Truthful Oracle 1,5,0.1005089058524173
0,Truthful Oracle 1,6,0.09476309226932668
0,Truthful Oracle 1,7,0.10573248407643313
0,Truthful Oracle 1,8,0.0962772785622593
0,Truthful Oracle 1,9,0.1
0,Truthful Oracle 1,10,0.10506329113924051
0,Truthful Oracle 1,11,0.10485933503836317
0,Truthful Oracle 1,12,0.08118081180811808
0,Truthful Oracle 1,13,0.10146699266503667
0,Truthful Oracle 1,14,0.1012987012987013
0,Truthful Oracle 1,15,0.09350649350649351
0,Truthful Oracle 1,16,0.09102564102564102
0,Truthful Oracle 1,17,0.09078771695594126
0,Truthful Oracle 1,18,0.1162227602905569
0,Truthful Oracle 1,19,0.08994708994708994
0,Truthful Oracle 2,0,0.1044613710554951
0,Truthful Oracle 2,1,0.10659340659340659
0,Truthful Oracle 2,2,0.10810810810810811
0,Truthful Oracle 2,3,0.09584664536741214
0,Truthful Oracle 2,4,0.11692650334075724
0,Truthful Oracle 2,5,0.08416389811738649
0,Truthful Oracle 2,6,0.10843373493975904
0,Truthful Oracle 2,7,0.083986562150056
0,Truthful Oracle 2,8,0.13013698630136986
0,Truthful Oracle 2,9,0.1056644880174292
0,Truthful Oracle 2,10,0.10292524377031419
0,Truthful Oracle 2,11,0.08472686733556299
0,Truthful Oracle 2,12,0.11635944700460829
0,Truthful Oracle 2,13,0.08172043010752689
0,Truthful Oracle 2,14,0.097669256381798
0,Truthful Oracle 2,15,0.09197860962566845
0,Truthful Oracle 2,16,0.08980044345898004
0,Truthful Oracle 2,17,0.12375690607734807
0,Truthful Oracle 2,18,0.10462555066079295
0,Truthful Oracle 2,19,0.11010215664018161
0,Truthful Oracle 3,0,0.0984936268829664
0,Truthful Oracle 3,1,0.10771113831089352
0,Truthful Oracle 3,2,0.08285385500575373
0,Truthful Oracle 3,3,0.08748481166464156
0,Truthful Oracle 3,4,0.09559748427672957
0,Truthful Oracle 3,5,0.1099290780141844
0,Truthful Oracle 3,6,0.12724935732647816
0,Truthful Oracle 3,7,0.10909090909090909
0,Truthful Oracle 3,8,0.10275689223057644
0,Truthful Oracle 3,9,0.08700980392156862
0,Truthful Oracle 3,10,0.09808612440191387
0,Truthful Oracle 3,11,0.08188585607940446
0,Truthful Oracle 3,12,0.11666666666666667
0,Truthful Oracle 3,13,0.09159347553324969
0,Truthful Oracle 3,14,0.09212121212121212
0,Truthful Oracle 3,15,0.08912037037037036
0,Truthful Oracle 3,16,0.08056872037914692
0,Truthful Oracle 3,17,0.09355246523388117
0,Truthful Oracle 3,18,0.10377358490566038
0,Truthful Oracle 3,19,0.10996119016817593
0,Truthful Oracle 4,0,0.08792846497764531
0,Truthful Oracle 4,1,0.0867009551800147
0,Truthful Oracle 4,2,0.09326424870466321
0,Truthful Oracle 4,3,0.08976157082748948
0,Truthful Oracle 4,4,0.09276844411979547
0,Truthful Oracle 4,5,0.11245283018867924
0,Truthful Oracle 4,6,0.1111111111111111
0,Truthful Oracle 4,7,0.10440340909090909
0,Truthful Oracle 4,8,0.09474463360473723
0,Truthful Oracle 4,9,0.09372746935832732
0,Truthful Oracle 4,10,0.1094224924012158
0,Truthful Oracle 4,11,0.09768451519536903
0,Truthful Oracle 4,12,0.09978308026030369
0,Truthful Oracle 4,13,0.09077269317329333
0,Truthful Oracle 4,14,0.1095690284879474
0,Truthful Oracle 4,15,0.10652173913043478
0,Truthful Oracle 4,16,0.1002906976744186
0,Truthful Oracle 4,17,0.09948032665181886
0,Truthful Oracle 4,18,0.09579100145137881
0,Truthful Oracle 4,19,0.10137581462708183
0,Truthful Oracle 5,0,0.10038986354775828
0,Truthful Oracle 5,1,0.0945273631840796
0,Truthful Oracle 5,2,0.10873983739837398
0,Truthful Oracle 5,3,0.11000991080277503
0,Truthful Oracle 5,4,0.11586638830897704
0,Truthful Oracle 5,5,0.11284046692607004
0,Truthful Oracle 5,6,0.09355509355509356
0,Truthful Oracle 5,7,0.12008281573498965
0,Truthful Oracle 5,8,0.09864603481624758
0,Truthful Oracle 5,9,0.09702209414024976
0,Truthful Oracle 5,10,0.08726899383983573
0,Truthful Oracle 5,11,0.09772951628825272
0,Truthful Oracle 5,12,0.09941520467836257
0,Truthful Oracle 5,13,0.09552845528455285
0,Truthful Oracle 5,14,0.11508704061895551
0,Truthful Oracle 5,15,0.10520722635494155
0,Truthful Oracle 5,16,0.10813594232749743
0,Truthful Oracle 5,17,0.11472081218274112
0,Truthful Oracle 5,18,0.09292929292929293
0,Truthful Oracle 5,19,0.10208333333333333
0,Truthful Oracle 6,0,0.11406844106463879
0,Truthful Oracle 6,1,0.10673443456162643
0,Truthful Oracle 6,2,0.09055627425614489
0,Truthful Oracle 6,3,0.10592686002522068
0,Truthful Oracle 6,4,0.11325301204819277
0,Truthful Oracle 6,5,0.10379746835443038
0,Truthful Oracle 6,6,0.10121951219512196
0,Truthful Oracle 6,7,0.11013767209011265
0,Truthful Oracle 6,8,0.07653061224489796
0,Truthful Oracle 6,9,0.1141439205955335
0,Truthful Oracle 6,10,0.1003627569528416
0,Truthful Oracle 6,11,0.08886107634543179
0,Truthful Oracle 6,12,0.08897243107769423
0,Truthful Oracle 6,13,0.08977556109725686
0,Truthful Oracle 6,14,0.08050314465408805
0,Truthful Oracle 6,15,0.07577639751552795
0,Truthful Oracle 6,16,0.0891089108910891
0,Truthful Oracle 6,17,0.1097708082026538
0,Truthful Oracle 6,18,0.10263157894736842
0,Truthful Oracle 6,19,0.1089588377723971
1,Truthful Oracle 1,0,0.08301404853128991
1,Truthful Oracle 1,1,0.10299869621903521
1,Truthful Oracle 1,2,0.08375
1,Truthful Oracle 1,3,0.10090556274256145
1,Truthful Oracle 1,4,0.103831891223733
1,Truthful Oracle 1,5,0.11836734693877551
1,Truthful Oracle 1,6,0.09732360097323602
