Run,Iteration,Measure,Measure Name
0,0,4144.573777553405,Auction Revenue
0,1,4125.2771957429595,Auction Revenue
0,2,4078.9848582866175,Auction Revenue
0,3,4134.753887868062,Auction Revenue
0,4,4123.415127999344,Auction Revenue
0,5,4129.29219018659,Auction Revenue
0,6,4089.2036121000147,Auction Revenue
0,7,4111.0339289544345,Auction Revenue
0,8,4124.98485357024,Auction Revenue
0,9,4090.565832809231,Auction Revenue
0,10,4110.131537182828,Auction Revenue
0,11,4168.561941754284,Auction Revenue
0,12,4154.815861529586,Auction Revenue
0,13,4118.209490802563,Auction Revenue
0,14,4117.642485882745,Auction Revenue
0,15,4087.3323549226116,Auction Revenue
0,16,4116.20435827797,Auction Revenue
0,17,4065.642026654568,Auction Revenue
0,18,4119.428381400891,Auction Revenue
0,19,4134.84476176322,Auction Revenue
1,0,4115.031233116493,Auction Revenue
1,1,4104.785640987974,Auction Revenue
1,2,4101.525804258326,Auction Revenue
1,3,4093.5605132774654,Auction Revenue
1,4,4113.063473153692,Auction Revenue
1,5,4099.203438212673,Auction Revenue
1,6,4125.9899074829045,Auction Revenue
1,7,4159.882539796727,Auction Revenue
1,8,4138.228373712772,Auction Revenue
1,9,4123.2645744476185,Auction Revenue
1,10,4129.554671500573,Auction Revenue
1,11,4118.623054385173,Auction Revenue
1,12,4115.832900697213,Auction Revenue
1,13,4157.327615735428,Auction Revenue
1,14,4094.8655102449143,Auction Revenue
1,15,4125.297255164681,Auction Revenue
1,16,4148.725655562902,Auction Revenue
1,17,4112.431032866779,Auction Revenue
1,18,4111.627337166402,Auction Revenue
1,19,4175.072476234668,Auction Revenue
2,0,4149.385251774561,Auction Revenue
2,1,4080.5499560960197,Auction Revenue
2,2,4092.8847069637563,Auction Revenue
2,3,4082.4766013341036,Auction Revenue
2,4,4134.077042558966,Auction Revenue
2,5,4092.7269648690644,Auction Revenue
2,6,4121.715897849198,Auction Revenue
2,7,4138.10496910638,Auction Revenue
2,8,4137.153375845926,Auction Revenue
2,9,4077.6017178302914,Auction Revenue
2,10,4072.901514195688,Auction Revenue
2,11,4100.55226923081,Auction Revenue
2,12,4149.257985420852,Auction Revenue
2,13,4100.113153905736,Auction Revenue
2,14,4157.975468869207,Auction Revenue
2,15,4127.939265891289,Auction Revenue
2,16,4135.449110845074,Auction Revenue
2,17,4159.493660425255,Auction Revenue
2,18,4077.56820563282,Auction Revenue
2,19,4142.4329819345985,Auction Revenue
0,0,3035.888602686563,Social Surplus
0,1,2972.0204008269106,Social Surplus
0,2,3112.4443903666283,Social Surplus
0,3,3196.358348775417,Social Surplus
0,4,3019.731693482385,Social Surplus
0,5,3036.2086890289957,Social Surplus
0,6,3121.6748652278457,Social Surplus
0,7,3091.897206306079,Social Surplus
0,8,2970.562647665834,Social Surplus
0,9,3187.028841737615,Social Surplus
0,10,3050.440611032374,Social Surplus
0,11,3015.0219473606,Social Surplus
0,12,3100.2254689358774,Social Surplus
0,13,3040.0296480094116,Social Surplus
0,14,3068.0628000773145,Social Surplus
0,15,3089.575924717517,Social Surplus
0,16,3064.96098602452,Social Surplus
0,17,3014.203426370351,Social Surplus
0,18,3066.5232357396344,Social Surplus
0,19,2918.0738357971077,Social Surplus
1,0,3068.4415524600972,Social Surplus
1,1,2948.8881448276147,Social Surplus
1,2,2977.897341796281,Social Surplus
1,3,3052.061932277966,Social Surplus
1,4,3045.6761735949162,Social Surplus
1,5,3080.507618082109,Social Surplus
1,6,3022.5983834819444,Social Surplus
1,7,2994.753547271349,Social Surplus
1,8,3060.8458187116403,Social Surplus
1,9,2993.914342797866,Social Surplus
1,10,2998.234370262555,Social Surplus
1,11,3023.121377401731,Social Surplus
1,12,2954.21626196167,Social Surplus
1,13,2979.562764043918,Social Surplus
1,14,3108.2380099863476,Social Surplus
1,15,3072.407003865368,Social Surplus
1,16,3082.2834438743444,Social Surplus
1,17,3083.8538715564223,Social Surplus
1,18,3014.2452884072554,Social Surplus
1,19,3137.2855750396825,Social Surplus
2,0,3091.1133496151106,Social Surplus
2,1,3117.227958902402,Social Surplus
2,2,3119.8570540878936,Social Surplus
2,3,3014.6159657133685,Social Surplus
2,4,3045.6947245578212,Social Surplus
2,5,3091.2447881801186,Social Surplus
2,6,3131.663012190055,Social Surplus
2,7,3077.692079008438,Social Surplus
2,8,3145.727674002861,Social Surplus
2,9,3064.488359038017,Social Surplus
2,10,3124.411235326956,Social Surplus
2,11,3131.1305495704905,Social Surplus
2,12,3058.1598595264923,Social Surplus
2,13,3069.7703979525027,Social Surplus
2,14,3008.996311631161,Social Surplus
2,15,3112.0547509208823,Social Surplus
2,16,2974.817877784762,Social Surplus
2,17,3078.3408098558884,Social Surplus
2,18,3026.56351933496,Social Surplus
2,19,3098.635708881823,Social Surplus
0,0,7180.462380239959,Social Welfare
0,1,7097.297596569864,Social Welfare
0,2,7191.429248653232,Social Welfare
0,3,7331.112236643469,Social Welfare
0,4,7143.146821481718,Social Welfare
0,5,7165.5008792155795,Social Welfare
0,6,7210.87847732785,Social Welfare
0,7,7202.931135260496,Social Welfare
0,8,7095.547501236075,Social Welfare
0,9,7277.594674546844,Social Welfare
0,10,7160.572148215168,Social Welfare
0,11,7183.5838891148605,Social Welfare
0,12,7255.041330465428,Social Welfare
0,13,7158.239138811959,Social Welfare
0,14,7185.705285960046,Social Welfare
0,15,7176.908279640122,Social Welfare
0,16,7181.165344302491,Social Welfare
0,17,7079.845453024906,Social Welfare
0,18,7185.951617140502,Social Welfare
0,19,7052.91859756032,Social Welfare
1,0,7183.472785576577,Social Welfare
1,1,7053.673785815585,Social Welfare
1,2,7079.4231460546125,Social Welfare
1,3,7145.622445555419,Social Welfare
1,4,7158.739646748596,Social Welfare
1,5,7179.7110562947655,Social Welfare
1,6,7148.588290964834,Social Welfare
1,7,7154.636087068077,Social Welfare
1,8,7199.074192424391,Social Welfare
1,9,7117.178917245489,Social Welfare
1,10,7127.789041763105,Social Welfare
1,11,7141.744431786897,Social Welfare
1,12,7070.049162658894,Social Welfare
1,13,7136.890379779321,Social Welfare
1,14,7203.103520231257,Social Welfare
1,15,7197.7042590300425,Social Welfare
1,16,7231.009099437221,Social Welfare
1,17,7196.28490442319,Social Welfare
1,18,7125.8726255736365,Social Welfare
1,19,7312.358051274335,Social Welfare
2,0,7240.49860138967,Social Welfare
2,1,7197.7779149984235,Social Welfare
2,2,7212.741761051649,Social Welfare
2,3,7097.092567047443,Social Welfare
2,4,7179.771767116779,Social Welfare
2,5,7183.9717530491835,Social Welfare
2,6,7253.378910039229,Social Welfare
2,7,7215.797048114814,Social Welfare
2,8,7282.881049848774,Social Welfare
2,9,7142.090076868294,Social Welfare
2,10,7197.312749522602,Social Welfare
2,11,7231.682818801302,Social Welfare
2,12,7207.417844947354,Social Welfare
2,13,7169.883551858228,Social Welfare
2,14,7166.971780500376,Social Welfare
2,15,7239.994016812158,Social Welfare
2,16,7110.266988629808,Social Welfare
2,17,7237.834470281119,Social Welfare
2,18,7104.131724967742,Social Welfare
2,19,7241.068690816417,Social Welfare
