Run,Agent,Iteration,Total Clicks
0,Truthful Oracle 1,0,761
0,Truthful Oracle 1,1,748
0,Truthful Oracle 1,2,797
0,Truthful Oracle 1,3,784
0,Truthful Oracle 1,4,779
0,Truthful Oracle 1,5,786
0,Truthful Oracle 1,6,802
0,Truthful Oracle 1,7,785
0,Truthful Oracle 1,8,779
0,Truthful Oracle 1,9,820
0,Truthful Oracle 1,10,790
0,Truthful Oracle 1,11,782
0,Truthful Oracle 1,12,813
0,Truthful Oracle 1,13,818
0,Truthful Oracle 1,14,770
0,Truthful Oracle 1,15,770
0,Truthful Oracle 1,16,780
0,Truthful Oracle 1,17,749
0,Truthful Oracle 1,18,826
0,Truthful Oracle 1,19,756
0,Truthful Oracle 2,0,919
0,Truthful Oracle 2,1,910
0,Truthful Oracle 2,2,925
0,Truthful Oracle 2,3,939
0,Truthful Oracle 2,4,898
0,Truthful Oracle 2,5,903
0,Truthful Oracle 2,6,913
0,Truthful Oracle 2,7,893
0,Truthful Oracle 2,8,876
0,Truthful Oracle 2,9,918
0,Truthful Oracle 2,10,923
0,Truthful Oracle 2,11,897
0,Truthful Oracle 2,12,868
0,Truthful Oracle 2,13,930
0,Truthful Oracle 2,14,901
0,Truthful Oracle 2,15,935
0,Truthful Oracle 2,16,902
0,Truthful Oracle 2,17,905
0,Truthful Oracle 2,18,908
0,Truthful Oracle 2,19,881
0,Truthful Oracle 3,0,863
0,Truthful Oracle 3,1,817
0,Truthful Oracle 3,2,869
0,Truthful Oracle 3,3,823
0,Truthful Oracle 3,4,795
0,Truthful Oracle 3,5,846
0,Truthful Oracle 3,6,778
0,Truthful Oracle 3,7,825
0,Truthful Oracle 3,8,798
0,Truthful Oracle 3,9,816
0,Truthful Oracle 3,10,836
0,Truthful Oracle 3,11,806
0,Truthful Oracle 3,12,840
0,Truthful Oracle 3,13,797
0,Truthful Oracle 3,14,825
0,Truthful Oracle 3,15,864
0,Truthful Oracle 3,16,844
0,Truthful Oracle 3,17,791
0,Truthful Oracle 3,18,848
0,Truthful Oracle 3,19,773
0,Truthful Oracle 4,0,1342
0,Truthful Oracle 4,1,1361
0,Truthful Oracle 4,2,1351
0,Truthful Oracle 4,3,1426
0,Truthful Oracle 4,4,1369
0,Truthful Oracle 4,5,1325
0,Truthful Oracle 4,6,1422
0,Truthful Oracle 4,7,1408
0,Truthful Oracle 4,8,1351
0,Truthful Oracle 4,9,1387
0,Truthful Oracle 4,10,1316
0,Truthful Oracle 4,11,1382
0,Truthful Oracle 4,12,1383
0,Truthful Oracle 4,13,1333
0,Truthful Oracle 4,14,1369
0,Truthful Oracle 4,15,1380
0,Truthful Oracle 4,16,1376
0,Truthful Oracle 4,17,1347
0,Truthful Oracle 4,18,1378
0,Truthful Oracle 4,19,1381
0,Truthful Oracle 5,0,1026
