Run,Agent,Iteration,Total Conversions
0,Truthful Oracle 1,0,73
0,Truthful Oracle 1,1,62
0,Truthful Oracle 1,2,89
0,Truthful Oracle 1,3,97
0,Truthful Oracle 1,4,91
0,Truthful Oracle 1,5,79
0,Truthful Oracle 1,6,76
0,Truthful Oracle 1,7,83
0,Truthful Oracle 1,8,75
0,Truthful Oracle 1,9,82
0,Truthful Oracle 1,10,83
0,Truthful Oracle 1,11,82
0,Truthful Oracle 1,12,66
0,Truthful Oracle 1,13,83
0,Truthful Oracle 1,14,78
0,Truthful Oracle 1,15,72
0,Truthful Oracle 1,16,71
0,Truthful Oracle 1,17,68
0,Truthful Oracle 1,18,96
0,Truthful Oracle 1,19,68
0,Truthful Oracle 2,0,96
0,Truthful Oracle 2,1,97
0,Truthful Oracle 2,2,100
0,Truthful Oracle 2,3,90
0,Truthful Oracle 2,4,105
0,Truthful Oracle 2,5,76
0,Truthful Oracle 2,6,99
0,Truthful Oracle 2,7,75
0,Truthful Oracle 2,8,114
0,Truthful Oracle 2,9,97
0,Truthful Oracle 2,10,95
0,Truthful Oracle 2,11,76
0,Truthful Oracle 2,12,101
0,Truthful Oracle 2,13,76
0,Truthful Oracle 2,14,88
0,Truthful Oracle 2,15,86
0,Truthful Oracle 2,16,81
0,Truthful Oracle 2,17,112
0,Truthful Oracle 2,18,95
0,Truthful Oracle 2,19,97
0,Truthful Oracle 3,0,85
0,Truthful Oracle 3,1,88
0,Truthful Oracle 3,2,72
0,Truthful Oracle 3,3,72
0,Truthful Oracle 3,4,76
0,Truthful Oracle 3,5,93
0,Truthful Oracle 3,6,99
0,Truthful Oracle 3,7,90
0,Truthful Oracle 3,8,82
0,Truthful Oracle 3,9,71
0,Truthful Oracle 3,10,82
0,Truthful Oracle 3,11,66
0,Truthful Oracle 3,12,98
0,Truthful Oracle 3,13,73
0,Truthful Oracle 3,14,76
0,Truthful Oracle 3,15,77
0,Truthful Oracle 3,16,68
0,Truthful Oracle 3,17,74
0,Truthful Oracle 3,18,88
0,Truthful Oracle 3,19,85
0,Truthful Oracle 4,0,118
0,Truthful Oracle 4,1,118
0,Truthful Oracle 4,2,126
0,Truthful Oracle 4,3,128
0,Truthful Oracle 4,4,127
0,Truthful Oracle 4,5,149
0,Truthful Oracle 4,6,158
0,Truthful Oracle 4,7,147
0,Truthful Oracle 4,8,128
0,Truthful Oracle 4,9,130
0,Truthful Oracle 4,10,144
0,Truthful Oracle 4,11,135
0,Truthful Oracle 4,12,138
0,Truthful Oracle 4,13,121
0,Truthful Oracle 4,14,150
0,Truthful Oracle 4,15,147
0,Truthful Oracle 4,16,138
0,Truthful Oracle 4,17,134
0,Truthful Oracle 4,18,132
0,Truthful Oracle 4,19,140
0,Truthful Oracle 5,0,103
0,Truthful Oracle 5,1,95
0,Truthful Oracle 5,2,107
0,Truthful Oracle 5,3,111
0,Truthful Oracle 5,4,111
0,Truthful Oracle 5,5,116
0,Truthful Oracle 5,6,90
0,Truthful Oracle 5,7,116
0,Truthful Oracle 5,8,102
0,Truthful Oracle 5,9,101
0,Truthful Oracle 5,10,85
0,Truthful Oracle 5,11,99
0,Truthful Oracle 5,12,102
0,Truthful Oracle 5,13,94
0,Truthful Oracle 5,14,119
0,Truthful Oracle 5,15,99
0,Truthful Oracle 5,16,105
0,Truthful Oracle 5,17,113
0,Truthful Oracle 5,18,92
0,Truthful Oracle 5,19,98
0,Truthful Oracle 6,0,90
0,Truthful Oracle 6,1,84
0,Truthful Oracle 6,2,70
0,Truthful Oracle 6,3,84
0,Truthful Oracle 6,4,94
0,Truthful Oracle 6,5,82
0,Truthful Oracle 6,6,83
0,Truthful Oracle 6,7,88
0,Truthful Oracle 6,8,60
0,Truthful Oracle 6,9,92
0,Truthful Oracle 6,10,83
0,Truthful Oracle 6,11,71
0,Truthful Oracle 6,12,71
0,Truthful Oracle 6,13,72
0,Truthful Oracle 6,14,64
0,Truthful Oracle 6,15,61
0,Truthful Oracle 6,16,72
0,Truthful Oracle 6,17,91
0,Truthful Oracle 6,18,78
0,Truthful Oracle 6,19,90
1,Truthful Oracle 1,0,65
1,Truthful Oracle 1,1,79
1,Truthful Oracle 1,2,67
1,Truthful Oracle 1,3,78
1,Truthful Oracle 1,4,84
1,Truthful Oracle 1,5,87
1,Truthful Oracle 1,6,80
1,Truthful Oracle 1,7,62
1,Truthful Oracle 1,8,93
