Run,Agent,Iteration,Total Sales Revenue
0,Truthful Oracle 1,0,7300.0
0,Truthful Oracle 1,1,6200.0
0,Truthful Oracle 1,2,8900.0
0,Truthful Oracle 1,3,9700.0
0,Truthful Oracle 1,4,9100.0
0,Truthful Oracle 1,5,7900.0
0,Truthful Oracle 1,6,7600.0
0,Truthful Oracle 1,7,8300.0
0,Truthful Oracle 1,8,7500.0
0,Truthful Oracle 1,9,8200.0
0,Truthful Oracle 1,10,8300.0
0,Truthful Oracle 1,11,8200.0
0,Truthful Oracle 1,12,6600.0
0,Truthful Oracle 1,13,8300.0
0,Truthful Oracle 1,14,7800.0
0,Truthful Oracle 1,15,7200.0
0,Truthful Oracle 1,16,7100.0
0,Truthful Oracle 1,17,6800.0
0,Truthful Oracle 1,18,9600.0
0,Truthful Oracle 1,19,6800.0
0,Truthful Oracle 2,0,9600.0
0,Truthful Oracle 2,1,9700.0
0,Truthful Oracle 2,2,10000.0
0,Truthful Oracle 2,3,9000.0
0,Truthful Oracle 2,4,10500.0
0,Truthful Oracle 2,5,7600.0
0,Truthful Oracle 2,6,9900.0
0,Truthful Oracle 2,7,7500.0
0,Truthful Oracle 2,8,11400.0
0,Truthful Oracle 2,9,9700.0
0,Truthful Oracle 2,10,9500.0
0,Truthful Oracle 2,11,7600.0
0,Truthful Oracle 2,12,10100.0
0,Truthful Oracle 2,13,7600.0
0,Truthful Oracle 2,14,8800.0
0,Truthful Oracle 2,15,8600.0
0,Truthful Oracle 2,16,8100.0
0,Truthful Oracle 2,17,11200.0
0,Truthful Oracle 2,18,9500.0
0,Truthful Oracle 2,19,9700.0
0,Truthful Oracle 3,0,8500.0
0,Truthful Oracle 3,1,8800.0
0,Truthful Oracle 3,2,7200.0
0,Truthful Oracle 3,3,7200.0
0,Truthful Oracle 3,4,7600.0
0,Truthful Oracle 3,5,9300.0
0,Truthful Oracle 3,6,9900.0
0,Truthful Oracle 3,7,9000.0
0,Truthful Oracle 3,8,8200.0
0,Truthful Oracle 3,9,7100.0
0,Truthful Oracle 3,10,8200.0
0,Truthful Oracle 3,11,6600.0
0,Truthful Oracle 3,12,9800.0
0,Truthful Oracle 3,13,7300.0
0,Truthful Oracle 3,14,7600.0
0,Truthful Oracle 3,15,7700.0
0,Truthful Oracle 3,16,6800.0
0,Truthful Oracle 3,17,7400.0
0,Truthful Oracle 3,18,8800.0
0,Truthful Oracle 3,19,8500.0
0,Truthful Oracle 4,0,11800.0
0,Truthful Oracle 4,1,11800.0
0,Truthful Oracle 4,2,12600.0
0,Truthful Oracle 4,3,12800.0
0,Truthful Oracle 4,4,12700.0
0,Truthful Oracle 4,5,14900.0
0,Truthful Oracle 4,6,15800.0
0,Truthful Oracle 4,7,14700.0
0,Truthful Oracle 4,8,12800.0
0,Truthful Oracle 4,9,13000.0
0,Truthful Oracle 4,10,14400.0
0,Truthful Oracle 4,11,13500.0
0,Truthful Oracle 4,12,13800.0
0,Truthful Oracle 4,13,12100.0
0,Truthful Oracle 4,14,15000.0
0,Truthful Oracle 4,15,14700.0
0,Truthful Oracle 4,16,13800.0
0,Truthful Oracle 4,17,13400.0
0,Truthful Oracle 4,18,13200.0
0,Truthful Oracle 4,19,14000.0
0,Truthful Oracle 5,0,10300.0
0,Truthful Oracle 5,1,9500.0
0,Truthful Oracle 5,2,10700.0
0,Truthful Oracle 5,3,11100.0
0,Truthful Oracle 5,4,11100.0
0,Truthful Oracle 5,5,11600.0
0,Truthful Oracle 5,6,9000.0
0,Truthful Oracle 5,7,11600.0
0,Truthful Oracle 5,8,10200.0
0,Truthful Oracle 5,9,10100.0
0,Truthful Oracle 5,10,8500.0
0,Truthful Oracle 5,11,9900.0
0,Truthful Oracle 5,12,10200.0
0,Truthful Oracle 5,13,9400.0
0,Truthful Oracle 5,14,11900.0
0,Truthful Oracle 5,15,9900.0
0,Truthful Oracle 5,16,10500.0
0,Truthful Oracle 5,17,11300.0
0,Truthful Oracle 5,18,9200.0
0,Truthful Oracle 5,19,9800.0
0,Truthful Oracle 6,0,9000.0
0,Truthful Oracle 6,1,8400.0
0,Truthful Oracle 6,2,7000.0
0,Truthful Oracle 6,3,8400.0
0,Truthful Oracle 6,4,9400.0
0,Truthful Oracle 6,5,8200.0
0,Truthful Oracle 6,6,8300.0
0,Truthful Oracle 6,7,8800.0
0,Truthful Oracle 6,8,6000.0
0,Truthful Oracle 6,9,9200.0
0,Truthful Oracle 6,10,8300.0
0,Truthful Oracle 6,11,7100.0
0,Truthful Oracle 6,12,7100.0
0,Truthful Oracle 6,13,7200.0
0,Truthful Oracle 6,14,6400.0
0,Truthful Oracle 6,15,6100.0
0,Truthful Oracle 6,16,7200.0
0,Truthful Oracle 6,17,9100.0
0,Truthful Oracle 6,18,7800.0
0,Truthful Oracle 6,19,9000.0
1,Truthful Oracle 1,0,6500.0
1,Truthful Oracle 1,1,7900.0
1,Truthful Oracle 1,2,6700.0
1,Truthful Oracle 1,3,7800.0
1,Truthful Oracle 1,4,8400.0
